FePS3,,NiPS3,,CrPS4,,MnPS3,,Hole,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1400,1.051076651,1400,0.6805120111,1400,0.4019939899,1400,1.330155373,1400,2.738993883,
1397,1.106556535,1397,0.6701097488,1397,0.379299432,1397,1.397558451,1397,3.027266026,
1394,1.134145021,1394,0.6537566185,1394,0.4223973155,1394,1.352404475,1394,2.943760633,
1391,1.082691789,1391,0.623587966,1391,0.4113299251,1391,1.295825243,1391,2.70024538,
1388,1.131591082,1388,0.7382360101,1388,0.3966497183,1388,1.324522614,1388,2.894798517,
1385,1.165620208,1385,0.7311204076,1385,0.4208616018,1385,1.295930386,1385,2.869230986,
1382,1.114550352,1382,0.7034981251,1382,0.4195588231,1382,1.294477701,1382,2.724254847,
1379,1.055882931,1379,0.6961914301,1379,0.3907206059,1379,1.295395374,1379,2.870433569,
1376,1.123099923,1376,0.6662682891,1376,0.4056335092,1376,1.435580969,1376,3.002808332,
1373,1.090066671,1373,0.6442483068,1373,0.4096201956,1373,1.449279547,1373,2.786304235,
1370,1.093414664,1370,0.654471457,1370,0.393220216,1370,1.384583592,1370,2.821581125,
1367,1.139422894,1367,0.7346916795,1367,0.4105484486,1367,1.334746957,1367,2.875599384,
1364,1.128803492,1364,0.7158821821,1364,0.4253706336,1364,1.254438758,1364,2.763865471,
1361,1.08912468,1361,0.7110694051,1361,0.4144365489,1361,1.225686669,1361,2.684137583,
1358,1.085328341,1358,0.7158207893,1358,0.3902329504,1358,1.225260139,1358,2.935488701,
1355,1.108836412,1355,0.660548985,1355,0.4087395966,1355,1.390468955,1355,2.942897081,
1352,1.085503697,1352,0.630738616,1352,0.4087067246,1352,1.424691439,1352,2.799797535,
1349,1.110868216,1349,0.6435189247,1349,0.3878398538,1349,1.408509016,1349,2.867476463,
1346,1.167603254,1346,0.7049536109,1346,0.4059190452,1346,1.415454626,1346,2.970993042,
1343,1.166387796,1343,0.7000178695,1343,0.4208958149,1343,1.280978203,1343,2.849195719,
1340,1.131075621,1340,0.693972528,1340,0.4061928988,1340,1.252547979,1340,2.746020079,
1337,1.113855004,1337,0.6982857585,1337,0.3787022233,1337,1.236330152,1337,2.984921455,
1334,1.134864569,1334,0.6594675779,1334,0.3935982883,1334,1.356677294,1334,3.062961102,
1331,1.116100192,1331,0.6262895465,1331,0.4039512575,1331,1.423233151,1331,2.907111883,
1328,1.118535042,1328,0.6381890774,1328,0.3907687366,1328,1.398935795,1328,2.812440395,
1325,1.150455952,1325,0.6866694689,1325,0.3922590911,1325,1.374501944,1325,2.902448416,
1322,1.169498205,1322,0.7123609781,1322,0.4047456682,1322,1.337929487,1322,2.962726831,
1319,1.155637264,1319,0.6916204691,1319,0.4109634459,1319,1.303798556,1319,2.817811489,
1316,1.110014439,1316,0.6908230186,1316,0.3867734373,1316,1.271677256,1316,2.83856082,
1313,1.103789806,1313,0.6466934085,1313,0.3779498041,1313,1.31469667,1313,2.96124649,
1310,1.118494153,1310,0.6383912563,1310,0.3880160153,1310,1.343426704,1310,3.034763098,
1307,1.123781085,1307,0.6436870098,1307,0.4007333815,1307,1.403733253,1307,2.879932404,
1304,1.127175927,1304,0.6665350199,1304,0.4033486843,1304,1.365115881,1304,2.730565786,
1301,1.134139538,1301,0.7138112187,1301,0.3924893737,1301,1.332233906,1301,2.827693224,
1298,1.141911507,1298,0.7061672211,1298,0.3948493898,1298,1.357380271,1298,2.925731897,
1295,1.119455934,1295,0.7046210766,1295,0.3968316913,1295,1.336812973,1295,2.924572229,
1292,1.091235042,1292,0.6462497115,1292,0.3902286887,1292,1.350289464,1292,2.83161664,
1289,1.094844699,1289,0.6363739967,1289,0.381655395,1289,1.298136115,1289,2.861759663,
1286,1.114875317,1286,0.6384021044,1286,0.3777153194,1286,1.339924097,1286,2.941529751,
1283,1.140386701,1283,0.6667349339,1283,0.3952296376,1283,1.382112265,1283,2.894195318,
1280,1.137163997,1280,0.7080680728,1280,0.4040318131,1280,1.337506413,1280,2.81001091,
1277,1.131147861,1277,0.6993759274,1277,0.4022829235,1277,1.331711054,1277,2.752024412,
1274,1.111174107,1274,0.7113845348,1274,0.3867408335,1274,1.27051425,1274,2.827958345,
1271,1.090672374,1271,0.6568058729,1271,0.3757145405,1271,1.329065442,1271,2.925372362,
1268,1.097818375,1268,0.6428293586,1268,0.3799158633,1268,1.37217164,1268,2.962952375,
1265,1.101400137,1265,0.6341074705,1265,0.3850865364,1265,1.385217667,1265,2.914290428,
1262,1.133663893,1262,0.6701555848,1262,0.398647368,1262,1.378964543,1262,2.758464098,
1259,1.130608678,1259,0.7068170309,1259,0.3951676786,1259,1.28171432,1259,2.73249507,
1256,1.127236366,1256,0.7038860321,1256,0.3883011937,1256,1.311009645,1256,2.786975622,
1253,1.109596729,1253,0.7053210735,1253,0.3836323619,1253,1.309045911,1253,2.892093658,
1250,1.083398581,1250,0.6570400596,1250,0.3784227967,1250,1.348630309,1250,2.935591459,
1247,1.085151315,1247,0.6432579756,1247,0.3839950264,1247,1.362715125,1247,2.8890481,
1244,1.089749336,1244,0.6385991573,1244,0.3841329813,1244,1.33866477,1244,2.83778429,
1241,1.124199986,1241,0.6767225266,1241,0.3932011724,1241,1.350864291,1241,2.727680922,
1238,1.125976205,1238,0.7134169936,1238,0.3896538019,1238,1.280336976,1238,2.748620272,
1235,1.120146394,1235,0.7115609646,1235,0.3885997236,1235,1.313704848,1235,2.785300016,
1232,1.100561619,1232,0.7033362985,1232,0.382610321,1232,1.299782753,1232,2.863609314,
1229,1.072285175,1229,0.6660419703,1229,0.380025655,1229,1.34602952,1229,2.895991087,
1226,1.071321368,1226,0.6447620988,1226,0.3797327876,1226,1.376022816,1226,2.850192785,
1223,1.077051759,1223,0.6436904073,1223,0.3813127875,1223,1.386775494,1223,2.826082945,
1220,1.115029931,1220,0.6760214567,1220,0.3891555965,1220,1.352680802,1220,2.717657328,
1217,1.111924291,1217,0.711122036,1217,0.3876186907,1217,1.291410685,1217,2.717344761,
1214,1.114959955,1214,0.7194562554,1214,0.3897975981,1214,1.29871726,1214,2.723700285,
1211,1.091921091,1211,0.7077905536,1211,0.3793445528,1211,1.286856413,1211,2.793784618,
1208,1.063005924,1208,0.6825270653,1208,0.3785775006,1208,1.328259706,1208,2.840600252,
1205,1.059046268,1205,0.6484992504,1205,0.3781449199,1205,1.336292744,1205,2.826089144,
1202,1.062170625,1202,0.6550989151,1202,0.3764261305,1202,1.361161709,1202,2.816556215,
1199,1.091287851,1199,0.6741302609,1199,0.3839929998,1199,1.36586535,1199,2.725926876,
1196,1.102925301,1196,0.6312208772,1196,0.3747090995,1196,1.462443948,1196,2.91076684,
1193,1.127639651,1193,0.6410427094,1193,0.3738336563,1193,1.450058818,1193,2.876748323,
1190,1.151544929,1190,0.6688956022,1190,0.3812863827,1190,1.408733845,1190,2.787528992,
1187,1.161316276,1187,0.7132191658,1187,0.3821780086,1187,1.247012496,1187,2.781908035,
1184,1.159646392,1184,0.7024195194,1184,0.3792442381,1184,1.234066725,1184,2.782343626,
1181,1.136446953,1181,0.7022581697,1181,0.3732246459,1181,1.221978664,1181,2.861800671,
1178,1.117976189,1178,0.6506305933,1178,0.3666624725,1178,1.324709296,1178,2.871664762,
1175,1.114991546,1175,0.6266227365,1175,0.3623356819,1175,1.357243061,1175,2.886973619,
1172,1.128507614,1172,0.6282577515,1172,0.3657515645,1172,1.390206456,1172,2.880496264,
1169,1.145634651,1169,0.6450092196,1169,0.3778388202,1169,1.323226213,1169,2.821831703,
1166,1.148885131,1166,0.6936412454,1166,0.3785140216,1166,1.236586928,1166,2.818985224,
1163,1.140653491,1163,0.6804535389,1163,0.3763470352,1163,1.189827204,1163,2.831493616,
1160,1.124691844,1160,0.6899290085,1160,0.371766001,1160,1.267125607,1160,2.895136356,
1157,1.098580837,1157,0.6384161115,1157,0.3620965779,1157,1.35405004,1157,2.909976959,
1154,1.097816467,1154,0.6267888546,1154,0.3646994829,1154,1.408578873,1154,2.91392231,
1151,1.105138421,1151,0.6193442941,1151,0.3656492531,1151,1.329735994,1151,2.900299549,
1148,1.130414248,1148,0.6454543471,1148,0.3734222949,1148,1.329140544,1148,2.828754187,
1145,1.136564255,1145,0.691922307,1145,0.379686296,1145,1.253728747,1145,2.80646801,
1142,1.130169511,1142,0.6817395091,1142,0.3785758317,1142,1.273211718,1142,2.819150686,
1139,1.11987555,1139,0.6927242875,1139,0.3738192618,1139,1.304888248,1139,2.869408846,
1136,1.093112707,1136,0.6468346119,1136,0.3578677475,1136,1.387822032,1136,2.904844046,
1133,1.094664931,1133,0.6233918667,1133,0.3659229875,1133,1.377046585,1133,2.884642124,
1130,1.099883914,1130,0.6185219884,1130,0.3615562916,1130,1.348146081,1130,2.879518747,
1127,1.137996197,1127,0.6449697018,1127,0.3731943369,1127,1.310803175,1127,2.810928822,
1124,1.139874697,1124,0.6899377108,1124,0.3772883117,1124,1.2740556,1124,2.791409254,
1121,1.137605429,1121,0.692923069,1121,0.3767698705,1121,1.304125428,1121,2.793100357,
1118,1.129465938,1118,0.6925272346,1118,0.373641938,1118,1.31320715,1118,2.827871323,
1115,1.100025177,1115,0.658826232,1115,0.3587598801,1115,1.291446924,1115,2.870153904,
1112,1.110050082,1112,0.6360610723,1112,0.3649799228,1112,1.317916155,1112,2.855226517,
1109,1.109652638,1109,0.6345267296,1109,0.3612137735,1109,1.350145221,1109,2.858918428,
1106,1.146794438,1106,0.6536332369,1106,0.3695630431,1106,1.350601315,1106,2.787298918,
1103,1.14345181,1103,0.695944488,1103,0.3725686669,1103,1.353124738,1103,2.77424407,
1100,1.141584754,1100,0.7075797319,1100,0.3742794693,1100,1.302236795,1100,2.774701595,
1097,1.126723766,1097,0.6976636648,1097,0.3704048097,1097,1.272098899,1097,2.814891577,
1094,1.090384364,1094,0.6767249703,1094,0.3589529991,1094,1.2617625,1094,2.862773657,
1091,1.093563199,1091,0.6302965283,1091,0.3604259789,1091,1.338485122,1091,2.847366333,
1088,1.092498422,1088,0.6353346705,1088,0.3617392182,1088,1.407868743,1088,2.855528593,
1085,1.129060864,1085,0.6506901979,1085,0.3705994785,1085,1.404684663,1085,2.781625271,
1082,1.132047892,1082,0.6940693259,1082,0.3736979365,1082,1.305308461,1082,2.760290861,
1079,1.133447528,1079,0.7061191201,1079,0.3751111329,1079,1.230885029,1079,2.747379065,
1076,1.121335626,1076,0.6997464299,1076,0.3685210943,1076,1.241524577,1076,2.789931536,
1073,1.090364575,1073,0.6899303198,1073,0.3615452349,1073,1.320728898,1073,2.83109355,
1070,1.086049795,1070,0.6295335293,1070,0.3619390726,1070,1.369961381,1070,2.824854136,
1067,1.085781574,1067,0.6419938803,1067,0.3616978526,1067,1.37445724,1067,2.822934389,
1064,1.115790844,1064,0.6497475505,1064,0.3652167618,1064,1.339908481,1064,2.760844707,
1061,1.1216259,1061,0.704261899,1061,0.3756724,1061,1.285435677,1061,2.732358456,
1058,1.118646979,1058,0.7075455785,1058,0.3740600646,1058,1.286400914,1058,2.722079754,
1055,1.111975908,1055,0.7014778852,1055,0.3718466759,1055,1.297919035,1055,2.763247728,
1052,1.076619029,1052,0.6963887215,1052,0.3629655242,1052,1.311502457,1052,2.799570799,
1049,1.0750705,1049,0.634793818,1049,0.3597961664,1049,1.311470628,1049,2.799943924,
1046,1.075644016,1046,0.6501226425,1046,0.3617239296,1046,1.317415357,1046,2.786546946,
1043,1.095891237,1043,0.6518697143,1043,0.3673202991,1043,1.352775812,1043,2.732535362,
1040,1.104469419,1040,0.7079775333,1040,0.3736598492,1040,1.329785466,1040,2.692076921,
1037,1.100702882,1037,0.7027337551,1037,0.3704327047,1037,1.256437659,1037,2.685353756,
1034,1.09483242,1034,0.7056265473,1034,0.37087816,1034,1.239705205,1034,2.710725784,
1031,1.061284304,1031,0.7047851086,1031,0.3601766527,1031,1.240824223,1031,2.751189232,
1028,1.049659252,1028,0.6451685429,1028,0.3622014821,1028,1.328676105,1028,2.753866196,
1025,1.054035902,1025,0.6526986361,1025,0.3615189195,1025,1.378141999,1025,2.735906363,
1022,1.074322581,1022,0.6584441066,1022,0.3612884581,1022,1.311843634,1022,2.692723036,
1019,1.081484675,1019,0.7147321105,1019,0.3686170578,1019,1.270499706,1019,2.63360858,
1016,1.06862843,1016,0.7083296776,1016,0.3684771061,1016,1.234539151,1016,2.63216114,
1013,1.070884466,1013,0.7082933187,1013,0.3645668328,1013,1.274465919,1013,2.641371965,
1010,1.042487621,1010,0.7071636319,1010,0.3578957319,1010,1.276123405,1010,2.684755325,
1007,1.026058197,1007,0.6652635336,1007,0.3620906472,1007,1.317581296,1007,2.679726362,
1004,1.022783518,1004,0.6517539024,1004,0.3545432389,1004,1.289972663,1004,2.661937714,
1001,1.038997889,1001,0.662609756,1001,0.3507822752,1001,1.292634368,1001,2.627673388,
998,1.047895074,998,0.7113000751,998,0.3584248126,998,1.341165781,998,2.555347681,
995,1.032125115,995,0.7108769417,995,0.352314353,995,1.249874592,995,2.55019474,
992,1.037172079,992,0.7188689113,992,0.3445825875,992,1.201537371,992,2.539811134,
989,1.003643513,989,0.712389946,989,0.3503232598,989,1.224573851,989,2.594796658,
986,0.9904029965,986,0.6736079454,986,0.344881475,986,1.333665609,986,2.581255674,
983,0.9919028878,983,0.6653878093,983,0.3406518102,983,1.305828094,983,2.559194565,
980,0.9921826124,980,0.6790655851,980,0.3437832594,980,1.275083661,980,2.532260656,
977,1.007245421,977,0.6965882778,977,0.3328787982,977,1.250111461,977,2.460325956,
974,1.005403638,974,0.7163674831,974,0.3317563236,974,1.218220472,974,2.462233067,
971,0.9990736842,971,0.720118165,971,0.329318285,971,1.273863912,971,2.454355001,
968,0.9746639132,968,0.712529242,968,0.3225958347,968,1.230896831,968,2.502421856,
965,0.9598022103,965,0.6872835159,965,0.3235441148,965,1.247362018,965,2.48038435,
962,0.9493784904,962,0.6737900376,962,0.3131943941,962,1.257773995,962,2.464078903,
959,0.9575477839,959,0.6843909621,959,0.309212625,959,1.294466853,959,2.424073219,
956,0.966537714,956,0.7065085173,956,0.3006086648,956,1.262522101,956,2.352283239,
953,0.95843786,953,0.7244641185,953,0.2920969129,953,1.186525106,953,2.331666231,
950,0.9488562942,950,0.7171607614,950,0.2894240618,950,1.192111969,950,2.31495595,
947,0.9289108515,947,0.7171226144,947,0.28449139,947,1.214969397,947,2.346806288,
944,0.9115846157,944,0.6892353296,944,0.2772524357,944,1.24248445,944,2.321373701,
941,0.9025805593,941,0.6811651587,941,0.2711650133,941,1.212067485,941,2.304124355,
938,0.9026078582,938,0.6859576106,938,0.2645753026,938,1.211145043,938,2.264695406,
