Baseline 100%T,,Hole,,FePS3,,NiPS3,,CrPS4,,MnPS5,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1400,2.925196409,1400,100.2022247,1400,1.307809234,1400,22.4064064,1400,16.14515114,1400,47.07720566,
1397,3.191274881,1397,101.4540787,1397,1.193047047,1397,21.65834236,1397,16.18165588,1397,40.46854782,
1394,2.994564056,1394,100.7080688,1394,1.070502639,1394,20.43491936,1394,17.85652733,1394,40.627491,
1391,2.809420109,1391,105.0719299,1391,1.104129791,1391,20.91082191,1391,17.2648735,1391,42.01787567,
1388,3.085076094,1388,102.3251801,1388,0.9566461444,1388,20.59343529,1388,16.58587074,1388,40.89568329,
1385,2.953429222,1385,99.48423004,1385,0.890044868,1385,19.90748978,1385,17.73130798,1385,44.15241623,
1382,2.918197393,1382,99.3717041,1382,0.8483026028,1382,21.81771469,1382,16.23397255,1382,45.15255737,
1379,3.06607008,1379,99.55622864,1379,0.7276599407,1379,21.64393234,1379,16.01091003,1379,41.79960251,
1376,3.089040995,1376,100.7756577,1376,0.6495872736,1376,21.1729393,1376,16.73586845,1376,42.08979797,
1373,2.897716999,1373,101.5112762,1373,0.6664859056,1373,21.957407,1373,16.84962273,1373,45.09492493,
1370,2.967255592,1370,105.2515182,1370,0.6343199015,1370,21.22795677,1370,16.57207108,1370,42.93710709,
1367,3.015550852,1367,101.8385086,1367,0.5220793486,1367,20.08110809,1367,17.08678436,1367,44.27109146,
1364,2.847641706,1364,100.1886139,1364,0.4371560514,1364,20.77804184,1364,17.65901375,1364,45.67187881,
1361,2.920089483,1361,99.39050293,1361,0.4736805856,1361,21.8166256,1361,16.09486961,1361,43.6844368,
1358,3.101912737,1358,99.16828918,1358,0.3584306836,1358,21.49497223,1358,15.96052837,1358,40.52416229,
1355,3.024308205,1355,100.4689789,1355,0.4452958107,1355,21.31073189,1355,16.80964088,1355,39.74306107,
1352,2.919993162,1352,101.5516968,1352,0.38354972,1352,21.44003105,1352,16.80900002,1352,41.45440674,
1349,3.017852545,1349,105.3119431,1349,0.3989993632,1349,20.849823,1349,16.56159782,1349,42.16564941,
1346,3.107362509,1346,101.6202774,1346,0.3201275766,1346,18.65395546,1346,17.25810051,1346,43.19809341,
1343,2.916158676,1343,100.123703,1343,0.3388479948,1343,19.46435547,1343,17.87603188,1343,46.50331879,
1340,2.972557306,1340,99.40377045,1340,0.2884843349,1340,19.87524986,1340,16.52011681,1340,42.56227493,
1337,3.177631378,1337,99.83778381,1337,0.2177090347,1337,20.41671944,1337,16.04321671,1337,39.17574692,
1334,3.187568903,1334,99.95018005,1334,0.3359907866,1334,19.90433121,1334,16.67058563,1334,38.03775787,
1331,2.9778018,1331,100.8083191,1331,0.256495446,1331,20.42911339,1331,17.20845413,1331,39.31064224,
1328,2.930276394,1328,105.1621933,1328,0.2994354069,1328,20.82517433,1328,16.88909531,1328,41.69150925,
1325,3.09164381,1325,103.4536514,1325,0.2330095768,1325,18.78949928,1325,16.65722084,1325,41.75538635,
1322,3.071420431,1322,100.1310196,1322,0.1955466121,1322,18.8659687,1322,17.31772804,1322,44.48227692,
1319,2.981124163,1319,97.44456482,1319,0.1605136544,1319,19.25227737,1319,17.10245895,1319,44.5239563,
1316,3.002632618,1316,100.0672836,1316,0.1683751047,1316,21.15205956,1316,16.27302551,1316,41.82753754,
1313,3.158481836,1313,101.4237976,1313,0.1536358744,1313,20.24925423,1313,15.96011543,1313,38.8502655,
1310,3.1376791,1310,100.9036102,1310,0.1684378982,1310,20.08925438,1310,16.61343384,1310,38.2808876,
1307,2.914232254,1307,103.0411224,1307,0.1719979495,1307,20.75258446,1307,17.42056084,1307,40.15999603,
1304,2.875491619,1304,104.0151825,1304,0.2011602223,1304,19.95992279,1304,16.99930191,1304,42.37925339,
1301,3.022097111,1301,101.3320465,1301,0.1502165347,1301,19.60504341,1301,16.42655563,1301,43.8361702,
1298,3.104305506,1298,98.52696228,1298,0.1448808312,1298,18.80819321,1298,16.51754189,1298,45.36478806,
1295,3.021691084,1295,97.68283081,1295,0.1418393701,1295,21.02239227,1295,16.5569458,1295,46.10961151,
1292,2.958302736,1292,100.7663727,1292,0.1454570442,1292,21.22739792,1292,16.35202408,1292,41.52000427,
1289,3.037539244,1289,102.4109116,1289,0.1803774685,1289,21.13286781,1289,15.97744656,1289,39.17100906,
1286,3.060682297,1286,103.4121628,1286,0.1961290091,1286,20.14517784,1286,16.36506844,1286,38.43830109,
1283,2.992918968,1283,103.3657684,1283,0.07497312874,1283,19.24716568,1283,17.04926872,1283,41.5898819,
1280,2.912082434,1280,99.96160889,1280,0.1855153888,1280,19.90025711,1280,17.12999535,1280,45.06237411,
1277,2.916342974,1277,99.77542114,1277,0.1136884093,1277,20.07847214,1277,16.49595833,1277,44.39822006,
1274,3.034276247,1274,98.78805542,1274,0.1038297117,1274,21.04692078,1274,15.74836636,1274,44.30827332,
1271,3.091824055,1271,101.0295715,1271,0.1009508297,1271,20.38706017,1271,15.84372997,1271,40.90109634,
1268,3.089498281,1268,101.1576691,1268,0.05518776178,1268,20.76209068,1268,16.14838409,1268,40.90283203,
1265,2.938689947,1265,102.8674164,1265,0.06442010403,1265,20.9224453,1265,16.93672562,1265,40.95069885,
1262,2.865924597,1262,103.8536682,1262,0.04357225448,1262,20.39360619,1262,17.02685928,1262,42.19033813,
1259,2.897330284,1259,100.6735229,1259,0.1172884107,1259,19.98641586,1259,16.52055931,1259,43.82295609,
1256,2.986008406,1256,100.5543137,1256,0.1067824215,1256,19.81801414,1256,16.10879135,1256,43.66732025,
1253,3.079999685,1253,98.01208496,1253,0.07534179837,1253,20.54756355,1253,15.62848854,1253,45.45677185,
1250,3.049081802,1250,100.3263702,1250,0.09688214958,1250,21.00070763,1250,15.91227245,1250,43.05433655,
1247,2.999038935,1247,100.6742325,1247,0.1265524328,1247,21.43588638,1247,16.16982079,1247,40.94410706,
1244,2.88176918,1244,103.1228561,1244,0.06140691042,1244,21.84799194,1244,16.80399704,1244,39.93946457,
1241,2.869450569,1241,104.0989761,1241,0.125987336,1241,20.59945679,1241,16.52425194,1241,41.2595253,
1238,2.905015945,1238,101.2635117,1238,0.1236796379,1238,20.07455063,1238,16.32991982,1238,44.00198364,
1235,2.969711781,1235,100.2987061,1235,0.07626973838,1235,20.11762238,1235,15.91773891,1235,45.03783035,
1232,3.034779549,1232,97.71272278,1232,0.121684812,1232,20.74047279,1232,15.56628036,1232,45.93768311,
1229,3.001287937,1229,100.6706009,1229,0.1310300082,1229,21.71544075,1229,15.75049496,1229,43.91357803,
1226,2.970394135,1226,100.610878,1226,0.08651897311,1226,21.80775833,1226,15.82856178,1226,41.64733887,
1223,2.878261089,1223,103.1291351,1223,0.09343253821,1223,22.30054855,1223,16.42208862,1223,41.23833466,
1220,2.8473351,1220,103.7487411,1220,0.1191717908,1220,21.01665115,1220,16.32520103,1220,43.29405594,
1217,2.852112055,1217,101.5725632,1217,0.09624668211,1217,20.80290604,1217,16.24742508,1217,44.52844238,
1214,2.91155529,1214,100.2387772,1214,0.09217961878,1214,20.6723156,1214,15.89658833,1214,45.87133026,
1211,2.970589399,1211,98.147995,1211,0.05262190849,1211,21.26825142,1211,15.36566162,1211,45.8198967,
1208,2.967848301,1208,100.4118958,1208,0.06451142579,1208,22.27130127,1208,15.42835808,1208,45.4018898,
1205,2.948984623,1205,100.7275543,1205,0.1084802672,1205,22.04903603,1205,15.54014111,1205,42.40187836,
1202,2.885873795,1202,102.7910385,1202,0.126524061,1202,22.83524513,1202,16.04808426,1202,41.76556015,
1199,2.82891345,1199,103.3849106,1199,0.08773387223,1199,21.59908867,1199,16.23024559,1199,43.57515335,
1196,2.992621422,1196,101.2730026,1196,0.4086219668,1196,21.0201664,1196,16.56906319,1196,39.48682785,
1193,2.910551548,1193,104.2109985,1193,0.2706576288,1193,21.16713905,1193,17.02127647,1193,43.37881088,
1190,2.917579651,1190,102.7791519,1190,0.1976149678,1190,19.2940712,1190,16.81984901,1190,42.87504959,
1187,2.919967413,1187,100.9807587,1187,0.1467221081,1187,19.62130737,1187,16.72116852,1187,44.2426796,
1184,3.006573915,1184,97.9828949,1184,0.1348385811,1184,18.88071823,1184,16.19607735,1184,40.15113449,
1181,3.019622803,1181,98.89744568,1181,0.1067227125,1181,20.50117874,1181,16.02804375,1181,40.8396225,
1178,3.036134958,1178,100.566185,1178,0.01928068511,1178,20.15472221,1178,15.90163517,1178,38.87902451,
1175,3.021756649,1175,102.0686951,1175,0.1274819225,1175,20.16781044,1175,16.0099678,1175,39.72312927,
1172,2.959266901,1172,104.1081085,1172,0.09418591112,1172,20.17830086,1172,16.43870354,1172,41.84858322,
1169,2.957050085,1169,103.9602737,1169,0.07258046418,1169,18.6785717,1169,16.38855553,1169,43.34189987,
1166,2.968225956,1166,100.9206772,1166,0.1020061001,1166,18.96549606,1166,16.38679504,1166,43.25281525,
1163,3.043459177,1163,98.13999176,1163,0.0686558187,1163,18.45743942,1163,15.94099712,1163,41.17391586,
1160,3.046671867,1160,98.70233154,1160,0.1127631143,1160,20.24189758,1160,15.87571812,1160,40.48928452,
1157,3.057475805,1157,100.0200653,1157,0.05911409482,1157,19.96215057,1157,15.6996727,1157,41.33638,
1154,3.035964727,1154,101.8072815,1154,0.0005197635037,1154,20.48983002,1154,15.85573101,1154,41.6301651,
1151,2.966353178,1151,103.3586349,1151,0.03960619122,1151,20.48374176,1151,16.19953156,1151,42.45698166,
1148,2.94647336,1148,104.1961441,1148,0.04459773004,1148,19.20385742,1148,16.38980293,1148,40.35387802,
1145,2.95630908,1145,100.4041214,1145,0.09749627858,1145,19.21680069,1145,16.27272797,1145,42.84106445,
1142,3.010638475,1142,98.58901215,1142,0.06650800258,1142,18.98435593,1142,16.00883102,1142,41.65314865,
1139,3.03420043,1139,97.96395111,1139,0.01515049487,1139,20.37293816,1139,15.67908669,1139,43.17437363,
1136,3.035881042,1136,100.1595154,1136,0.0662317127,1136,20.39086723,1136,15.72402,1136,42.96044159,
1133,3.016199827,1133,101.6015396,1133,0.1285940558,1133,20.54831886,1133,15.85538864,1133,42.2392807,
1130,2.947980881,1130,103.2494049,1130,0.0137753943,1130,20.75852394,1130,16.19407654,1130,41.45030594,
1127,2.928183794,1127,104.2423248,1127,0.06940613687,1127,19.45188713,1127,16.4366436,1127,41.03160095,
1124,2.93707943,1124,100.5275574,1124,0.04478092119,1124,19.13839531,1124,16.3454895,1124,42.03384781,
1121,2.977692604,1121,99.3259964,1121,0.05725234374,1121,19.1675663,1121,16.12624931,1121,42.90513992,
1118,3.017668009,1118,97.586586,1118,0.05849604309,1118,20.05531311,1118,15.73989201,1118,45.18547821,
1115,3.001951694,1115,100.3898468,1115,0.1235392764,1115,20.70709038,1115,15.7638092,1115,42.82323074,
1112,3.000397444,1112,101.0416489,1112,0.09018491209,1112,20.80006981,1112,15.80042076,1112,39.59340286,
1109,2.919785023,1109,103.5458908,1109,0.08538473397,1109,20.98586845,1109,16.32579422,1109,39.02434921,
1106,2.905613661,1106,103.9995422,1106,0.07160006464,1106,19.75086975,1106,16.35999298,1106,41.84323883,
1103,2.909781933,1103,100.6944809,1103,0.07575105876,1103,19.41181755,1103,16.42653084,1103,43.106987,
1100,2.948269129,1100,99.28574371,1100,0.06762451679,1100,19.79595184,1100,16.09808159,1100,45.26176834,
1097,2.995773077,1097,97.44490051,1097,0.1211371049,1097,20.28697014,1097,15.62870598,1097,43.27116776,
1094,2.98286438,1094,100.2540588,1094,0.09084954113,1094,21.39268112,1094,15.67516327,1094,41.04853439,
1091,2.99063921,1091,100.5514374,1091,0.04808265716,1091,21.16841316,1091,15.55333614,1091,38.55924225,
1088,2.908581257,1088,103.5821457,1088,0.07683818787,1088,21.59739494,1088,16.12876129,1088,40.35690308,
