FePS3_SameGrating2,,
Wavelength (nm),%T,
1600,26.71202469,
1599,26.76864052,
1598,26.81834793,
1597,26.83367729,
1596,26.73633766,
1595,26.62883186,
1594,26.64091301,
1593,26.74214554,
1592,26.8329525,
1591,26.7954464,
1590,26.72435379,
1589,26.63277435,
1588,26.63137627,
1587,26.7515564,
1586,26.82554054,
1585,26.82369423,
1584,26.74350357,
1583,26.7122364,
1582,26.71043205,
1581,26.74943733,
1580,26.76232719,
1579,26.67962837,
1578,26.67733383,
1577,26.76980591,
1576,26.93175316,
1575,27.01633263,
1574,26.91037369,
1573,26.73809433,
1572,26.62777328,
1571,26.78440285,
1570,27.04297256,
1569,27.18876839,
1568,27.10687447,
1567,26.8261528,
1566,26.63908386,
1565,26.71795464,
1564,27.05065346,
1563,27.2662487,
1562,27.21484566,
1561,26.96782303,
1560,26.68221855,
1559,26.64268875,
1558,26.81487465,
1557,27.00457954,
1556,26.93119431,
1555,26.71018219,
1554,26.49855614,
1553,26.43050003,
1552,26.56672668,
1551,26.7116642,
1550,26.72166252,
1549,26.59579277,
1548,26.4692421,
1547,26.49202919,
1546,26.58231354,
1545,26.70981598,
1544,26.70147133,
1543,26.61469841,
1542,26.52960968,
1541,26.52338219,
1540,26.63943481,
1539,26.73413086,
1538,26.77634048,
1537,26.69259834,
1536,26.5836277,
1535,26.56366539,
1534,26.684412,
1533,26.90188026,
1532,26.97759247,
1531,26.8859539,
1530,26.70501137,
1529,26.60858536,
1528,26.74778938,
1527,26.9605751,
1526,27.02973747,
1525,26.8500061,
1524,26.55136299,
1523,26.36688042,
1522,26.48801231,
1521,26.74367523,
1520,26.80707359,
1519,26.63883018,
1518,26.35485268,
1517,26.23347664,
1516,26.42243576,
1515,26.72250366,
1514,26.85747719,
1513,26.68824196,
1512,26.43844986,
1511,26.3703022,
1510,26.51292992,
1509,26.74594879,
1508,26.80521584,
1507,26.66148186,
1506,26.44561195,
1505,26.4493885,
1504,26.60755157,
1503,26.75709343,
1502,26.73869705,
1501,26.54685402,
1500,26.456604,
1499,26.55221748,
1498,26.79536629,
1497,26.93689537,
1496,26.82705498,
1495,26.58463097,
1494,26.43119621,
1493,26.53628349,
1492,26.71677399,
1491,26.74902153,
1490,26.5250721,
1489,26.21515656,
1488,26.11156464,
1487,26.25283051,
1486,26.4968338,
1485,26.5185051,
1484,26.35113907,
1483,26.18886566,
1482,26.1705513,
1481,26.34803963,
1480,26.51021767,
1479,26.50204659,
1478,26.33188057,
1477,26.20210648,
1476,26.23565292,
1475,26.2942543,
1474,26.33840942,
1473,26.26332855,
1472,26.23008537,
1471,26.29499817,
1470,26.45069122,
1469,26.57602501,
1468,26.5720005,
1467,26.51520348,
1466,26.47003174,
1465,26.53471756,
1464,26.62651825,
1463,26.64830971,
1462,26.59708786,
1461,26.44527817,
1460,26.33282852,
1459,26.32351303,
1458,26.43613815,
1457,26.52450562,
1456,26.49472046,
1455,26.39015007,
1454,26.25349998,
1453,26.24713135,
1452,26.27245712,
1451,26.24504471,
1450,26.118433,
1449,25.99018478,
1448,25.94541931,
1447,25.90723038,
1446,25.8274498,
1445,25.67247772,
1444,25.59841919,
1443,25.66750717,
1442,25.73497581,
1441,25.69017792,
1440,25.50190353,
1439,25.35728836,
1438,25.34651756,
1437,25.43071747,
1436,25.44232941,
1435,25.31463814,
1434,25.19122314,
1433,25.11390114,
1432,25.08164024,
1431,25.06057549,
1430,25.04449463,
1429,25.03994751,
1428,24.99524689,
1427,24.94826889,
1426,24.88762093,
1425,24.84718895,
1424,24.84746933,
1423,24.81883812,
1422,24.75125504,
1421,24.66687393,
1420,24.64300728,
1419,24.63150978,
1418,24.55883217,
1417,24.45571136,
1416,24.37969398,
1415,24.37791634,
1414,24.33638954,
1413,24.24620628,
1412,24.13264465,
1411,24.04081535,
1410,23.98248863,
1409,23.84241867,
1408,23.70080566,
1407,23.56789207,
1406,23.46836281,
1405,23.31539154,
1404,23.03016853,
1403,22.739048,
1402,22.530056,
1401,22.39304924,
1400,22.2196579,
1399,21.97088623,
1398,21.73223877,
1397,21.50861359,
1396,21.31860924,
1395,21.16366959,
1394,20.9814415,
1393,20.83969307,
1392,20.68024635,
1391,20.43279266,
1390,20.05212975,
1389,19.68263817,
1388,19.47652054,
1387,19.34292603,
1386,19.12765121,
1385,18.81882668,
1384,18.55595398,
1383,18.40584946,
1382,18.30336189,
1381,18.10412407,
1380,17.87448311,
1379,17.67184067,
1378,17.48590469,
1377,17.21726799,
1376,16.87169647,
1375,16.51251221,
1374,16.20886803,
1373,15.95441246,
1372,15.66593361,
1371,15.30725956,
1370,14.98597145,
1369,14.73538399,
1368,14.50437737,
1367,14.19480133,
1366,13.86068344,
1365,13.54953194,
1364,13.24463177,
1363,12.90104866,
1362,12.48841286,
1361,12.07262039,
1360,11.74020958,
1359,11.46529961,
1358,11.16024971,
1357,10.82822037,
1356,10.52629757,
1355,10.24034882,
1354,9.951841354,
1353,9.671811104,
1352,9.378298759,
1351,9.119765282,
1350,8.909407616,
1349,8.681990623,
1348,8.442491531,
1347,8.202868462,
1346,7.980455399,
1345,7.772312164,
1344,7.554959297,
1343,7.339502335,
1342,7.11974144,
1341,6.928519249,
1340,6.73211813,
1339,6.519995689,
1338,6.317336082,
1337,6.132933617,
1336,5.960580826,
1335,5.782605171,
1334,5.608951092,
1333,5.423278809,
1332,5.255810261,
1331,5.109603405,
1330,4.954488277,
1329,4.795700073,
1328,4.646621227,
1327,4.515684605,
1326,4.364349842,
1325,4.218281746,
1324,4.085476398,
1323,3.964332104,
1322,3.838819981,
1321,3.722129107,
1320,3.599903822,
1319,3.487512112,
1318,3.377826929,
1317,3.275096416,
1316,3.170403004,
1315,3.077837706,
1314,2.978615284,
1313,2.880988359,
1312,2.78357935,
1311,2.69608283,
1310,2.608183384,
1309,2.527772188,
1308,2.456122637,
1307,2.368155956,
1306,2.290325642,
1305,2.217726946,
1304,2.142950058,
1303,2.066444874,
1302,2.013680458,
1301,1.949799299,
1300,1.885197878,
1299,1.828952074,
1298,1.768968582,
1297,1.714163303,
1296,1.666982293,
1295,1.620824575,
1294,1.578033328,
1293,1.535049796,
1292,1.496864557,
1291,1.454265714,
1290,1.41776824,
1289,1.382681966,
1288,1.350445747,
1287,1.323701978,
1286,1.299651504,
1285,1.269860506,
1284,1.243492246,
1283,1.21470046,
1282,1.189549208,
1281,1.163795352,
1280,1.148630738,
1279,1.125031948,
1278,1.107051611,
1277,1.083324075,
1276,1.060456395,
1275,1.039973855,
1274,1.018865824,
1273,1.008970976,
1272,0.9900187254,
1271,0.9684698582,
1270,0.9509311318,
1269,0.9366646409,
1268,0.9178370237,
1267,0.906170249,
1266,0.897172749,
1265,0.8797182441,
1264,0.8682130575,
1263,0.8549017906,
1262,0.8384239078,
1261,0.8314301372,
1260,0.8169250488,
1259,0.8070542216,
1258,0.803498745,
1257,0.7957675457,
1256,0.7813220024,
1255,0.7721604109,
1254,0.7600151896,
1253,0.7553921938,
1252,0.7466204166,
1251,0.7407791615,
1250,0.7346076965,
1249,0.7253504992,
1248,0.7183267474,
1247,0.7142986059,
1246,0.7012341022,
1245,0.6987668276,
1244,0.6943772435,
1243,0.6898345947,
1242,0.6851615906,
1241,0.6756509542,
1240,0.6672856808,
1239,0.6676387191,
1238,0.6633406281,
1237,0.659132123,
1236,0.6507893205,
1235,0.6439971924,
1234,0.6429745555,
1233,0.6397868991,
1232,0.6304548979,
1231,0.6333163381,
1230,0.6265076399,
1229,0.62465626,
1228,0.6171362996,
1227,0.6122442484,
1226,0.6079289317,
1225,0.604201138,
1224,0.6044198275,
1223,0.6012685895,
1222,0.5967643857,
1221,0.5932566524,
1220,0.5933238864,
1219,0.590274632,
1218,0.5834442377,
1217,0.5787490606,
1216,0.5808593035,
1215,0.5751549006,
1214,0.5752583146,
1213,0.5716328025,
1212,0.5637655854,
1211,0.5681207776,
1210,0.5610836148,
1209,0.5674827099,
1208,0.5587178469,
1207,0.5562642813,
1206,0.551802516,
1205,0.5486216545,
1204,0.5456919074,
1203,0.5462762713,
1202,0.5484243631,
1201,0.5478562117,
1200,0.5447942615,
1199,0.5365490913,
1198,0.5333570242,
1197,0.5367484093,
1196,0.5295363665,
1195,0.5248504877,
1194,0.5241025686,
1193,0.5223438144,
1192,0.5258716345,
1191,0.5211958885,
1190,0.5207622647,
1189,0.5203014016,
1188,0.5204620957,
1187,0.5156595111,
1186,0.5136841536,
1185,0.5176830292,
1184,0.5160717368,
1183,0.5128612518,
1182,0.5119559765,
1181,0.5092263222,
1180,0.5109781027,
1179,0.5096946955,
1178,0.5087669492,
1177,0.5062837005,
1176,0.5090548396,
1175,0.5040155649,
1174,0.5004615784,
1173,0.5056999326,
1172,0.4987476766,
1171,0.5017555952,
1170,0.5024040937,
1169,0.5031746626,
1168,0.5006549954,
1167,0.5012256503,
1166,0.4967912436,
1165,0.4972069561,
1164,0.4998312294,
1163,0.5007844567,
1162,0.4980859458,
1161,0.499997437,
1160,0.4936993718,
1159,0.4954907596,
1158,0.494961381,
1157,0.4934146106,
1156,0.4958162904,
1155,0.494151473,
1154,0.4984841645,
1153,0.4926691651,
1152,0.4923577011,
1151,0.491425395,
1150,0.4903403521,
1149,0.4929670691,
1148,0.4930730462,
1147,0.4960367978,
1146,0.48889938,
1145,0.488534838,
1144,0.4889377952,
1143,0.4903889596,
1142,0.4901626706,
1141,0.490124613,
1140,0.490530163,
1139,0.4906346202,
1138,0.4882123768,
1137,0.4861645997,
1136,0.4877441525,
1135,0.4886273146,
1134,0.4881081283,
1133,0.4856569171,
1132,0.4851198196,
1131,0.4799340963,
1130,0.4841654599,
1129,0.4854613841,
1128,0.4867374897,
1127,0.4903829992,
1126,0.4910185933,
1125,0.4820460379,
1124,0.4815167189,
1123,0.4826231897,
1122,0.4805487096,
1121,0.4844776392,
1120,0.4809339643,
1119,0.4844399989,
1118,0.4799785018,
1117,0.4814784527,
1116,0.481387645,
1115,0.4783889651,
1114,0.4861014783,
1113,0.4821763933,
1112,0.4838536084,
1111,0.4811288714,
1110,0.4765382409,
1109,0.4758737087,
1108,0.4752841294,
1107,0.4831062555,
1106,0.4787095487,
1105,0.4849060774,
1104,0.4800814092,
1103,0.4756518304,
1102,0.4739890397,
1101,0.476505518,
1100,0.4784775078,
1099,0.4810140431,
1098,0.4824908078,
1097,0.4798744917,
1096,0.4799275994,
1095,0.4742663801,
1094,0.4790119827,
1093,0.4789000452,
1092,0.4789400399,
1091,0.483584255,
1090,0.4833773375,
1089,0.4806703925,
1088,0.4798911512,
1087,0.4778963029,
1086,0.4825838804,
1085,0.4822876453,
1084,0.4819613099,
1083,0.4791023135,
1082,0.4868801236,
1081,0.4833283424,
1080,0.4794071019,
1079,0.4816107452,
1078,0.4838856757,
1077,0.4863843322,
1076,0.4896518886,
1075,0.4836784303,
1074,0.4858903587,
1073,0.4866448641,
1072,0.4878380001,
1071,0.4926790595,
1070,0.4894683957,
1069,0.48794505,
1068,0.4906844795,
1067,0.4892303944,
1066,0.4882475436,
1065,0.4960236251,
1064,0.4977707863,
1063,0.4959245324,
1062,0.4979721606,
1061,0.4989422858,
1060,0.4957468808,
1059,0.4998840392,
1058,0.5021154881,
1057,0.4986788034,
1056,0.5073319077,
1055,0.5070742369,
1054,0.5103850961,
1053,0.5069300532,
1052,0.5077553988,
1051,0.5108357668,
1050,0.5166086555,
1049,0.5176831484,
1048,0.5227549076,
1047,0.5238466859,
1046,0.5246161222,
1045,0.5250197649,
1044,0.5243615508,
1043,0.5368896723,
1042,0.5335510373,
1041,0.543381989,
1040,0.5382583141,
1039,0.539060533,
1038,0.5400050282,
1037,0.5502272844,
1036,0.5536392331,
1035,0.5574861765,
1034,0.5590751171,
1033,0.5585132837,
1032,0.5626779199,
1031,0.562795341,
1030,0.5687795877,
1029,0.5823959708,
1028,0.5850094557,
1027,0.5835713148,
1026,0.590965569,
1025,0.5918363929,
1024,0.5957327485,
1023,0.5932202935,
1022,0.6069329381,
1021,0.6074423194,
1020,0.6213893294,
1019,0.6231921911,
1018,0.6225428581,
1017,0.6318057179,
1016,0.6377003193,
1015,0.6460270286,
1014,0.6448712945,
1013,0.6566417813,
1012,0.6659109592,
1011,0.673858285,
1010,0.6748424172,
1009,0.6746617556,
1008,0.6787586808,
1007,0.7006336451,
1006,0.6994621754,
1005,0.7030539513,
1004,0.7053797245,
1003,0.721062839,
1002,0.7188013196,
1001,0.730858326,
1000,0.736435771,
999,0.7383326888,
998,0.7551506758,
997,0.7580438256,
996,0.7643492222,
995,0.7710238695,
994,0.7771908045,
993,0.7830893397,
992,0.7952204943,
991,0.796421349,
990,0.8082098961,
989,0.8001835942,
988,0.8116343021,
987,0.8263869882,
986,0.8331702352,
985,0.835498035,
984,0.8419749141,
983,0.8377715945,
982,0.8415121436,
981,0.8476566672,
980,0.853534162,
979,0.8631842136,
978,0.867601037,
977,0.8763645887,
976,0.8732455969,
975,0.8790695071,
974,0.8795276284,
973,0.8873422742,
972,0.891608119,
971,0.8910324574,
970,0.8956157565,
969,0.9012736082,
968,0.8928904533,
967,0.8933259249,
966,0.8988983631,
965,0.9047612548,
964,0.907987237,
963,0.9094520211,
962,0.910541594,
961,0.9079377055,
960,0.8995948434,
959,0.8983204365,
958,0.9099054933,
957,0.8997670412,
956,0.8943349123,
955,0.898619473,
954,0.8878495693,
953,0.8864995241,
952,0.8845842481,
951,0.884172976,
950,0.8852224946,
949,0.8771792054,
948,0.8588502407,
947,0.8500431776,
946,0.841432333,
945,0.8382912874,
944,0.8314607739,
943,0.8227716088,
942,0.8265131116,
941,0.8061872721,
940,0.8071275353,
939,0.7979474068,
938,0.7876458764,
937,0.7712973952,
936,0.7767839432,
935,0.7573404908,
934,0.7381902337,
933,0.7244913578,
932,0.7177699208,
931,0.7120714784,
930,0.7115064859,
929,0.689111352,
928,0.6790032983,
927,0.6674352288,
926,0.6523985267,
925,0.659778595,
924,0.6392592788,
923,0.6364777684,
922,0.6300967932,
921,0.6078596711,
920,0.5923682451,
919,0.5924805999,
918,0.5772632957,
917,0.5668774247,
916,0.5607504249,
915,0.5409975648,
914,0.5412541032,
913,0.5449439287,
912,0.514441669,
911,0.4898731112,
910,0.497594744,
