Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,22.88717842,2000,2.499629021,2000,1.714446902,2000,5.086698532,2000,3.392979145,
1997,23.12229538,1997,2.45319128,1997,1.598278999,1997,5.101586342,1997,3.370075941,
1994,22.79998589,1994,2.499873161,1994,1.616522312,1994,5.122926235,1994,3.383134365,
1991,22.87382126,1991,2.515093803,1991,1.651605368,1991,5.229606152,1991,3.443393469,
1988,23.06795502,1988,2.512640953,1988,1.735250473,1988,5.282020092,1988,3.437688828,
1985,22.99238014,1985,2.56794858,1985,1.761240721,1985,5.221069813,1985,3.397954226,
1982,23.2173481,1982,2.511523008,1982,1.779962897,1982,5.227108479,1982,3.447672367,
1979,23.41033745,1979,2.518168926,1979,1.698765516,1979,5.210206509,1979,3.483434439,
1976,23.20710564,1976,2.571174622,1976,1.632736087,1976,5.200208187,1976,3.471206427,
1973,23.2787571,1973,2.616191149,1973,1.669415116,1973,5.298612118,1973,3.512747288,
1970,23.42584229,1970,2.677185059,1970,1.716274619,1970,5.33891964,1970,3.550447226,
1967,23.21185684,1967,2.735621929,1967,1.720706224,1967,5.363526344,1967,3.571460724,
1964,23.56006241,1964,2.73513937,1964,1.785376668,1964,5.405779839,1964,3.613581181,
1961,23.72360992,1961,2.714784861,1961,1.787644267,1961,5.385361195,1961,3.671695709,
1958,23.60414124,1958,2.697787285,1958,1.740877151,1958,5.20652914,1958,3.665886879,
1955,23.87097168,1955,2.68431592,1955,1.622327209,1955,5.313500881,1955,3.756850243,
1952,23.75385475,1952,2.639516354,1952,1.636972666,1952,5.28074646,1952,3.757652998,
1949,23.53381729,1949,2.671081543,1949,1.671995401,1949,5.303982258,1949,3.761481524,
1946,23.8779335,1946,2.637249708,1946,1.702750087,1946,5.47832346,1946,3.762681484,
1943,23.90387154,1943,2.644575834,1943,1.810963035,1943,5.405615807,1943,3.737704039,
1940,23.92239189,1940,2.598323584,1940,1.791087031,1940,5.31294775,1940,3.733352661,
1937,24.24578857,1937,2.573568106,1937,1.723199844,1937,5.282649517,1937,3.835632563,
1934,24.0289917,1934,2.527430773,1934,1.63577342,1934,5.267847061,1934,3.780762434,
1931,23.96659279,1931,2.532211781,1931,1.666734934,1931,5.192276478,1931,3.820822477,
1928,24.13849258,1928,2.634526253,1928,1.631599665,1928,5.299374104,1928,3.847582579,
1925,23.90919113,1925,2.632180691,1925,1.706023097,1925,5.280988693,1925,3.812547684,
1922,24.05731583,1922,2.678284883,1922,1.787546039,1922,5.272356033,1922,3.734949112,
1919,24.33915138,1919,2.712749958,1919,1.75570941,1919,5.235924244,1919,3.697528362,
1916,23.9975605,1916,2.672319412,1916,1.790025473,1916,5.092708588,1916,3.720908165,
1913,24.23694801,1913,2.673086405,1913,1.61737299,1913,5.15655899,1913,3.66528821,
1910,24.22813606,1910,2.748861074,1910,1.686869144,1910,5.144107342,1910,3.627417326,
1907,23.90461922,1907,2.821694613,1907,1.688700318,1907,5.208094597,1907,3.639949799,
1904,24.25338173,1904,2.816187859,1904,1.756445289,1904,5.307612419,1904,3.636497259,
1901,24.13681221,1901,2.794758797,1901,1.861103415,1901,5.277596951,1901,3.522846222,
1898,24.19587898,1898,2.757964849,1898,1.838752389,1898,5.225751877,1898,3.544577122,
1895,24.53696823,1895,2.656961918,1895,1.817857504,1895,5.185847282,1895,3.616764069,
1892,24.2210083,1892,2.66174078,1892,1.650899291,1892,5.108551502,1892,3.52993989,
1889,24.41159248,1889,2.597277164,1889,1.643233895,1889,5.037817001,1889,3.625404358,
1886,24.09713173,1886,2.625288486,1886,1.573759317,1886,5.075627804,1886,3.672080517,
1883,23.74550629,1883,2.626812935,1883,1.632683873,1883,5.140820503,1883,3.519797325,
1880,24.05705452,1880,2.624130726,1880,1.729015827,1880,5.299027443,1880,3.608531952,
1877,24.00746918,1877,2.628756762,1877,1.73763001,1877,5.21367979,1877,3.60904932,
1874,24.23015213,1874,2.597210169,1874,1.735427976,1874,5.111495495,1874,3.613337517,
1871,24.43487549,1871,2.573713541,1871,1.650850654,1871,5.197525978,1871,3.61725831,
1868,24.06231689,1868,2.641250134,1868,1.687286019,1868,5.282366276,1868,3.699678183,
1865,24.33036423,1865,2.658178568,1865,1.710206628,1865,5.280888557,1865,3.68245101,
1862,24.36421394,1862,2.689651489,1862,1.767884374,1862,5.397543907,1862,3.701094866,
1859,24.4044857,1859,2.724108219,1859,1.853769422,1859,5.32725811,1859,3.777261019,
1856,24.57049751,1856,2.708707333,1856,1.811712742,1856,5.31310463,1856,3.800845861,
1853,24.38731575,1853,2.751815319,1853,1.822443247,1853,5.174416542,1853,3.817944527,
1850,24.49416924,1850,2.718952179,1850,1.706649542,1850,5.26994276,1850,3.910582542,
1847,24.49944305,1847,2.756986618,1847,1.674152136,1847,5.213040829,1847,3.821425438,
1844,24.37146759,1844,2.78303957,1844,1.7492944,1844,5.316488266,1844,3.795488834,
1841,24.52879906,1841,2.776422501,1841,1.737040639,1841,5.410355091,1841,3.897566319,
1838,24.55158043,1838,2.787381887,1838,1.871594429,1838,5.376142025,1838,3.806218147,
1835,24.83813095,1835,2.733741522,1835,1.877938747,1835,5.366369247,1835,3.747824669,
1832,24.9287529,1832,2.630795956,1832,1.8707968,1832,5.247559071,1832,3.862539768,
1829,24.9044342,1829,2.59442544,1829,1.769396067,1829,5.194926262,1829,3.724045992,
1826,25.13458633,1826,2.600182295,1826,1.75053978,1826,5.220551968,1826,3.784678936,
1823,24.77133369,1823,2.628847122,1823,1.757543206,1823,5.165503025,1823,3.78777051,
1820,24.86419678,1820,2.641520023,1820,1.807964206,1820,5.316692352,1820,3.620226622,
1817,24.96195984,1817,2.658353806,1817,1.929781556,1817,5.273173809,1817,3.637955427,
1814,24.99240685,1814,2.657809019,1814,1.957722187,1814,5.2846241,1814,3.653287172,
1811,25.22246552,1811,2.646156549,1811,1.934763074,1811,5.154206276,1811,3.527413368,
1808,25.16440773,1808,2.686702728,1808,1.829232097,1808,5.162389278,1808,3.61083293,
1805,25.21282959,1805,2.675061941,1805,1.768249273,1805,5.169607162,1805,3.621318579,
1802,25.0677681,1802,2.742796421,1802,1.763900876,1802,5.171580791,1802,3.541720629,
1799,24.97750282,1799,2.809555769,1799,1.737811923,1799,5.355135441,1799,3.583171606,
1796,25.16513252,1796,2.787868977,1796,1.881247997,1796,5.318043232,1796,3.580615997,
1793,25.17622757,1793,2.78125906,1793,1.870232463,1793,5.308963776,1793,3.494857311,
1790,25.39826012,1790,2.695481777,1790,1.86273849,1790,5.288561821,1790,3.668716908,
1787,25.31910515,1787,2.65317893,1787,1.745083928,1787,5.172112465,1787,3.628019571,
1784,25.37537003,1784,2.622445822,1784,1.711562037,1784,5.263366699,1784,3.638001919,
1781,25.24618721,1781,2.642980576,1781,1.762566686,1781,5.297533035,1781,3.735473633,
1778,25.20580292,1778,2.675110817,1778,1.779774427,1778,5.382374763,1778,3.620923758,
1775,25.31710243,1775,2.646974325,1775,1.939029217,1775,5.478681087,1775,3.681409359,
1772,25.4221344,1772,2.659235477,1772,1.9473176,1772,5.414369106,1772,3.742894888,
1769,25.57457161,1769,2.632399797,1769,1.949027419,1769,5.336236954,1769,3.679223061,
1766,25.56613731,1766,2.646169662,1766,1.880118847,1766,5.303003311,1766,3.796837807,
1763,25.60915375,1763,2.646831512,1763,1.820187092,1763,5.282451153,1763,3.780843019,
1760,25.46827126,1760,2.729738474,1760,1.768996358,1760,5.318202496,1760,3.723912239,
1757,25.46729088,1757,2.773306608,1757,1.745801926,1757,5.382860661,1757,3.814535141,
1754,25.49740982,1754,2.817243576,1754,1.828838348,1754,5.379571915,1754,3.713013887,
1751,25.66269112,1751,2.790483236,1751,1.812366605,1751,5.381010056,1751,3.686695099,
1748,25.76808929,1748,2.809221745,1748,1.817969799,1748,5.273395061,1748,3.723848343,
1745,25.78171539,1745,2.766632557,1745,1.716111779,1745,5.221429825,1745,3.628348112,
1742,25.81833649,1742,2.768210411,1742,1.66206193,1742,5.233501911,1742,3.689017057,
1739,25.68185997,1739,2.756209612,1739,1.656349778,1739,5.208086967,1739,3.691317081,
1736,25.71134186,1736,2.7593081,1736,1.712619305,1736,5.289382935,1736,3.624542713,
1733,25.69356537,1733,2.712548733,1733,1.816011071,1733,5.343628407,1733,3.65200305,
1730,25.89894295,1730,2.707813263,1730,1.877081633,1730,5.291615009,1730,3.593789339,
1727,25.93357468,1727,2.660872698,1727,1.887962461,1727,5.223963261,1727,3.578063011,
1724,26.04957199,1724,2.610865355,1724,1.811031461,1724,5.105016232,1724,3.614324808,
1721,26.03678131,1721,2.607522249,1721,1.698747635,1721,5.118330002,1721,3.502680302,
