Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,94.2820282,2000,11.28815937,2000,12.70898151,2000,29.16702271,2000,14.63686371,
1997,95.52442932,1997,11.26480961,1997,12.66152,1997,29.20582008,1997,14.65207481,
1994,96.23551178,1994,11.18185329,1994,12.5905962,1994,29.47970963,1994,14.72238731,
1991,96.33519745,1991,11.21832848,1991,12.88306522,1991,29.56181717,1991,14.84352016,
1988,98.21767426,1988,11.26269436,1988,13.52806377,1988,30.24162292,1988,14.99556923,
1985,98.75810242,1985,11.2451582,1985,13.43615818,1985,30.49829102,1985,15.28990078,
1982,98.83157349,1982,11.30805492,1982,13.62168598,1982,30.73092079,1982,15.35852432,
1979,100.1063614,1979,11.54440212,1979,13.08987999,1979,31.20280457,1979,15.80119133,
1976,100.6742096,1976,11.85781956,1976,13.30482674,1976,31.20739746,1976,15.84718513,
1973,100.9291382,1973,12.06775379,1973,13.42263794,1973,31.6386261,1973,15.94896126,
1970,103.3629456,1970,12.27092934,1970,13.48368549,1970,32.0424881,1970,16.01002502,
1967,103.6464844,1967,12.51283455,1967,14.1729908,1967,32.57451248,1967,16.44345665,
1964,104.0189362,1964,12.73143101,1964,14.32911015,1964,32.99436188,1964,16.59667587,
1961,106.33992,1961,12.82090092,1961,14.42372036,1961,33.55543518,1961,16.91671181,
1958,106.0305481,1958,13.07955074,1958,14.07293987,1958,33.46238327,1958,17.21053505,
1955,106.8852386,1955,13.09876919,1955,14.20617104,1955,33.49880219,1955,17.46886444,
1952,108.9614182,1952,13.07428646,1952,14.1394701,1952,33.96112061,1952,17.65847969,
1949,109.3594208,1949,13.20167065,1949,14.56115055,1949,34.37159729,1949,17.93548012,
1946,110.3748779,1946,12.91393661,1946,14.79430199,1946,34.96821213,1946,17.92494011,
1943,112.2974854,1943,13.11302948,1943,14.96610641,1943,35.39920807,1943,18.21556664,
1940,112.334671,1940,12.97149181,1940,15.31410217,1940,35.77672195,1940,18.30031395,
1937,113.2980576,1937,12.94260788,1937,14.99326229,1937,35.77519989,1937,18.69459534,
1934,114.6075745,1934,12.97110939,1934,14.87455368,1934,35.78311157,1934,18.93213844,
1931,114.2088318,1931,13.22307301,1931,15.06118011,1931,35.58401108,1931,18.84910393,
1928,115.0254517,1928,13.07107353,1928,14.84414291,1928,35.64357376,1928,18.79366875,
1925,116.3780212,1925,13.29620361,1925,15.46072388,1925,35.73478317,1925,19.17970276,
1922,115.0192719,1922,13.39737034,1922,15.85003853,1922,35.79231644,1922,18.6571846,
1919,116.3069229,1919,13.46351051,1919,15.25830746,1919,35.71556473,1919,18.47195625,
1916,116.2752838,1916,13.77961445,1916,15.46123505,1916,35.65991974,1916,18.62104416,
1913,113.9789124,1913,13.63490677,1913,15.15347672,1913,35.48293304,1913,18.03135681,
1910,114.6133423,1910,13.62532711,1910,15.30105591,1910,34.90863419,1910,17.63788033,
1907,112.2283783,1907,13.80310917,1907,15.21200657,1907,34.84895706,1907,17.40019989,
1904,112.5922089,1904,13.60973835,1904,15.79440212,1904,34.69997787,1904,17.14333153,
1901,113.8239899,1901,13.64469814,1901,15.91748905,1901,34.83502197,1901,17.02839661,
1898,110.566391,1898,13.50966072,1898,15.72814846,1898,34.95181656,1898,16.83419418,
1895,111.0270615,1895,13.18533421,1895,15.40144825,1895,34.78233337,1895,16.86700821,
1892,110.4488144,1892,13.17257023,1892,14.60109615,1892,33.74391174,1892,16.72025681,
1889,111.1927872,1889,13.08407021,1889,14.72773838,1889,33.79009247,1889,16.894804,
1886,115.2344971,1886,13.25154018,1886,14.47988605,1886,34.53117752,1886,17.88876724,
1883,114.1045227,1883,13.30101967,1883,15.19329262,1883,34.64766312,1883,17.5588913,
1880,113.4545593,1880,13.19939804,1880,15.45633411,1880,35.87122726,1880,17.65712547,
1877,112.574028,1877,12.87436771,1877,15.16698265,1877,35.35184097,1877,17.78563499,
1874,111.4985199,1874,12.8855629,1874,15.16818523,1874,35.39141846,1874,17.37099648,
1871,114.5377045,1871,12.9683466,1871,15.01028728,1871,36.1195755,1871,17.81182098,
1868,112.8267288,1868,13.04197311,1868,15.49793816,1868,36.75218964,1868,18.17969894,
1865,112.2257919,1865,12.74431515,1865,15.48893166,1865,36.18790436,1865,17.71958542,
1862,113.4352722,1862,12.76103878,1862,15.83124733,1862,36.22077942,1862,17.70891762,
1859,116.2375336,1859,13.29621696,1859,15.96260071,1859,36.83184814,1859,18.56575966,
1856,116.9253845,1856,13.59774208,1856,16.13152885,1856,37.02789307,1856,18.71984863,
1853,118.1554565,1853,13.82617092,1853,15.94119072,1853,37.36791611,1853,18.95790863,
1850,116.3989105,1850,14.21652889,1850,15.92806435,1850,37.75050354,1850,19.48217201,
1847,118.4135895,1847,14.30735302,1847,15.95124054,1847,37.44260025,1847,19.16259384,
1844,117.0560455,1844,14.39265156,1844,16.25956535,1844,37.68207932,1844,18.99323082,
1841,119.2410812,1841,14.40836906,1841,16.54592705,1841,38.17850494,1841,19.60225677,
1838,118.7967453,1838,14.11092854,1838,17.09947586,1838,37.86273575,1838,19.18045807,
1835,120.209816,1835,14.23780632,1835,17.41919136,1835,38.681427,1835,19.07620049,
1832,120.7892914,1832,14.08301449,1832,17.05283165,1832,38.94720459,1832,19.53897095,
1829,119.8934097,1829,13.7398138,1829,16.93007278,1829,37.82240677,1829,19.0337162,
1826,121.4553986,1826,13.69546986,1826,16.66797447,1826,38.13952255,1826,19.04702187,
1823,123.0418549,1823,13.72448158,1823,16.96372223,1823,38.30891037,1823,19.75419426,
1820,122.9902267,1820,13.62526608,1820,17.26813507,1820,38.00216293,1820,19.08187675,
1817,124.6239548,1817,13.68398094,1817,17.97721481,1817,38.7798233,1817,19.08993721,
1814,125.3147125,1814,13.7709465,1814,18.05076408,1814,38.8945694,1814,19.55828285,
1811,124.7888565,1811,13.883708,1811,17.86097527,1811,38.61614609,1811,18.8718853,
1808,126.1049423,1808,14.2517643,1808,17.49865913,1808,38.91639709,1808,19.16342735,
1805,126.1372223,1805,14.51200581,1805,17.5382576,1805,38.58831024,1805,19.33366394,
1802,127.6922073,1802,14.62843704,1802,17.5592289,1802,39.0752449,1802,18.98104095,
1799,128.4592438,1799,14.83472729,1799,17.74707794,1799,39.514534,1799,19.24979782,
1796,129.544754,1796,14.92820358,1796,18.3294735,1796,39.82100677,1796,19.37444496,
1793,130.0286713,1793,15.13133049,1793,17.92800903,1793,40.47748566,1793,19.15184021,
1790,130.5757904,1790,15.17598343,1790,18.21903801,1790,40.4922142,1790,19.72704124,
1787,131.4625549,1787,15.14885426,1787,17.3619957,1787,40.56131363,1787,19.97314453,
1784,131.3939667,1784,15.01739311,1784,17.4258461,1784,40.79265594,1784,19.87492752,
1781,132.7923889,1781,14.92774296,1781,17.41362381,1781,41.46996307,1781,20.57499313,
1778,133.6461182,1778,14.85162067,1778,17.68766594,1778,41.40472412,1778,20.41249084,
1775,134.6193237,1775,14.74825478,1775,18.51128387,1775,42.3228035,1775,20.5761528,
1772,135.2471008,1772,14.74717236,1772,18.51232147,1772,42.50072861,1772,21.38071442,
1769,135.692688,1769,14.83946896,1769,18.89896965,1769,42.48022079,1769,21.23672104,
1766,136.0974884,1766,14.93554115,1766,18.21875381,1766,42.99959183,1766,21.73573494,
1763,136.5114746,1763,15.21683025,1763,18.55429649,1763,42.19550323,1763,21.91372681,
1760,137.4823761,1760,15.33552551,1760,18.60923195,1760,42.43096542,1760,21.61548615,
1757,138.4641113,1757,15.48477268,1757,18.76775742,1757,42.602314,1757,22.30517197,
1754,139.311676,1754,15.7678051,1754,19.20854759,1754,42.43080902,1754,22.05740166,
1751,139.9974518,1751,16.0103817,1751,19.16296387,1751,43.1288414,1751,21.69186401,
1748,140.6990509,1748,16.05673981,1748,19.06494713,1748,43.24995804,1748,22.18416214,
1745,140.7658234,1745,16.24929047,1745,18.27839088,1745,42.96365738,1745,21.69155121,
1742,141.429718,1742,16.36204338,1742,18.16657066,1742,43.13496399,1742,21.96356201,
1739,142.0902405,1739,16.26682472,1739,18.08194733,1739,42.75149536,1739,22.33719444,
1736,143.3998566,1736,16.30430222,1736,18.30560493,1736,43.26446915,1736,21.94672585,
1733,144.0972748,1733,16.06654167,1733,18.87301445,1733,43.69712067,1733,22.41337967,
1730,144.841095,1730,15.95340252,1730,19.11237717,1730,43.3952179,1730,22.3137207,
1727,145.7462616,1727,15.8995924,1727,18.98910904,1727,43.91072845,1727,22.30077362,
1724,145.4506836,1724,15.89919186,1724,18.83971214,1724,43.40063477,1724,22.67530632,
1721,146.6072845,1721,15.83869171,1721,18.73517036,1721,43.4589653,1721,22.37659836,
1718,146.9663849,1718,15.87879181,1718,19.119524,1718,43.5255928,1718,22.55547714,
1715,148.5089722,1715,15.99582863,1715,19.10090446,1715,43.53176498,1715,22.51576805,
1712,148.9064484,1712,16.19361496,1712,19.68672943,1712,44.35060501,1712,22.34972954,
1709,150.3168335,1709,16.39027023,1709,19.72397041,1709,44.5287056,1709,22.67749977,
1706,150.4406281,1706,16.66275215,1706,19.46446991,1706,45.26635742,1706,22.45141029,
1703,150.9406738,1703,16.9921608,1703,19.04935455,1703,45.30028915,1703,22.70049858,
1700,151.289444,1700,17.23725891,1700,18.53868103,1700,45.14306259,1700,23.09852219,
1697,152.2102814,1697,17.34825897,1697,18.78073311,1697,45.6765976,1697,23.12210655,
1694,153.4262695,1694,17.48824883,1694,18.78399849,1694,45.96844482,1694,23.79205322,
1691,154.0529785,1691,17.4126873,1691,19.53672981,1691,46.51908112,1691,23.51843834,
1688,155.2169495,1688,17.25803757,1688,19.75208092,1688,47.12812424,1688,24.1729126,
1685,155.3929138,1685,17.01672173,1685,19.8041687,1685,46.95692444,1685,24.42772484,
1682,156.3188019,1682,17.00547028,1682,19.75629997,1682,47.00714493,1682,24.68581581,
1679,156.0355225,1679,17.01857185,1679,19.32293701,1679,46.4478302,1679,25.1842556,
1676,157.586853,1676,17.03496552,1676,19.76102448,1676,46.34431839,1676,24.93050003,
1673,157.8817444,1673,16.89435768,1673,19.49470139,1673,46.50136948,1673,25.17891502,
1670,159.8191071,1670,16.86553574,1670,20.3124218,1670,46.24968338,1670,25.09581757,
1667,159.7799988,1667,17.13536453,1667,20.17258644,1667,47.01585007,1667,24.80960846,
1664,161.5022125,1664,17.45829582,1664,20.11614418,1664,46.56629181,1664,24.79963875,
1661,160.7661285,1661,17.91698647,1661,19.50088692,1661,47.07507324,1661,24.42796898,
1658,162.0881653,1658,18.08474731,1658,19.19577026,1658,46.39228821,1658,24.50135612,
1655,162.1641693,1655,18.22008705,1655,19.38895226,1655,46.69062424,1655,24.33741379,
1652,164.0557709,1652,18.2121315,1652,19.49110413,1652,46.75369263,1652,24.36260796,
1649,164.484375,1649,18.27088356,1649,20.36080742,1649,47.13024139,1649,24.36761093,
1646,166.0269623,1646,18.2013607,1646,20.63422775,1646,47.73975754,1646,24.27315331,
1643,166.0752716,1643,18.1609745,1643,20.9727726,1643,48.06837082,1643,24.50494766,
1640,167.0278931,1640,17.91342354,1640,20.370718,1640,48.37926483,1640,24.50803947,
1637,166.8667755,1637,17.92465973,1637,20.31365967,1637,48.02921677,1637,24.66757584,
1634,168.1221771,1634,17.97823715,1634,20.12154198,1634,48.69103241,1634,24.81614494,
1631,168.7305756,1631,18.20055008,1631,20.27710152,1631,48.93021011,1631,25.15147972,
1628,170.7885437,1628,18.24042702,1628,20.60390854,1628,49.80228043,1628,25.29247475,
1625,170.673172,1625,18.43911171,1625,20.91678429,1625,50.4829216,1625,25.56336212,
1622,172.4251862,1622,18.57798004,1622,20.83666229,1622,50.81945801,1622,25.8354702,
1619,171.7103577,1619,19.03953171,1619,20.57983208,1619,50.83634949,1619,26.31482124,
1616,173.0499573,1616,19.2648716,1616,20.5458107,1616,50.66781616,1616,26.66580009,
1613,173.0705872,1613,19.49623489,1613,20.54690361,1613,50.70836639,1613,26.97573662,
1610,174.9493866,1610,19.48242569,1610,21.08701706,1610,50.68062973,1610,26.9235096,
1607,175.4101715,1607,19.44906235,1607,21.35025406,1607,50.72652054,1607,27.16429138,
1604,177.057663,1604,19.31122589,1604,22.18062592,1604,51.0327034,1604,27.08407402,
1601,176.976593,1601,19.29462051,1601,21.81902885,1601,51.07279968,1601,27.08767128,
1598,178.3862762,1598,19.05109215,1598,21.65882683,1598,50.85570145,1598,26.85048294,
1595,177.7002258,1595,18.98971176,1595,20.86390495,1595,50.60343933,1595,26.71481895,
1592,179.2737427,1592,18.92464066,1592,20.88348198,1592,50.32667542,1592,26.60251236,
1589,179.3878632,1589,19.07542038,1589,21.00567818,1589,50.6789856,1589,26.23659897,
1586,181.6433411,1586,19.18493652,1586,21.41706467,1586,50.54286194,1586,26.37268829,
1583,181.6151123,1583,19.41654778,1583,22.10811806,1583,51.07590103,1583,25.98786736,
1580,182.8334656,1580,19.55883217,1580,21.91041756,1580,51.03377151,1580,26.17239571,
1577,182.8917542,1577,19.96770477,1577,22.15249825,1577,51.18420792,1577,25.88328362,
1574,183.331543,1574,20.21751213,1574,21.26193428,1574,50.79013824,1574,25.95127869,
1571,183.8661194,1571,20.35582352,1571,21.44643402,1571,50.75822449,1571,25.703228,
1568,184.6809692,1568,20.34546852,1568,21.36450958,1568,50.87797165,1568,25.82794762,
1565,186.1189728,1565,20.12748528,1565,21.66092491,1565,51.08977509,1565,25.70705032,
1562,186.5149231,1562,19.98585129,1562,21.97733688,1562,51.60018921,1562,25.6351738,
1559,187.6865387,1559,19.80005074,1559,21.592062,1559,51.9447403,1559,25.61321259,
1556,187.3607941,1556,19.78630638,1556,21.49313927,1556,51.88633347,1556,25.65406609,
1553,187.9754486,1553,19.58529282,1553,20.52139473,1553,51.79306793,1553,26.03318405,
1550,188.003891,1550,19.78320122,1550,20.74515343,1550,51.14833069,1550,25.99260712,
1547,189.3042145,1547,19.94181061,1547,20.67982101,1547,51.24011612,1547,26.35404778,
1544,190.2467499,1544,20.26864815,1544,21.10782051,1544,50.6503334,1544,26.25606346,
1541,191.269577,1541,20.47977638,1541,21.4286232,1541,50.87412643,1541,26.27442551,
1538,191.8709869,1538,20.63226318,1538,21.41106033,1538,49.9803009,1538,25.91413879,
1535,192.1110229,1535,20.87542343,1535,20.97373962,1535,49.51864624,1535,25.92470932,
1532,192.2677002,1532,20.96110344,1532,20.06836891,1532,48.46040344,1532,25.37106323,
1529,192.6991882,1529,20.92370987,1529,19.81701088,1529,47.86021042,1529,25.14661026,
1526,193.6529236,1526,20.78862381,1526,19.46613693,1526,47.24052429,1526,24.37711716,
1523,194.5355988,1523,20.53061485,1523,19.38328552,1523,46.97127151,1523,24.04613304,
1520,195.3955231,1520,20.44117546,1520,19.61309242,1520,46.710186,1520,23.25024223,
1517,196.0340118,1517,20.49960518,1517,19.69248772,1517,46.33114624,1517,22.93823433,
1514,196.458374,1514,20.62306976,1514,19.06873512,1514,45.76004028,1514,22.54169083,
1511,196.2070618,1511,20.82078934,1511,18.53041649,1511,45.24173737,1511,22.36480331,
1508,197.0331879,1508,21.10309601,1508,18.10311508,1508,44.42241287,1508,22.10746956,
1505,197.5531464,1505,21.38488197,1505,18.00315094,1505,43.89469528,1505,21.82335472,
1502,198.8001099,1502,21.540802,1502,17.62252808,1502,43.18985748,1502,21.67782402,
1499,199.6803284,1499,21.61490822,1499,17.73530769,1499,42.72357559,1499,21.50646019,
1496,199.9715881,1496,21.72529221,1496,17.23376656,1496,41.98501587,1496,21.27625656,
1493,200.7032928,1493,21.60564995,1493,16.62117195,1493,41.10377121,1493,20.96790123,
