MnPS3,,Hole,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,13.99180698,2000,106.1286697,2000,20.52676773,2000,32.01757431,2000,14.82626343,
1997,13.94917202,1997,106.5806656,1997,20.61964798,1997,32.23016739,1997,14.9331789,
1994,13.79504395,1994,108.1126328,1994,20.59067726,1994,32.40171432,1994,15.13591862,
1991,13.89467239,1991,108.0894852,1991,20.47484398,1991,32.55851746,1991,15.1134882,
1988,13.82903767,1988,108.8103409,1988,20.47047043,1988,32.92605591,1988,15.43100452,
1985,13.82128716,1985,110.775032,1985,20.33800316,1985,33.01338577,1985,15.52220249,
1982,14.07055855,1982,110.7126617,1982,20.90146446,1982,33.09526825,1982,15.70289612,
1979,14.15715981,1979,111.5764465,1979,21.26983833,1979,33.79289246,1979,15.82517338,
1976,14.36745644,1976,113.5544205,1976,21.11930466,1976,34.084095,1976,16.06975365,
1973,14.66295147,1973,113.6517487,1973,21.61302948,1973,34.22954559,1973,16.19777298,
1970,14.87000561,1970,114.6301727,1970,21.42960358,1970,34.77993393,1970,16.582407,
1967,15.11438179,1967,116.6631317,1967,21.15169525,1967,35.12069702,1967,16.76788712,
1964,15.67039776,1964,116.3381119,1964,21.81985092,1964,35.34915924,1964,16.88902664,
1961,15.72766781,1961,117.984642,1961,21.76828766,1961,35.94997406,1961,17.26144409,
1958,15.94419003,1958,119.8253632,1958,22.1841774,1958,35.90238571,1958,17.38758469,
1955,16.19090652,1955,119.6649094,1955,22.68471336,1955,36.09582901,1955,17.60225677,
1952,15.9724369,1952,121.6761017,1952,22.53250504,1952,36.8552475,1952,17.89467812,
1949,16.21931458,1949,123.5359192,1949,22.35599518,1949,36.88963318,1949,17.93170357,
1946,16.29501152,1946,122.8320847,1946,22.58236313,1946,37.48009491,1946,18.06989098,
1943,16.02419662,1943,125.2327347,1943,22.3473053,1943,38.07046509,1943,18.50698853,
1940,16.30817795,1940,126.3781281,1940,22.70005417,1940,37.9421196,1940,18.70936584,
1937,16.22622681,1937,126.282753,1937,23.29135895,1937,38.44999695,1937,18.87265587,
1934,16.15003395,1934,128.6164856,1934,23.20335579,1934,38.86874008,1934,19.13576126,
1931,16.27008629,1931,129.3251801,1931,23.63759804,1931,38.11516571,1931,19.17761421,
1928,16.08622169,1928,127.9674149,1928,23.45118713,1928,38.35192871,1928,19.21747208,
1925,16.29352188,1925,130.9230042,1925,23.12056351,1925,38.59783173,1925,19.5408287,
1922,16.35232353,1922,129.4924622,1922,23.32159042,1922,37.66264725,1922,19.09679794,
1919,16.4284668,1919,129.3948212,1919,23.27051544,1919,37.88908386,1919,18.93321991,
1916,16.75190353,1916,131.6148834,1916,23.53872681,1916,38.05767441,1916,18.97266388,
1913,16.95041275,1913,128.4712524,1913,24.21985626,1913,37.56374741,1913,18.35260963,
1910,16.75520897,1910,128.5401306,1910,24.0868187,1910,37.65636063,1910,18.0326519,
1907,16.7449913,1907,127.6616211,1907,23.95085335,1907,37.2615242,1907,17.83851433,
1904,16.68037415,1904,125.1929626,1904,23.85144424,1904,36.96733475,1904,17.45928192,
1901,16.75832939,1901,126.8297653,1901,23.70152473,1901,37.21207809,1901,17.31440353,
1898,16.75893784,1898,124.6798553,1898,23.91453552,1898,36.97975159,1898,17.20694351,
1895,16.49720192,1895,123.0259323,1895,23.96283531,1895,37.32741165,1895,17.11684608,
1892,16.28751755,1892,124.4005814,1892,23.4470787,1892,36.61701584,1892,16.96938896,
1889,16.24702835,1889,123.9475479,1889,23.1192894,1889,36.51295853,1889,17.1838913,
1886,16.3673954,1886,128.12854,1886,22.78042221,1886,37.20666885,1886,18.11271858,
1883,16.54026413,1883,129.1392975,1883,22.90477371,1883,37.21155167,1883,17.94150734,
1880,16.2837944,1880,126.9805298,1880,23.40953445,1880,38.06111526,1880,17.97327614,
1877,16.01204491,1877,127.2511368,1877,23.08114243,1877,38.17027283,1877,18.24378395,
1874,15.83517647,1874,125.7137146,1874,23.60082054,1874,37.69399643,1874,17.80630875,
1871,15.99961185,1871,127.8799667,1871,24.24970055,1871,39.07482147,1871,18.25105667,
1868,16.05820465,1868,128.2057953,1868,24.90486336,1868,39.94947815,1868,18.68534088,
1865,15.9257412,1865,125.6970291,1865,24.81796646,1865,39.30128479,1865,18.13680458,
1862,15.82181168,1862,125.8643265,1862,24.09362221,1862,39.59323502,1862,18.33304214,
1859,16.16268349,1859,129.589386,1859,24.4469223,1859,39.61249161,1859,19.18541908,
1856,16.64785385,1856,130.4395142,1856,24.74175453,1856,39.83945084,1856,19.23817635,
1853,17.03933907,1853,133.1851349,1853,24.86930275,1853,40.33696747,1853,19.60228157,
1850,17.48288345,1850,132.2125244,1850,25.9054985,1850,41.15625,1850,20.02734756,
1847,17.66416931,1847,133.3553162,1847,25.95024681,1847,40.73033142,1847,19.73057556,
1844,17.74879646,1844,132.9959259,1844,26.20491982,1844,41.37879181,1844,19.56575012,
1841,17.72251129,1841,133.3033752,1841,26.20393944,1841,41.54662704,1841,19.96934891,
1838,17.6474781,1838,133.4595642,1838,26.28696251,1838,41.3475647,1838,19.68392754,
1835,17.7168293,1835,134.8244019,1835,26.84857178,1835,41.8869133,1835,19.63266945,
1832,17.596138,1832,135.1816864,1832,27.46221352,1832,42.42340088,1832,19.96329308,
1829,17.29846001,1829,135.2680664,1829,27.53972435,1829,41.55874634,1829,19.55684471,
1826,17.22214127,1826,135.3423767,1826,27.73070908,1826,42.1608429,1826,19.57967949,
1823,17.26307106,1823,138.3336182,1823,27.84252548,1823,42.30997086,1823,20.07976532,
1820,17.33099937,1820,137.7025757,1820,27.38249588,1820,41.90964508,1820,19.45992851,
1817,17.33776093,1817,138.8363342,1817,27.80601883,1817,42.57320404,1817,19.50252724,
1814,17.55710983,1814,140.6255798,1814,27.96127129,1814,42.64271927,1814,20.07312775,
1811,17.69286728,1811,139.6285248,1811,28.30704689,1811,42.53095627,1811,19.3123951,
1808,17.84660149,1808,141.7253723,1808,28.89154816,1808,43.00039291,1808,19.51926231,
1805,18.25086403,1805,142.2015228,1805,29.01853371,1805,43.03342438,1805,19.80423546,
1802,18.28634071,1802,143.2821808,1802,29.14738083,1802,43.10089111,1802,19.36522484,
1799,18.350811,1799,144.3444366,1799,28.80581093,1799,43.95896912,1799,19.73560333,
1796,18.66785049,1796,144.709198,1796,28.94525909,1796,43.94988251,1796,19.78552437,
1793,18.7827282,1793,146.0677185,1793,29.0284481,1793,44.44866562,1793,19.51212692,
1790,19.06685638,1790,146.3934784,1790,29.32172966,1790,45.18787766,1790,20.17977715,
1787,18.96461868,1787,147.7761383,1787,29.78496552,1787,44.9669075,1787,20.32834244,
1784,18.91935349,1784,148.4491577,1784,29.81569481,1784,46.19879913,1784,20.26670265,
1781,18.80898476,1781,149.1391296,1781,29.80689049,1781,46.56544876,1781,20.88991928,
1778,18.9389267,1778,150.1831818,1778,29.50843048,1778,46.66060638,1778,20.72200394,
1775,18.88915253,1775,150.558609,1775,29.59899902,1775,47.76669312,1775,21.13158798,
