calibration,,calibration,,
Wavelength (nm),%T,Wavelength (nm),%T,
1600,82.18160248,1600,82.1880722,
1598,82.1858902,1598,82.19360352,
1596,82.183815,1596,82.19799042,
1594,82.20230103,1594,82.21864319,
1592,82.20632935,1592,82.21243286,
1590,82.21186066,1590,82.21698761,
1588,82.21246338,1588,82.22099304,
1586,82.21895599,1586,82.21515656,
1584,82.2169342,1584,82.22964478,
1582,82.21908569,1582,82.23390198,
1580,82.22866058,1580,82.22989655,
1578,82.22120667,1578,82.22990417,
1576,82.22183228,1576,82.22914124,
1574,82.22486877,1574,82.23754883,
1572,82.23421478,1572,82.23670959,
1570,82.23043823,1570,82.23790741,
1568,82.22789001,1568,82.23483276,
1566,82.23472595,1566,82.24186707,
1564,82.24028778,1564,82.24021912,
1562,82.24021149,1562,82.23984528,
1560,82.23609924,1560,82.24929047,
1558,82.24415588,1558,82.24997711,
1556,82.24848938,1556,82.24863434,
1554,82.24048615,1554,82.24454498,
1552,82.25391388,1552,82.25971985,
1550,82.25532532,1550,82.25494385,
1548,82.24497223,1548,82.25012207,
1546,82.24567413,1546,82.25605774,
1544,82.24796295,1544,82.25855255,
1542,82.25028992,1542,82.26056671,
1540,82.24918365,1540,82.25659943,
1538,82.25015259,1538,82.26087189,
1536,82.26199341,1536,82.25927734,
1534,82.25399017,1534,82.26104736,
1532,82.25003815,1532,82.25967407,
1530,82.26077271,1530,82.26918793,
1528,82.2563858,1528,82.26451111,
1526,82.25225067,1526,82.26338959,
1524,82.25131989,1524,82.26300812,
1522,82.26369476,1522,82.26682281,
1520,82.25648499,1520,82.2662735,
1518,82.25299072,1518,82.26045227,
1516,82.26021576,1516,82.26716614,
1514,82.27076721,1514,82.27166748,
1512,82.25253296,1512,82.2637558,
1510,82.2614212,1510,82.26965332,
1508,82.26329803,1508,82.26954651,
1506,82.26085663,1506,82.2684021,
1504,82.25682068,1504,82.26355743,
1502,82.2545166,1502,82.26436615,
1500,82.26161957,1500,82.27062225,
1498,82.25730896,1498,82.26711273,
1496,82.25218964,1496,82.26550293,
1494,82.26313782,1494,82.26994324,
1492,82.25240326,1492,82.26344299,
1490,82.2559967,1490,82.26382446,
1488,82.25120544,1488,82.25926971,
1486,82.25883484,1486,82.26540375,
1484,82.25058746,1484,82.27136993,
1482,82.25199127,1482,82.25634766,
1480,82.24736786,1480,82.25392151,
1478,82.25907135,1478,82.26809692,
1476,82.24998474,1476,82.26127625,
1474,82.25107574,1474,82.25361633,
1472,82.23121643,1472,82.2407608,
1470,82.23278809,1470,82.24227142,
1468,82.23622131,1468,82.24728394,
1466,82.24362946,1466,82.2538147,
1464,82.24876404,1464,82.2509613,
1462,82.24476624,1462,82.2591629,
1460,82.24674225,1460,82.25417328,
1458,82.24216461,1458,82.2449646,
1456,82.2440567,1456,82.24671173,
1454,82.23873138,1454,82.2525177,
1452,82.22583008,1452,82.23387909,
1450,82.22025299,1450,82.21613312,
1448,82.21992493,1448,82.22776031,
1446,82.21733856,1446,82.22010803,
1444,82.20610046,1444,82.21657562,
1442,82.22463989,1442,82.22395325,
1440,82.22200012,1440,82.23674011,
1438,82.20973969,1438,82.22875977,
1436,82.2258606,1436,82.23265076,
1434,82.21586609,1434,82.2194519,
1432,82.2008667,1432,82.2144928,
1430,82.21110535,1430,82.21927643,
1428,82.21841431,1428,82.22254181,
1426,82.21548462,1426,82.23099518,
1424,82.18864441,1424,82.20652008,
1422,82.19172668,1422,82.20233917,
1420,82.18830109,1420,82.19029236,
1418,82.179039,1418,82.19181061,
1416,82.17832184,1416,82.19853973,
1414,82.16771698,1414,82.17438507,
