FePS3,,NiPS3,,CrPS4,,MnPS3,,Hole,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,8.876047134,2000,12.7833004,2000,7.426570415,2000,8.256180763,2000,12.24920273,
1998,8.878709793,1998,12.69124317,1998,7.473973751,1998,8.331508636,1998,12.23943138,
1996,8.809670448,1996,12.7401619,1996,7.402882576,1996,8.39390564,1996,12.22500801,
1994,8.72190094,1994,12.71062374,1994,7.338119984,1994,8.370063782,1994,12.21422672,
1992,8.72911644,1992,12.84457397,1992,7.322885036,1992,8.347934723,1992,12.23588371,
1990,8.776946068,1990,12.86397552,1990,7.348259449,1990,8.239778519,1990,12.25216866,
1988,8.90815258,1988,12.88460159,1988,7.396053314,1988,8.305256844,1988,12.24201298,
1986,8.924975395,1986,12.81343365,1986,7.471713543,1986,8.285657883,1986,12.25397682,
1984,8.926399231,1984,12.7076149,1984,7.488874912,1984,8.369338989,1984,12.25915241,
1982,8.882184982,1982,12.71418476,1982,7.421434879,1982,8.389657974,1982,12.26744556,
1980,8.770327568,1980,12.72970104,1980,7.3507061,1980,8.359150887,1980,12.24899387,
1978,8.784435272,1978,12.82323265,1978,7.329498291,1978,8.317865372,1978,12.24283028,
1976,8.822689056,1976,12.90274143,1976,7.381649971,1976,8.207349777,1976,12.26062298,
1974,8.958957672,1974,12.95190334,1974,7.401434422,1974,8.254796982,1974,12.28489685,
1972,8.978756905,1972,12.86753845,1972,7.504220963,1972,8.222255707,1972,12.30480194,
1970,8.976137161,1970,12.76539421,1970,7.463137627,1970,8.348668098,1970,12.28849697,
1968,8.943058968,1968,12.75408554,1968,7.455358505,1968,8.37884903,1968,12.29043579,
1966,8.82552433,1966,12.78448868,1966,7.373017788,1966,8.402447701,1966,12.29273605,
1964,8.843079567,1964,12.86065388,1964,7.348177433,1964,8.386926651,1964,12.30355072,
1962,8.860062599,1962,13.00068188,1962,7.387629986,1962,8.343482971,1962,12.30496693,
1960,9.003389359,1960,12.96319103,1960,7.387571812,1960,8.388149261,1960,12.30454826,
1958,9.02857399,1958,12.8849535,1958,7.51887846,1958,8.372218132,1958,12.32968521,
1956,9.029165268,1956,12.7592144,1956,7.446964264,1956,8.444849014,1956,12.34203148,
1954,9.007844925,1954,12.75185394,1954,7.466770649,1954,8.46360302,1954,12.32725811,
1952,8.882241249,1952,12.78574944,1952,7.362785339,1952,8.487884521,1952,12.30726624,
1950,8.901085854,1950,12.83650112,1950,7.372921944,1950,8.412042618,1950,12.31057262,
1948,8.917479515,1948,13.0017643,1948,7.385627747,1948,8.328804016,1948,12.3314724,
1946,9.053893089,1946,12.90959549,1946,7.364143372,1946,8.293944359,1946,12.33477211,
1944,9.081727982,1944,12.90755272,1944,7.496319771,1944,8.300117493,1944,12.34728813,
1942,9.096281052,1942,12.78462887,1942,7.458726406,1942,8.30798912,1942,12.34667301,
1940,9.098330498,1940,12.77724648,1940,7.486964226,1940,8.371372223,1940,12.36171532,
1938,8.956212044,1938,12.77294922,1938,7.329030991,1938,8.379617691,1938,12.35419846,
1936,8.947277069,1936,12.82504177,1936,7.351995945,1936,8.361784935,1936,12.33756542,
1934,8.970179558,1934,13.03220558,1934,7.353642464,1934,8.320368767,1934,12.34829426,
1932,9.13312912,1932,12.92166424,1932,7.384995937,1932,8.30324173,1932,12.39594269,
1930,9.168646812,1930,12.96037483,1930,7.490660191,1930,8.367125511,1930,12.39983559,
1928,9.141448021,1928,12.77258682,1928,7.457640648,1928,8.375545502,1928,12.3720789,
1926,9.160383224,1926,12.83822918,1926,7.499256134,1926,8.523487091,1926,12.39029789,
1924,9.036619186,1924,12.81231689,1924,7.356907368,1924,8.477789879,1924,12.39467144,
1922,9.015123367,1922,12.84003067,1922,7.367596149,1922,8.453401566,1922,12.38045979,
1920,8.990732193,1920,12.99473476,1920,7.326262474,1920,8.353954315,1920,12.36890507,
1918,9.147473335,1918,12.97747517,1918,7.403416157,1918,8.34585762,1918,12.40532207,
1916,9.237968445,1916,13.05925655,1916,7.52247715,1916,8.396840096,1916,12.44487667,
1914,9.213910103,1914,12.95036983,1914,7.549859524,1914,8.398278236,1914,12.44518852,
1912,9.188743591,1912,13.04773712,1912,7.539566517,1912,8.581347466,1912,12.44005489,
1910,9.047076225,1910,13.07687759,1910,7.4639678,1910,8.531272888,1910,12.446064,
1908,9.04387188,1908,13.1346674,1908,7.464203358,1908,8.526732445,1908,12.42573261,
1906,9.018014908,1906,13.2949295,1906,7.424195766,1906,8.407797813,1906,12.4320631,
1904,9.111192703,1904,13.3239851,1904,7.483994007,1904,8.435301781,1904,12.46039486,
1902,9.183905602,1902,13.32381535,1902,7.562151432,1902,8.458857536,1902,12.48783588,
1900,9.201678276,1900,13.1967392,1900,7.629663467,1900,8.48977375,1900,12.49969673,
1898,9.162242889,1898,13.2563982,1898,7.592749596,1898,8.639625549,1898,12.49191952,
1896,9.000716209,1896,13.2128582,1896,7.509114742,1896,8.542764664,1896,12.47806072,
1894,8.995976448,1894,13.15937233,1894,7.41873312,1894,8.548207283,1894,12.45884895,
1892,9.002196312,1892,13.16636086,1892,7.374083996,1892,8.345583916,1892,12.43099213,
