Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2000,231.8443604,2000,183.6027985,2000,180.4681702,2000,283.4862061,2000,142.4281769,
1998,233.0242462,1998,184.2126007,1998,180.4319153,1998,284.4737854,1998,142.9144287,
1996,233.0911865,1996,184.8852997,1996,179.0555267,1996,285.0757446,1996,143.7802582,
1994,233.390625,1994,185.9849854,1994,179.5950012,1994,285.7695923,1994,144.6200562,
1992,233.460907,1992,187.2133484,1992,180.2384186,1992,286.3711243,1992,144.9888458,
1990,234.2580872,1990,187.5756378,1990,181.4342346,1990,286.7522583,1990,145.3848877,
1988,234.7681274,1988,187.817627,1988,183.4484711,1988,287.5281677,1988,145.2241821,
1986,235.2542419,1986,187.3434601,1986,183.8758698,1986,288.413147,1986,145.2307129,
1984,236.5308838,1984,187.5483856,1984,183.8598328,1984,289.2410889,1984,145.6886597,
1982,237.1981354,1982,187.8628082,1982,182.394577,1982,290.1425781,1982,146.5039368,
1980,237.6112518,1980,188.6125946,1980,182.6046753,1980,290.6719666,1980,147.4093018,
1978,237.4356537,1978,189.69104,1978,183.2947998,1978,291.2050476,1978,147.7892609,
1976,237.7138824,1976,189.8805847,1976,184.6476746,1976,291.612854,1976,148.1911163,
1974,238.8374634,1974,189.70401,1974,186.7444458,1974,292.4723511,1974,148.1009521,
1972,239.7096863,1972,189.0094757,1972,186.9270477,1972,293.2778625,1972,148.0602112,
1970,240.8093262,1970,189.6097412,1970,186.9256897,1970,294.1620178,1970,148.5977173,
1968,241.209549,1968,190.6898041,1968,185.856842,1968,295.3371582,1968,149.2808533,
1966,241.8856201,1966,191.6347961,1966,185.92099,1966,295.7242126,1966,150.3484802,
1964,241.9358978,1964,193.3683624,1964,186.462326,1964,296.7097473,1964,150.7904816,
1962,242.1586304,1962,194.0959015,1962,187.4914398,1962,297.0901489,1962,151.0882111,
1960,242.6364136,1960,194.6916504,1960,189.8739166,1960,297.7163086,1960,151.0634003,
1958,243.5215302,1958,194.0169373,1958,190.2243195,1958,298.4762573,1958,151.045578,
1956,244.9373169,1956,194.0082245,1956,190.0586395,1956,299.0340576,1956,151.5325623,
1954,245.4437256,1954,194.3851166,1954,188.4785614,1954,299.8171692,1954,152.3345642,
1952,245.7361908,1952,195.2044373,1952,188.47229,1952,300.4138184,1952,153.4700317,
1950,245.883255,1950,196.5904694,1950,189.4579315,1950,301.3070068,1950,154.1217499,
1948,246.1866608,1948,196.3043213,1948,190.2746735,1948,301.9299927,1948,154.4906006,
1946,246.7249908,1946,195.75,1946,192.0675964,1946,301.9524231,1946,154.2298431,
1944,247.2603302,1944,195.0817261,1944,192.5333099,1944,302.3510437,1944,154.1372375,
1942,248.5496979,1942,195.2636414,1942,192.7521362,1942,303.5136108,1942,154.6426697,
1940,249.4397125,1940,195.7635803,1940,191.4735107,1940,304.6759949,1940,155.4746399,
1938,249.6654053,1938,195.8002472,1938,190.1798553,1938,303.8164978,1938,156.5617981,
1936,249.3035736,1936,198.0407867,1936,191.2255707,1936,304.4425354,1936,156.8604584,
1934,249.6128082,1934,199.1058502,1934,192.6343842,1934,305.6069031,1934,157.3234253,
1932,250.6195068,1932,199.1996002,1932,194.5769653,1932,306.2178955,1932,157.5178375,
1930,250.3559113,1930,198.4301147,1930,194.7381134,1930,306.6011658,1930,157.3470001,
1928,250.7081299,1928,198.2462006,1928,194.2863922,1928,306.5250549,1928,156.6253357,
1926,252.177887,1926,199.6107635,1926,194.0059357,1926,308.4570313,1926,157.2794342,
1924,252.3779144,1924,199.4970551,1924,192.8322144,1924,308.7023621,1924,158.9902954,
1922,251.1435242,1922,200.1316986,1922,192.8847809,1922,307.8847656,1922,158.9925995,
1920,250.4694672,1920,199.7322845,1920,192.9125366,1920,307.2975159,1920,158.3247986,
1918,251.7348022,1918,200.3875427,1918,195.8185272,1918,308.2245789,1918,158.2634583,
1916,252.3840942,1916,199.9072876,1916,196.8392639,1916,309.5307312,1916,158.6299286,
1914,252.1032104,1914,199.662323,1914,197.0789337,1914,310.7956543,1914,158.0203247,
1912,252.1303406,1912,200.4117432,1912,196.1396332,1912,311.8924866,1912,157.3232727,
1910,251.8789825,1910,201.2546844,1910,195.7406464,1910,313.0929565,1910,157.6086426,
1908,251.0534973,1908,202.1918793,1908,195.6514587,1908,312.9076843,1908,157.7008362,
1906,249.7961731,1906,201.5565338,1906,195.3670349,1906,312.1185303,1906,156.9598541,
1904,250.6174622,1904,202.0592957,1904,198.0244293,1904,312.2432861,1904,156.2791443,
1902,251.3411713,1902,201.6435852,1902,198.7515564,1902,313.8489685,1902,155.8343201,
1900,251.6438904,1900,201.3883057,1900,198.9929657,1900,314.4472961,1900,156.0015869,
1898,251.043457,1898,201.3770752,1898,197.6939697,1898,314.7975159,1898,155.4996185,
1896,250.384613,1896,200.9602966,1896,195.649765,1896,315.1353149,1896,155.2495422,
1894,250.2015533,1894,200.4113159,1894,194.1598663,1894,312.416748,1894,155.7173462,
1892,248.7468719,1892,198.7829742,1892,192.5367889,1892,309.1085205,1892,156.0543365,
1890,248.4624634,1890,196.7023315,1890,192.1962585,1890,305.4447021,1890,156.1426697,
1888,250.6564789,1888,195.2661285,1888,192.0561523,1888,303.3348083,1888,156.5605469,
1886,251.6300507,1886,194.9296265,1886,191.5716705,1886,303.5455322,1886,158.6447906,
1884,251.0094452,1884,196.168869,1884,191.3973236,1884,304.4734497,1884,159.3495789,
1882,250.288681,1882,197.3018341,1882,191.006485,1882,306.4050293,1882,159.7550201,
1880,249.5244446,1880,199.0327606,1880,191.9049683,1880,308.511261,1880,159.4075012,
1878,248.5648193,1878,198.9201202,1878,191.7481842,1878,307.9083252,1878,159.1268768,
1876,247.5994873,1876,198.5298462,1876,193.2633362,1876,307.2932739,1876,158.1548462,
1874,249.2222595,1874,198.2906036,1874,195.094696,1874,308.3255005,1874,157.237381,
1872,252.0321655,1872,198.2452393,1872,196.0036316,1872,310.4798889,1872,157.9310608,
1870,253.2536926,1870,200.7724457,1870,197.6627197,1870,314.4390869,1870,158.7886963,
1868,251.7777252,1868,202.0813293,1868,197.5489044,1868,318.1851501,1868,158.5837555,
1866,250.6941376,1866,201.5677948,1866,196.4537811,1866,317.340332,1866,157.6518402,
1864,250.1162567,1864,201.0405579,1864,195.7294922,1864,315.1686401,1864,157.1441498,
1862,250.2740173,1862,200.5969238,1862,196.8708801,1862,313.9537048,1862,156.856842,
1860,252.272583,1860,198.9393158,1860,196.2848358,1860,312.0516968,1860,157.0340576,
1858,254.4729309,1858,199.0976868,1858,196.9729156,1858,311.794342,1858,159.0214081,
1856,253.8067627,1856,199.2020416,1856,195.161499,1856,312.6210938,1856,159.4004517,
1854,253.2169342,1854,198.8963318,1854,192.6205444,1854,311.4012146,1854,159.9141083,
1852,253.5588684,1852,200.9601135,1852,194.1903687,1852,311.9561157,1852,161.0949402,
1850,251.5715637,1850,201.6578674,1850,194.6370392,1850,314.0451965,1850,160.6813812,
1848,252.18013,1848,200.8450928,1848,195.3446198,1848,313.0085144,1848,160.3193512,
1846,252.3712921,1846,201.6773529,1846,198.5874176,1846,314.7239075,1846,159.6407471,
1844,252.1747131,1844,200.9552002,1844,198.7398987,1844,317.0288391,1844,158.6043549,
1842,254.3794403,1842,200.6790924,1842,197.9227142,1842,317.2176514,1842,158.7807617,
1840,254.1694183,1840,201.3118286,1840,196.8788147,1840,318.2775879,1840,159.7033844,
1838,252.778717,1838,201.7318726,1838,196.7045135,1838,318.2046509,1838,159.1611938,
1836,253.971283,1836,203.0198822,1836,197.7497559,1836,318.7482605,1836,159.3125,
1834,254.9597778,1834,204.2423706,1834,200.4190674,1834,321.3023682,1834,160.1488495,
1832,254.3280334,1832,203.8799286,1832,201.9528809,1832,322.1433716,1832,158.9797211,
1830,254.0820313,1830,202.7725677,1830,201.0650177,1830,321.4518127,1830,158.1270294,
1828,254.8352966,1828,202.9167175,1828,200.3710785,1828,321.3727722,1828,157.8713226,
1826,255.9108734,1826,203.2696075,1826,198.5012817,1826,321.9744263,1826,158.6977844,
1824,256.9665527,1824,204.5535583,1824,199.1703339,1824,322.4816284,1824,160.121048,
1822,255.5971832,1822,205.2486725,1822,199.2624512,1822,322.8956604,1822,160.5607147,
1820,255.0686798,1820,204.4170837,1820,199.7014313,1820,321.5631104,1820,159.9903717,
1818,256.2255859,1818,204.565094,1818,202.1766205,1818,322.3376465,1818,159.5887146,
1816,256.7223816,1816,203.6936035,1816,202.1976013,1816,323.5198364,1816,159.7595062,
1814,257.7992249,1814,203.7889252,1814,201.7420959,1814,323.7059326,1814,160.1203918,
1812,257.3955688,1812,203.9227295,1812,199.6787872,1812,324.3104248,1812,160.6006622,
1810,257.6674194,1810,204.2329559,1810,199.1281586,1810,323.7306824,1810,161.0532837,
1808,257.9951172,1808,205.5095367,1808,199.9586639,1808,323.7271423,1808,161.8177338,
1806,258.0800781,1806,205.7076416,1806,200.9854126,1806,324.0969543,1806,162.3230896,
1804,258.7968445,1804,205.4570007,1804,202.9384918,1804,324.2559509,1804,161.8791046,
1802,259.2860107,1802,204.524231,1802,202.8971405,1802,324.8113708,1802,161.8939819,
1800,260.5126953,1800,204.7939606,1800,202.7378998,1800,325.1187439,1800,162.2206268,
1798,261.0879517,1798,205.3515167,1798,200.9463043,1798,326.0608215,1798,163.1273346,
1796,261.5307617,1796,206.013031,1796,200.7753601,1796,326.1902771,1796,164.1428223,
1794,261.1651917,1794,207.1951599,1794,201.1566467,1794,326.1780396,1794,164.4692688,
1792,261.2586365,1792,207.4051819,1792,202.0997925,1792,326.0681763,1792,164.6354675,
1790,261.8894958,1790,207.3715515,1790,203.974884,1790,326.1376038,1790,164.4682617,
1788,262.4341125,1788,206.3939362,1788,203.8442383,1788,326.134491,1788,164.3960114,
1786,262.9670715,1786,206.2792969,1786,203.2393036,1786,325.887207,1786,164.4924316,
1784,263.0166321,1784,206.0674744,1784,200.7655792,1784,325.4627686,1784,164.9073792,
1782,262.8047485,1782,206.0499268,1782,199.7746735,1782,324.4836731,1782,165.8891907,
1780,261.7330933,1780,206.6307526,1780,199.7126312,1780,323.499176,1780,165.8195496,
1778,260.8347168,1778,206.1019135,1778,199.9550323,1778,322.4933472,1778,165.5648193,
1776,260.0744629,1776,205.1949005,1776,201.41008,1776,321.8187561,1776,164.6607361,
1774,259.2087402,1774,203.1569214,1774,200.971405,1774,320.9469604,1774,163.18927,
1772,258.9707336,1772,202.2774963,1772,200.1656952,1772,320.3419189,1772,162.3437805,
1770,258.5021362,1770,201.9496613,1770,197.9595795,1770,319.9826355,1770,162.0345764,
1768,258.0378418,1768,201.9582977,1768,197.1666565,1768,319.5402832,1768,162.3751678,
1766,257.0927734,1766,203.1249542,1766,197.5882568,1766,319.3746948,1766,162.0287323,
1764,256.5851746,1764,203.4517822,1764,198.2464752,1764,319.2923889,1764,161.7289429,
1762,256.8439331,1762,203.6382751,1762,200.530838,1762,319.6246948,1762,161.1339874,
1760,257.0915222,1760,202.9235535,1760,200.6975098,1760,319.8694763,1760,160.4504242,
1758,258.264801,1758,202.7945709,1758,200.2739716,1758,319.9914856,1758,160.5983582,
1756,258.929718,1756,202.8478699,1756,198.2631226,1756,319.8887329,1756,161.1493988,
1754,259.1886902,1754,202.7668762,1754,196.8276215,1754,318.766449,1754,162.3868408,
1752,258.8851929,1752,202.8948822,1752,196.0324554,1752,317.019928,1752,162.9990387,
1750,258.0907898,1750,201.4897766,1750,194.950882,1750,314.1837463,1750,163.1203003,
1748,257.3436279,1748,199.657135,1748,195.1869202,1748,311.1990967,1748,162.5895844,
1746,255.9871368,1746,197.1491394,1746,193.9040527,1746,308.4833984,1746,161.3370361,
1744,254.5469513,1744,195.1653137,1744,192.033493,1744,306.1083069,1744,160.2835999,
1742,251.4949036,1742,193.454071,1742,188.8586121,1742,303.6209717,1742,158.5758514,
1740,247.6452332,1740,191.6519623,1740,186.0198212,1740,300.5213013,1740,156.8459167,
1738,243.955658,1738,190.8964996,1738,184.4289856,1738,297.8605957,1738,154.4390564,
1736,240.8474731,1736,189.5796051,1736,183.5867004,1736,295.3681335,1736,152.2801819,
1734,239.2425842,1734,188.9648132,1734,184.8509979,1734,294.1635742,1734,150.3073273,
1732,238.5468445,1732,188.4370117,1732,185.7270355,1732,294.8773499,1732,148.424942,
1730,238.9231262,1730,188.7617798,1730,186.5431519,1730,296.5608826,1730,147.5269928,
1728,239.514679,1728,190.0846558,1728,186.4641418,1728,299.0800476,1728,147.1158295,
1726,240.3612823,1726,191.6033936,1726,186.9290314,1726,301.4896545,1726,147.8171844,
1724,242.0280151,1724,194.1847382,1724,188.769577,1724,304.3150635,1724,148.7187805,
1722,244.7317657,1722,196.3349152,1722,191.1705322,1722,307.3197632,1722,150.1207428,
1720,248.9360504,1720,198.7189484,1720,195.5896149,1720,311.1001282,1720,152.2251129,
1718,253.2918243,1718,200.7437439,1718,199.0622711,1718,315.6192932,1718,154.0317078,
1716,257.9605713,1716,202.8637695,1716,201.5092773,1716,320.0497742,1716,156.5819397,
1714,261.9791565,1714,205.4725342,1714,202.6718445,1714,324.0891113,1714,158.9630432,
1712,264.9545898,1712,208.0798187,1712,203.3883057,1712,327.4645691,1712,161.6950684,
1710,267.6083374,1710,211.3431244,1710,205.572464,1710,330.6742554,1710,164.0184937,
1708,269.742981,1708,213.9753418,1708,207.8114777,1708,333.474884,1708,165.7832947,
1706,272.5548706,1706,215.803009,1706,211.3403625,1706,335.9446411,1706,167.2556,
1704,275.1236877,1704,217.1055603,1704,213.8759918,1704,338.5271301,1704,168.0531616,
1702,277.9842834,1702,217.9535217,1702,214.8772736,1702,340.815918,1702,169.3597717,
1700,280.2010498,1700,219.5918274,1700,215.0863953,1700,342.9420166,1700,170.7794037,
1698,281.8140564,1698,221.0886993,1698,214.5102997,1698,344.759613,1698,172.6225433,
1696,283.1860962,1696,223.1739502,1696,215.6418762,1696,346.2500305,1696,174.0172272,
1694,283.8866882,1694,224.5692749,1694,216.942337,1694,347.2440491,1694,174.8818054,
1692,285.0901794,1692,225.2200623,1692,219.3865356,1692,348.3463135,1692,175.394104,
1690,286.5452881,1690,225.2626953,1690,221.3028259,1690,349.5791321,1690,175.265152,
1688,288.1724243,1688,224.851059,1688,221.708847,1688,350.5492249,1688,175.6899414,
1686,289.4282227,1686,225.6631317,1686,221.3444977,1686,351.6262207,1686,176.231308,
1684,290.2606812,1684,226.7167511,1684,219.9047089,1684,352.5627747,1684,177.4175415,
1682,290.8857117,1682,228.228302,1682,220.7062988,1682,353.1018982,1682,178.3271027,
1680,290.6580811,1680,229.6368866,1680,221.505188,1680,353.5291138,1680,178.6401978,
1678,291.41745,1678,230.2523651,1678,223.5121765,1678,353.9039307,1678,178.8251343,
1676,292.4238281,1676,230.3344421,1676,225.4543762,1676,354.7192383,1676,178.3501434,
1674,293.3880615,1674,229.8906555,1674,225.6854248,1674,355.261261,1674,178.3287811,
