Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1800,143.8919373,1800,75.61807251,1800,105.8009644,1800,137.8255768,1800,76.29278564,
1799,143.8989105,1799,75.63175201,1799,106.0969467,1799,137.9058228,1799,76.50193787,
1798,144.0603485,1798,75.63412476,1798,106.0681,1798,137.9983063,1798,76.55532074,
1797,144.1212463,1797,75.55970001,1797,106.2170486,1797,138.2054138,1797,76.67199707,
1796,144.1963501,1796,75.71614838,1796,106.1631927,1796,138.078537,1796,76.71546173,
1795,144.3567047,1795,75.52755737,1795,106.2296982,1795,138.3235321,1795,76.86314392,
1794,144.3426971,1794,75.60706329,1794,106.2540054,1794,138.1247253,1794,76.98319244,
1793,144.6278839,1793,75.53769684,1793,106.1484222,1793,138.3557129,1793,76.95539856,
1792,144.4859009,1792,75.51927185,1792,106.3150024,1792,138.170105,1792,77.11180878,
1791,144.6377563,1791,75.42667389,1791,106.1249847,1791,138.2620392,1791,77.03298187,
1790,144.5371552,1790,75.37631226,1790,106.2782516,1790,138.1684265,1790,77.21349335,
1789,144.6481628,1789,75.33016205,1789,106.1495895,1789,138.048584,1789,77.14328766,
1788,144.6832123,1788,75.21802521,1788,106.2451019,1788,138.1990814,1788,77.32749939,
1787,144.7679596,1787,75.25904846,1787,106.1187973,1787,138.0262604,1787,77.33280945,
1786,144.8962097,1786,75.03722382,1786,106.117157,1786,138.0858154,1786,77.45527649,
1785,144.8237,1785,75.05216217,1785,106.0604935,1785,137.8356476,1785,77.49552155,
1784,144.9490662,1784,74.82944489,1784,105.8841705,1784,137.9761658,1784,77.5692749,
1783,144.6890717,1783,74.72383118,1783,105.8471832,1783,137.5748749,1783,77.62221527,
1782,144.7686157,1782,74.52288818,1782,105.5548172,1782,137.5018158,1782,77.56993866,
1781,144.555481,1781,74.342659,1781,105.5395279,1781,137.1880341,1781,77.703125,
1780,144.5276031,1780,74.217453,1780,105.2182541,1780,137.0336914,1780,77.59264374,
1779,144.4118958,1779,73.98855591,1779,105.2157288,1779,136.8610077,1779,77.6842041,
1778,144.3680725,1778,73.94760132,1778,104.9796448,1778,136.5814362,1778,77.59008026,
1777,144.2573395,1777,73.66586304,1777,104.9004822,1777,136.5498352,1777,77.61837006,
1776,143.9971924,1776,73.66977692,1776,104.7122116,1776,136.2404633,1776,77.52738953,
1775,143.8761139,1775,73.45636749,1775,104.6038361,1775,136.2350616,1775,77.4733963,
1774,143.4382782,1774,73.37934113,1774,104.497406,1774,135.8557129,1774,77.38999939,
1773,143.2264404,1773,73.20391083,1773,104.1580811,1773,135.8681793,1773,77.23303986,
1772,142.8683472,1772,73.10540009,1772,104.2097092,1772,135.5213928,1772,77.13560486,
1771,142.6628418,1771,73.03923798,1771,103.8774643,1771,135.4985504,1771,76.88071442,
1770,142.2568054,1770,72.85164642,1770,103.8684464,1770,135.3378296,1770,76.77745056,
1769,141.9494781,1769,72.85101318,1769,103.6298523,1769,135.1729584,1769,76.50093079,
1768,141.7263947,1768,72.67323303,1768,103.6536102,1768,135.1550751,1768,76.37871552,
1767,141.4004059,1767,72.71647644,1767,103.4658279,1767,134.9812622,1767,76.18556976,
1766,141.290802,1766,72.60084534,1766,103.4356384,1766,135.2128906,1766,76.05222321,
1765,141.0953217,1765,72.69174957,1765,103.4937286,1765,135.0124512,1765,75.91278839,
1764,141.1208038,1764,72.61656952,1764,103.3541946,1764,135.2681885,1764,75.76913452,
1763,140.8788147,1763,72.68761444,1763,103.5493851,1763,135.2367554,1763,75.7347641,
1762,140.9696808,1762,72.73526001,1762,103.4066315,1762,135.4545898,1762,75.55167389,
1761,140.8299866,1761,72.76602173,1761,103.6887741,1761,135.4751129,1761,75.55890656,
1760,140.8352966,1760,72.86328888,1760,103.58564,1760,135.6597443,1760,75.43798065,
1759,140.8579102,1759,72.81481934,1759,103.6919937,1759,135.8491516,1759,75.49769592,
1758,140.8832245,1758,72.95582581,1758,103.7133484,1758,135.7957306,1758,75.37669373,
1757,140.9980469,1757,72.83958435,1757,103.7445526,1757,136.1121368,1757,75.42317963,
1756,140.9342957,1756,72.9037323,1756,103.7284241,1756,135.9692535,1756,75.42979431,
1755,141.2077332,1755,72.78881073,1755,103.6440048,1755,136.1025085,1755,75.42516327,
1754,141.180603,1754,72.77371216,1754,103.780426,1754,135.9466858,1754,75.53857422,
1753,141.4288635,1753,72.61948395,1753,103.4463196,1753,136.0109863,1753,75.54303741,
1752,141.499527,1752,72.48719025,1752,103.5235062,1752,135.7689819,1752,75.75977325,
1751,141.6864624,1751,72.34321594,1751,103.2371674,1751,135.5912628,1751,75.77959442,
1750,141.7709961,1750,72.03108215,1750,103.0817261,1750,135.3985901,1750,76.0209198,
1749,141.7867126,1749,71.8347702,1749,102.7588272,1749,134.9184723,1749,76.0736618,
1748,141.9196777,1748,71.42120361,1748,102.4770584,1748,134.6195374,1748,76.28452301,
1747,141.728302,1747,71.18043518,1747,102.1558151,1747,133.9721069,1747,76.34992218,
1746,141.7203522,1746,70.75998688,1746,101.712326,1746,133.6638947,1746,76.45738983,
1745,141.4096222,1745,70.47686005,1745,101.4873886,1745,132.9867249,1745,76.53968811,
1744,141.2833099,1744,70.1736908,1744,100.9732971,1744,132.6405487,1744,76.45657349,
1743,140.9014587,1743,69.89008331,1743,100.8063202,1743,132.083725,1743,76.51294708,
1742,140.5654602,1742,69.61858368,1742,100.3312454,1742,131.7247925,1742,76.34815979,
1741,140.1047211,1741,69.34075165,1741,100.1255417,1741,131.3428497,1741,76.32725525,
1740,139.4393158,1740,69.20183563,1740,99.71292114,1740,130.8358459,1740,76.03229523,
1739,138.829483,1739,68.85614777,1739,99.37746429,1739,130.5888367,1739,75.87949371,
1738,137.9880371,1738,68.78103638,1738,99.0316925,1738,129.9381561,1738,75.4845047,
1737,137.3247375,1737,68.48867798,1737,98.6967926,1737,129.6695404,1737,75.08444214,
1736,136.3840332,1736,68.3207016,1736,98.39530945,1736,129.1482086,1736,74.65180969,
1735,135.782135,1735,68.1336441,1735,97.93321228,1735,128.924057,1735,74.13941956,
1734,135.0643463,1734,68.01496124,1734,97.85024261,1734,128.4084625,1734,73.70879364,
1733,134.4810638,1733,67.91664124,1733,97.50808716,1733,128.3123779,1733,73.16275024,
1732,134.0263824,1732,67.89646912,1732,97.48784637,1732,128.1351318,1732,72.85094452,
1731,133.5956268,1731,68.0018158,1731,97.36341858,1731,128.0445709,1731,72.36682892,
1730,133.2883453,1730,68.00579071,1730,97.52797699,1730,128.2727661,1730,72.10539246,
1729,132.9808655,1729,68.33597565,1729,97.60134888,1729,128.3890991,1729,71.76947021,
1728,132.9946136,1728,68.45000458,1728,97.82923126,1728,128.9319458,1728,71.55356598,
1727,132.7614136,1727,68.83933258,1727,98.16625214,1727,129.1553345,1727,71.33144379,
1726,132.8312683,1726,69.11579132,1726,98.38422394,1726,129.8188629,1726,71.12090302,
1725,132.8082733,1725,69.47518921,1725,98.80901337,1725,130.2242584,1725,71.0374527,
1724,133.0079956,1724,69.82901764,1724,99.0252533,1724,130.8374634,1724,70.85181427,
1723,133.1872101,1723,70.12683105,1723,99.51158142,1723,131.2365723,1723,70.8976593,
1722,133.4898529,1722,70.46550751,1722,99.70744324,1722,131.8374023,1722,70.79096985,
1721,133.9593353,1721,70.663414,1721,100.2016449,1721,132.4200439,1721,70.93913269,
1720,134.4182281,1720,71.20137024,1720,100.5160675,1720,132.809906,1720,70.97362518,
1719,135.2179565,1719,71.37771606,1719,101.0297089,1719,133.6211395,1719,71.26548004,
1718,135.8741608,1718,71.84570313,1718,101.5251312,1718,134.0445709,1718,71.53032684,
1717,136.8878784,1717,72.17207336,1717,102.0440369,1717,134.9365845,1717,71.88951874,
1716,137.7090149,1716,72.57067871,1716,102.7646332,1716,135.467453,1716,72.37680817,
1715,138.7020416,1715,72.91627502,1715,103.1500702,1715,136.3623657,1715,72.79381561,
1714,139.5211334,1714,73.29689789,1714,103.8749847,1714,136.9575195,1714,73.38565826,
1713,140.344986,1713,73.71669769,1713,104.2964554,1713,137.7794495,1713,73.78660583,
1712,141.1923828,1712,74.00679016,1712,104.9788132,1712,138.5150757,1712,74.37474823,
1711,141.9359131,1711,74.44457245,1711,105.3495178,1711,139.0665588,1711,74.75119019,
1710,142.7608185,1710,74.63446045,1710,105.8879166,1710,139.8928375,1710,75.25823975,
1709,143.3491364,1709,75.07102203,1709,106.3912277,1709,140.2556763,1709,75.64034271,
1708,144.2086029,1708,75.24533844,1708,106.7000427,1708,141.108017,1708,76.0858078,
