Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1800,176.1857452,1800,78.69459534,1800,117.1650543,1800,168.023056,1800,90.98414612,
1799,176.3594055,1799,78.91143036,1799,117.2127838,1799,168.1582947,1799,90.90509033,
1798,176.6276093,1798,79.00611115,1798,117.2995682,1798,168.3992767,1798,90.87593842,
1797,176.3677979,1797,79.00775146,1797,117.0077209,1797,168.9804382,1797,90.98201752,
1796,176.5010681,1796,78.94876862,1796,116.9884949,1796,169.1661835,1796,91.23306274,
1795,176.6515656,1795,78.78483582,1795,117.0503616,1795,169.2841492,1795,91.63472748,
1794,177.0658417,1794,78.7536087,1794,117.4443588,1794,169.2687836,1794,91.81719208,
1793,177.2946167,1793,78.7986908,1793,117.6159058,1793,168.8959808,1793,91.91963959,
1792,177.5263672,1792,78.98568726,1792,117.6166534,1792,168.7861023,1792,91.78420258,
1791,177.5594482,1791,78.99647522,1791,117.5503159,1791,168.7890472,1791,91.61735535,
1790,177.2930908,1790,78.96130371,1790,117.1740875,1790,169.3243713,1790,91.66269684,
1789,177.2808685,1789,78.90457916,1789,117.0832901,1789,169.4503479,1789,91.93218231,
1788,177.372757,1788,78.66392517,1788,117.0949478,1788,169.4205933,1788,92.34673309,
1787,177.7461243,1787,78.57325745,1787,117.3956299,1787,169.3296661,1787,92.44322968,
1786,178.1280212,1786,78.6072464,1786,117.5598145,1786,168.8722076,1786,92.51802063,
1785,178.253067,1785,78.72392273,1785,117.5028305,1785,168.7756348,1785,92.46595764,
1784,178.2506409,1784,78.70117188,1784,117.382431,1784,168.6628876,1784,92.31102753,
1783,177.9019928,1783,78.59619141,1783,116.8900223,1783,168.8995819,1783,92.37407684,
1782,177.6965179,1782,78.39610291,1782,116.5702972,1782,168.7708435,1782,92.52864838,
1781,177.6378326,1781,78.05521393,1781,116.4150467,1781,168.5138702,1781,92.84513092,
1780,177.7996216,1780,77.85033417,1780,116.5127487,1780,168.0922394,1780,92.9160614,
1779,177.9329834,1779,77.77065277,1779,116.5770569,1779,167.4286804,1779,92.92671967,
1778,177.8336792,1778,77.8175354,1778,116.419281,1778,167.0266418,1778,92.75981903,
1777,177.7979736,1777,77.80696869,1777,116.230751,1777,166.8839111,1777,92.48097992,
1776,177.2861633,1776,77.69032288,1776,115.785202,1776,167.0952301,1776,92.46517181,
1775,176.923996,1775,77.58005524,1775,115.5162125,1775,167.1086426,1775,92.49673462,
1774,176.6039124,1774,77.23662567,1774,115.378418,1774,166.8694611,1774,92.69015503,
1773,176.4339294,1773,77.08179474,1773,115.4862366,1773,166.659256,1773,92.67159271,
