Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1800,2.42609334,1800,2.052487135,1800,1.599767804,1800,0.9875524044,1800,1.113886356,
1797,2.421885252,1797,1.737216115,1797,2.054200172,1797,1.223353148,1797,1.2366395,
1794,2.383942366,1794,1.812996864,1794,1.788313627,1794,1.036108494,1794,0.9558485746,
1791,2.05664134,1791,1.826493025,1791,1.928247094,1791,1.073349118,1791,1.000476599,
1788,2.364507437,1788,1.72715044,1788,1.742793441,1788,1.032137632,1788,1.032822132,
1785,2.261513948,1785,1.849136472,1785,2.016201258,1785,1.045265436,1785,0.9828259349,
1782,2.27471137,1782,1.787974119,1782,1.775397778,1782,1.128399611,1782,1.011272192,
1779,2.483733654,1779,1.978345156,1779,1.780183434,1779,0.9393785,1779,1.142958879,
1776,2.430024624,1776,1.839740753,1776,1.521800876,1776,1.076200366,1776,0.950571239,
1773,2.463771105,1773,1.812963605,1773,1.880370617,1773,0.8825566769,1773,0.8439298868,
1770,2.293261528,1770,1.696837544,1770,1.818211317,1770,1.046873212,1770,0.9344398975,
1767,2.129778147,1767,1.661783457,1767,1.51905632,1767,1.088772535,1767,0.8334698081,
1764,2.056442976,1764,1.692738056,1764,1.725844502,1764,0.86365062,1764,0.8873503804,
1761,2.13703227,1761,1.671957731,1761,1.594211578,1761,0.8884890676,1761,0.8196307421,
1758,2.27976656,1758,1.714016914,1758,1.685143948,1758,1.000820398,1758,1.1637429,
1755,2.355205059,1755,1.742880583,1755,1.760443687,1755,1.061112523,1755,0.87497437,
1752,2.179115534,1752,1.79389286,1752,1.908539057,1752,0.9391233325,1752,0.9846041799,
1749,2.171323061,1749,1.683352113,1749,1.739416122,1749,0.900868237,1749,1.014851451,
1746,2.204842806,1746,1.754005671,1746,1.751323223,1746,0.9074324965,1746,0.8712884188,
1743,2.142354488,1743,1.671161652,1743,1.723770857,1743,0.9317150116,1743,0.8473081589,
1740,2.355958223,1740,1.619822025,1740,1.725246429,1740,0.9658107758,1740,0.7976611853,
1737,2.143219471,1737,1.64481473,1737,1.597841978,1737,0.8465778232,1737,1.094443679,
1734,2.036587238,1734,1.654662371,1734,1.623605371,1734,0.8978216648,1734,0.8438279629,
1731,1.890836239,1731,1.446933746,1731,1.468984723,1731,0.9229948521,1731,0.8781086802,
1728,1.913348556,1728,1.543646812,1728,1.5833745,1728,0.9387732744,1728,0.7868589163,
1725,1.833916306,1725,1.474371552,1725,1.594510913,1725,0.9108376503,1725,0.8922952414,
1722,1.996506214,1722,1.724150181,1722,1.72330904,1722,0.9086575508,1722,0.9878742695,
1719,2.150901318,1719,1.582934737,1719,1.676908731,1719,0.8440345526,1719,0.9084552526,
1716,2.093538761,1716,1.728172541,1716,1.640169144,1716,1.063638806,1716,0.8765541911,
1713,2.17565608,1713,1.617277026,1713,1.75654757,1713,0.8073048592,1713,0.997341156,
1710,2.196827888,1710,1.64487505,1710,1.771623492,1710,0.8888121843,1710,0.8475304842,
1707,2.271375895,1707,1.755861998,1707,1.695617437,1707,0.9483212829,1707,1.0372504,
1704,2.24463129,1704,1.816881657,1704,1.72973299,1704,0.9194412231,1704,0.957444191,
1701,2.220412731,1701,1.678539276,1701,1.791981578,1701,0.8943794966,1701,0.9873615503,
1698,2.250321627,1698,1.67752099,1698,1.932795286,1698,0.8548817635,1698,0.9507112503,
1695,2.241496801,1695,1.780599594,1695,1.934703946,1695,0.835390687,1695,0.9671700001,
1692,2.247431278,1692,1.684031129,1692,1.808250546,1692,0.8369273543,1692,0.9851180315,
1689,2.455555916,1689,1.794366717,1689,1.808268189,1689,1.018756866,1689,0.9570708275,
1686,2.245351315,1686,1.898845315,1686,1.725717068,1686,1.046882391,1686,0.8727888465,
1683,2.230928659,1683,1.687072039,1683,1.662142992,1683,0.9782408476,1683,1.012510777,
1680,2.162803888,1680,1.701563835,1680,1.872683167,1680,0.9319396615,1680,0.8964936137,
1677,2.105767727,1677,1.789647698,1677,1.847653508,1677,0.9222474694,1677,0.9350513816,
1674,2.39377594,1674,1.781572223,1674,1.838961244,1674,0.9911596775,1674,0.932322979,
1671,2.305455208,1671,1.850457072,1671,1.795400143,1671,0.9789915085,1671,0.9183652401,
1668,2.315214157,1668,1.824687004,1668,1.878638029,1668,0.8704088926,1668,0.925958693,
1665,2.424175262,1665,1.790689349,1665,1.779840469,1665,1.033388615,1665,0.9255988598,
1662,2.205708504,1662,1.804232001,1662,1.776973724,1662,0.9389365315,1662,0.7844802737,
1659,2.338937759,1659,1.703205705,1659,1.89797318,1659,0.9860795736,1659,0.9014818668,
1656,2.412550688,1656,1.869767308,1656,1.831349015,1656,0.9667037725,1656,0.878303051,
1653,2.37609148,1653,1.960364342,1653,1.886189342,1653,0.9261969328,1653,0.9121491313,
1650,2.275006533,1650,1.91899395,1650,1.829492092,1650,0.9525600076,1650,0.8142194748,
1647,2.393284321,1647,1.832131267,1647,1.878950953,1647,0.8454467058,1647,0.8613826632,
1644,2.288751125,1644,1.883098483,1644,1.909754276,1644,0.8341524005,1644,0.8797082305,
1641,2.261091232,1641,1.823286772,1641,1.797387004,1641,0.9860501885,1641,0.8840949535,
1638,2.277413845,1638,1.79775095,1638,1.837962508,1638,1.016233921,1638,0.945237577,
1635,2.251328707,1635,1.718513846,1635,1.89108777,1635,0.9120544195,1635,0.8642238379,
1632,2.436983347,1632,1.781296492,1632,1.898198009,1632,0.8688910007,1632,0.8517050147,
1629,2.363490343,1629,1.814097881,1629,1.706720352,1629,1.003399134,1629,0.8376595378,
1626,2.428172827,1626,1.906671047,1626,1.743044734,1626,0.8444061279,1626,0.9591987133,
1623,2.293678761,1623,1.851636529,1623,1.842443705,1623,0.9518865347,1623,0.9273876548,
1620,2.270597696,1620,1.761875629,1620,1.795613527,1620,0.8564955592,1620,0.932230711,
1617,2.265608788,1617,1.855366349,1617,1.910890102,1617,0.9732252955,1617,0.8740515709,
1614,2.340859175,1614,1.820826292,1614,1.915538311,1614,1.030902147,1614,0.80481565,
1611,2.324436903,1611,1.729842663,1611,1.76529026,1611,0.8803474903,1611,0.9963082075,
1608,2.323404789,1608,1.841351628,1608,1.83911097,1608,0.9369192719,1608,0.8390410542,
1605,2.359584808,1605,1.775227308,1605,1.889206409,1605,0.9647185802,1605,0.7909710407,
1602,2.314330339,1602,1.843248487,1602,1.841272354,1602,0.8789830208,1602,0.834800303,
1599,2.174366236,1599,1.872211933,1599,1.858721852,1599,0.8826838136,1599,0.6985031366,
1596,2.215691566,1596,1.856408834,1596,1.881554723,1596,0.8255028129,1596,0.853366673,
1593,2.208900928,1593,1.944165707,1593,1.830477953,1593,1.015256882,1593,0.8906556964,
1590,2.32234025,1590,1.871413708,1590,1.945700884,1590,0.8541187048,1590,0.8180470467,
1587,2.304081917,1587,1.838651061,1587,1.826600552,1587,0.909705162,1587,0.7933472991,
1584,2.351204634,1584,1.802940249,1584,1.878532052,1584,0.8726872206,1584,0.7551877499,
1581,2.353173971,1581,1.814167261,1581,1.842250466,1581,0.9333035946,1581,0.8284144998,
1578,2.160509586,1578,1.852975845,1578,1.810702682,1578,0.9226151705,1578,0.8350923657,
1575,2.210434437,1575,1.836442232,1575,1.876173139,1575,0.9210125804,1575,0.7585139275,
1572,2.296616316,1572,1.843684673,1572,1.94775784,1572,0.8853688836,1572,0.8197325468,
1569,2.432681084,1569,1.855241895,1569,1.808489084,1569,0.8802875876,1569,0.6845883727,
1566,2.352428675,1566,1.803870678,1566,1.788730502,1566,0.9343237877,1566,0.8063067794,
1563,2.293901205,1563,1.948657274,1563,1.854735017,1563,0.9469325542,1563,0.7325493097,
1560,2.337066174,1560,1.799773574,1560,1.872901082,1560,0.912032485,1560,0.829390645,
1557,2.22958684,1557,1.937106967,1557,1.870785117,1557,0.9113006592,1557,0.8821765184,
1554,2.165946722,1554,1.867741704,1554,1.886835337,1554,0.8638374805,1554,0.7853336334,
1551,2.171466351,1551,1.825139999,1551,1.948020935,1551,0.9035993218,1551,0.7774233222,
1548,2.251925945,1548,1.819390297,1548,1.847561479,1548,0.8342069387,1548,0.8198706508,
1545,2.351961613,1545,1.807246566,1545,1.845669031,1545,0.8715237379,1545,0.8356143832,
1542,2.32537961,1542,1.780373216,1542,1.898287058,1542,0.8328534365,1542,0.7676733136,
1539,2.30947113,1539,1.81435287,1539,1.911807656,1539,0.9251655936,1539,0.8285386562,
1536,2.140681028,1536,1.788514614,1536,1.868140101,1536,0.9022199512,1536,0.6751618385,
1533,2.126441717,1533,1.827907324,1533,1.878485799,1533,0.9004041553,1533,0.7493836284,
1530,2.204338789,1530,1.849836349,1530,1.890743375,1530,0.7972419262,1530,0.8236086965,
1527,2.264662981,1527,1.86058259,1527,1.82437861,1527,0.8537713289,1527,0.7613908648,
1524,2.310628891,1524,1.848216772,1524,1.812069893,1524,0.8545405865,1524,0.725076735,
1521,2.283005714,1521,1.853757143,1521,1.838507652,1521,0.8939116001,1521,0.7785279751,
1518,2.315810204,1518,1.833236456,1518,1.832031965,1518,0.90306288,1518,0.7794068456,
1515,2.186957598,1515,1.898385048,1515,1.899851322,1515,0.835272193,1515,0.6556409001,
1512,2.224082232,1512,1.838413596,1512,1.87387991,1512,0.8031505346,1512,0.802742064,
1509,2.163299084,1509,1.783650041,1509,1.823054314,1509,0.7966819406,1509,0.6975378394,
1506,2.232130527,1506,1.87266922,1506,1.810567856,1506,0.7834827304,1506,0.6910772324,
1503,2.305887938,1503,1.88164854,1503,1.771631837,1503,0.881346941,1503,0.7708810568,
1500,2.257910728,1500,1.843000889,1500,1.876131415,1500,0.8415240049,1500,0.7285551429,
1497,2.265515804,1497,1.855729103,1497,1.813094378,1497,0.9006268382,1497,0.6715552211,
1494,2.227184296,1494,1.76859045,1494,1.927436829,1494,0.9471260905,1494,0.8295075893,
1491,2.189192772,1491,1.862995863,1491,1.817448378,1491,0.9029225707,1491,0.7272606492,
1488,2.175973654,1488,1.815353394,1488,1.852298856,1488,0.8305028081,1488,0.7195318341,
1485,2.219290495,1485,1.80752635,1485,1.854795933,1485,0.7669526935,1485,0.7618719935,
1482,2.368700981,1482,1.822504044,1482,1.895890355,1482,0.857400775,1482,0.8424364924,
1479,2.35409236,1479,1.840428829,1479,1.871929884,1479,0.7972220778,1479,0.6738440394,
1476,2.306276321,1476,1.821504593,1476,1.911602974,1476,0.8322249055,1476,0.7142707705,
1473,2.273434639,1473,1.820974946,1473,1.885677695,1473,0.8049209714,1473,0.7319402099,
1470,2.129320383,1470,1.874354482,1470,1.819724798,1470,0.854567349,1470,0.66318506,
1467,2.19788599,1467,1.76576829,1467,1.854385376,1467,0.7966297865,1467,0.762575984,
1464,2.261154175,1464,1.807809591,1464,1.899823308,1464,0.8684429526,1464,0.759722352,
1461,2.315500021,1461,1.829954624,1461,1.798596025,1461,0.8102964759,1461,0.7527546287,
1458,2.23380971,1458,1.803177357,1458,1.851567626,1458,0.8179514408,1458,0.7947106957,
1455,2.270791292,1455,1.776340008,1455,1.830026507,1455,0.8278343081,1455,0.7141155005,
1452,2.25074029,1452,1.811154723,1452,1.839258909,1452,0.7695536017,1452,0.7523184419,
1449,2.16618681,1449,1.780187488,1449,1.846744299,1449,0.8505958319,1449,0.6897106171,
1446,2.100914955,1446,1.771901011,1446,1.840958714,1446,0.8569873571,1446,0.7292135954,
1443,2.194466352,1443,1.801245451,1443,1.788056493,1443,0.842035532,1443,0.6641724706,
1440,2.265954733,1440,1.849654913,1440,1.789607286,1440,0.7953926921,1440,0.6888400912,
1437,2.231961489,1437,1.865828991,1437,1.823371053,1437,0.8416374922,1437,0.6706326008,
1434,2.28199935,1434,1.814482927,1434,1.841721296,1434,0.7948983312,1434,0.7272151113,
1431,2.223917961,1431,1.790988803,1431,1.845533609,1431,0.8248791099,1431,0.7052367926,
1428,2.172259808,1428,1.850732923,1428,1.833938479,1428,0.7784096003,1428,0.6949389577,
1425,2.107906818,1425,1.848262191,1425,1.843534827,1425,0.8230250478,1425,0.6972116828,
1422,2.160946608,1422,1.82734859,1422,1.796574831,1422,0.8502072692,1422,0.7318658829,
1419,2.295485258,1419,1.77018714,1419,1.840521336,1419,0.8157054782,1419,0.6720956564,
1416,2.245835304,1416,1.827847242,1416,1.8566221,1416,0.7677291632,1416,0.7699192762,
1413,2.239518881,1413,1.829322457,1413,1.782115579,1413,0.8430069089,1413,0.6740477085,
1410,2.269918919,1410,1.848974109,1410,1.924213529,1410,0.8242540956,1410,0.7170943618,
1407,2.172226429,1407,1.819079757,1407,1.871127486,1407,0.8382080793,1407,0.6777569652,
1404,2.118072748,1404,1.817219377,1404,1.833149552,1404,0.7601261735,1404,0.6663416028,
1401,2.270525217,1401,1.867033124,1401,1.920340538,1401,0.8020280004,1401,0.7197194099,
1398,2.224986553,1398,1.77426374,1398,1.848643422,1398,0.7773703933,1398,0.6804234982,
1395,2.257829666,1395,1.808895111,1395,1.803342104,1395,0.8872243762,1395,0.7078747749,
1392,2.253245354,1392,1.809099078,1392,1.831161022,1392,0.8030333519,1392,0.6961491704,
1389,2.227392673,1389,1.857838392,1389,1.924019098,1389,0.8240909576,1389,0.6704267263,
1386,2.164354324,1386,1.865746856,1386,1.87980175,1386,0.8866383433,1386,0.7328826189,
1383,2.224535942,1383,1.885647178,1383,1.957119226,1383,0.8440201283,1383,0.7122241259,
1380,2.131124496,1380,1.768586636,1380,1.905928969,1380,0.8646066189,1380,0.7497560978,
1377,2.235032797,1377,1.84959662,1377,1.812661052,1377,0.8727121949,1377,0.6775465012,
1374,2.360374689,1374,1.861860752,1374,1.812771559,1374,0.8560734987,1374,0.7162057161,
1371,2.364057779,1371,1.842581272,1371,1.991853833,1371,0.8647124171,1371,0.7414702177,
1368,2.304608345,1368,1.848617554,1368,1.910695434,1368,0.8558564782,1368,0.7688293457,
1365,2.229167938,1365,1.837129474,1365,2.010459661,1365,0.8497570753,1365,0.7670916915,
1362,2.254211426,1362,1.908036351,1362,1.936515212,1362,0.8067087531,1362,0.7061906457,
1359,2.233193398,1359,1.892636299,1359,1.872054815,1359,0.8590439558,1359,0.7068001628,
1356,2.37680006,1356,1.879294157,1356,1.897925735,1356,0.8494831324,1356,0.7350678444,
1353,2.395021439,1353,1.874350071,1353,1.885247231,1353,0.8384765983,1353,0.6589522362,
1350,2.354081631,1350,1.804209113,1350,1.895520091,1350,0.8586246371,1350,0.6758633256,
1347,2.277968884,1347,1.934894562,1347,1.891297698,1347,0.844891727,1347,0.6208795309,
1344,2.230812788,1344,1.881016374,1344,1.956975698,1344,0.8314074278,1344,0.7383526564,
1341,2.242830992,1341,1.899388075,1341,1.888149619,1341,0.8581126332,1341,0.719468236,
1338,2.217790365,1338,1.845421433,1338,1.906525731,1338,0.8610270023,1338,0.6761847138,
1335,2.342338085,1335,1.869220614,1335,1.905726671,1335,0.805526495,1335,0.6517133117,
1332,2.365186214,1332,1.797732472,1332,1.87610054,1332,0.8301169872,1332,0.6311667562,
1329,2.281588316,1329,1.824143291,1329,1.895846009,1329,0.8366223574,1329,0.6843292713,
1326,2.314713478,1326,1.854486227,1326,1.895593286,1326,0.7878541946,1326,0.7305809259,
1323,2.194625139,1323,1.881099463,1323,1.908982873,1323,0.8731431365,1323,0.6814650893,
1320,2.167313814,1320,1.874449492,1320,1.884043455,1320,0.8247627616,1320,0.7049789429,
1317,2.227956533,1317,1.822245717,1317,1.918508291,1317,0.8572606444,1317,0.6670482159,
1314,2.293332577,1314,1.874237299,1314,1.877389312,1314,0.8075859547,1314,0.6679128408,
1311,2.40007925,1311,1.897147894,1311,1.851757646,1311,0.7804865241,1311,0.7269656062,
1308,2.303606749,1308,1.862129927,1308,1.914962769,1308,0.7836358547,1308,0.6685250998,
1305,2.362393379,1305,1.891744137,1305,1.961091399,1305,0.8279727697,1305,0.6899082065,
1302,2.150393009,1302,1.885909915,1302,1.915344596,1302,0.8276367784,1302,0.724124074,
1299,2.205389738,1299,1.879419804,1299,1.952109814,1299,0.8540297151,1299,0.7110133767,
1296,2.280018568,1296,1.943471074,1296,1.962725282,1296,0.8832095861,1296,0.6495779753,
1293,2.325499535,1293,1.8748945,1293,1.9007411,1293,0.8741815686,1293,0.6666584611,
1290,2.392370462,1290,1.860429883,1290,1.90729177,1290,0.826438427,1290,0.6621968746,
1287,2.387691259,1287,1.855670452,1287,1.861936808,1287,0.8494123816,1287,0.673083961,
1284,2.356969833,1284,1.926399231,1284,1.958131433,1284,0.7390075922,1284,0.6962652802,
1281,2.304714203,1281,1.855117321,1281,1.914384604,1281,0.8436350226,1281,0.7129772902,
1278,2.295993567,1278,1.897189617,1278,1.905420065,1278,0.8426220417,1278,0.6792648435,
