Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1600,195.9151764,1600,87.12688446,1600,127.1987762,1600,183.4475708,1600,99.44367981,
1599,195.9582214,1599,87.19534302,1599,127.1853333,1599,183.1120148,1599,99.47130585,
1598,195.8404236,1598,87.21716309,1598,127.286293,1598,182.7413635,1598,99.666008,
1597,195.6250305,1597,87.01657104,1597,127.64711,1597,182.6796112,1597,99.85617828,
1596,195.6427765,1596,87.00050354,1596,127.8176651,1596,182.8972626,1596,99.83506775,
1595,195.709198,1595,87.07811737,1595,127.8874969,1595,183.3134003,1595,99.80221558,
1594,196.0599365,1594,87.31892395,1594,127.8200607,1594,183.347702,1594,99.54748535,
1593,196.1862183,1593,87.50576019,1593,127.4844971,1593,183.2884216,1593,99.34559631,
1592,196.2165527,1592,87.56175995,1592,127.3943558,1592,182.9492493,1592,99.38361359,
1591,196.1707611,1591,87.56382751,1591,127.4352646,1591,182.5460815,1591,99.53534698,
1590,195.8182068,1590,87.3878479,1590,127.8273087,1590,182.4825897,1590,99.76177216,
1589,195.7671661,1589,87.35187531,1589,127.9863586,1589,182.6704102,1589,99.82257843,
1588,195.8784332,1588,87.39105225,1588,127.9682007,1588,183.1257477,1588,99.77928162,
1587,196.2719879,1587,87.60818481,1587,127.8994675,1587,183.1061554,1587,99.53083038,
1586,196.4370117,1586,87.78955078,1586,127.5844421,1586,183.0939941,1586,99.33153534,
1585,196.4727325,1585,87.84857941,1585,127.4732971,1585,182.7651215,1585,99.25231934,
1584,196.3314972,1584,87.8608017,1584,127.5282898,1584,182.3306274,1584,99.50585175,
1583,195.9068604,1583,87.68009186,1583,127.8782043,1583,182.3339233,1583,99.74427032,
1582,195.8719482,1582,87.60108948,1582,128.0736542,1582,182.5074158,1582,99.73670197,
1581,195.9629364,1581,87.63248444,1581,128.1013794,1581,182.96138,1581,99.71169281,
1580,196.3960114,1580,87.82527161,1580,128.0497589,1580,182.9946289,1580,99.54080963,
1579,196.5909271,1579,87.97882843,1579,127.688385,1579,182.9296417,1579,99.30489349,
1578,196.6005859,1578,87.97692108,1578,127.5273056,1578,182.6263123,1578,99.30799866,
1577,196.49617,1577,87.99708557,1577,127.5325165,1577,182.2119446,1577,99.46121216,
1576,196.1000061,1576,87.81889343,1576,127.8643036,1576,182.1727142,1576,99.71302032,
1575,196.0518494,1575,87.72570801,1575,128.0917511,1575,182.2781219,1575,99.73987579,
1574,196.148407,1574,87.73046112,1574,128.1179657,1574,182.7774353,1574,99.71947479,
1573,196.5037079,1573,87.85144043,1573,128.0765381,1573,182.7974854,1573,99.49518585,
1572,196.6321869,1572,88.03214264,1572,127.7179108,1572,182.8146057,1572,99.2397995,
1571,196.6533051,1571,88.01029205,1571,127.5233383,1571,182.6412354,1571,99.22424316,
1570,196.5305786,1570,87.97666168,1570,127.5033798,1570,182.0772705,1570,99.30437469,
1569,196.1507416,1569,87.78408051,1569,127.7733307,1569,182,1569,99.61772919,
1568,196.1295319,1568,87.62099457,1568,127.9878464,1568,182.1183319,1568,99.64862823,
1567,196.1763916,1567,87.59744263,1567,127.9852371,1567,182.5995636,1567,99.63963318,
1566,196.4705048,1566,87.70835114,1566,127.9472351,1566,182.6866608,1566,99.4826355,
1565,196.6742096,1565,87.85876465,1565,127.6142349,1565,182.6548004,1565,99.19991302,
1564,196.6991577,1564,87.84633636,1564,127.3672256,1564,182.5210571,1564,99.19176483,
1563,196.5985718,1563,87.82529449,1563,127.3215179,1563,181.9751282,1563,99.27044678,
1562,196.306488,1562,87.63930511,1562,127.5186996,1562,181.8727264,1562,99.57607269,
1561,196.2495728,1561,87.44914246,1561,127.7807007,1561,181.9200134,1561,99.63578033,
1560,196.2658234,1560,87.42197418,1560,127.7800217,1560,182.3772125,1560,99.64276886,
1559,196.568222,1559,87.47888184,1559,127.6939163,1559,182.4761505,1559,99.51154327,
1558,196.778183,1558,87.63065338,1558,127.3489227,1558,182.4278107,1558,99.18772888,
1557,196.8474579,1557,87.61254883,1557,127.0381088,1557,182.2962494,1557,99.16436005,
1556,196.8357391,1556,87.62443542,1556,126.9959793,1556,181.7501373,1556,99.2455368,
1555,196.5085602,1555,87.47621155,1555,127.1831131,1555,181.6751556,1555,99.54049683,
1554,196.3446808,1554,87.25527191,1554,127.4600525,1554,181.6883087,1554,99.63296509,
1553,196.3839569,1553,87.24081421,1553,127.4098358,1553,182.095871,1553,99.61562347,
