Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1800,50.35464096,1800,2.387686968,1800,23.02186966,1800,31.25871086,1800,14.95212936,
1790,49.23635483,1790,2.444894314,1790,22.87673569,1790,31.68406105,1790,15.82074165,
1780,51.40717697,1780,2.410978079,1780,23.48364258,1780,32.3574295,1780,15.94748497,
1770,50.35583496,1770,2.281104565,1770,23.314991,1770,31.68387032,1770,15.56340122,
1760,47.95835495,1760,2.263208866,1760,22.1819706,1760,31.56943703,1760,15.61392879,
1750,50.80310059,1750,2.351018906,1750,23.15207291,1750,32.65052032,1750,15.79175758,
1740,49.18287659,1740,2.244202137,1740,22.56187439,1740,31.32544708,1740,15.42286396,
1730,44.94588852,1730,2.146246672,1730,20.31377411,1730,30.01387024,1730,14.97241974,
1720,45.90297699,1720,2.187081575,1720,20.90571785,1720,30.7824192,1720,14.34885979,
1710,50.45149994,1710,2.296329021,1710,22.59289742,1710,33.30149841,1710,15.80568695,
1700,51.67510986,1700,2.325881243,1700,23.22154999,1700,34.82164001,1700,16.88266945,
1690,55.22699356,1690,2.46090889,1690,24.37763596,1690,35.71566772,1690,16.73538017,
1680,54.21899414,1680,2.440952301,1680,24.35790253,1680,35.83921051,1680,17.14211845,
1670,55.81155396,1670,2.457551003,1670,24.77842331,1670,36.66472244,1670,17.81072235,
1660,56.03967285,1660,2.423595667,1660,24.96476746,1660,36.18670273,1660,16.72977829,
1650,56.30710602,1650,2.475654125,1650,25.24453735,1650,36.77258301,1650,17.72760201,
1640,56.81177902,1640,2.511378288,1640,25.46490097,1640,36.8633194,1640,17.43892479,
1630,57.04247284,1630,2.472725391,1630,25.79914665,1630,36.5184021,1630,16.67624474,
1620,56.99323273,1620,2.444304228,1620,25.87108994,1620,36.83158112,1620,17.55108452,
1610,57.64583206,1610,2.451911926,1610,25.86643982,1610,36.68055725,1610,16.79668617,
