-10 -9 -8 -7 -6 -5 -4 -3 -2 -1 -0 0 1 2 3 4 5 6 7 8 9 10
828.851013 1582 1578 1582 1577 1581 1582 1577 1582 1577 1580 1578 1570 1577 1580 1584 1584 1580 1579 1582 1579 1580 1584
828.870972 1581 1579 1580 1585 1581 1581 1582 1582 1579 1579 1579 1579 1584 1583 1585 1579 1576 1583 1578 1581 1578 1578
828.890991 1580 1577 1573 1585 1582 1581 1579 1578 1581 1583 1575 1572 1579 1583 1577 1579 1581 1579 1576 1579 1575 1578
828.911987 1578 1578 1582 1580 1576 1576 1585 1582 1582 1580 1575 1574 1582 1582 1581 1581 1580 1582 1580 1577 1577 1581
828.932007 1575 1577 1575 1573 1580 1578 1577 1583 1583 1577 1574 1576 1573 1582 1581 1578 1575 1579 1580 1580 1579 1578
828.953003 1578 1583 1581 1582 1582 1577 1581 1577 1577 1580 1580 1576 1583 1573 1579 1579 1583 1583 1577 1582 1580 1581
828.973022 1579 1580 1574 1579 1581 1577 1579 1584 1578 1577 1573 1577 1584 1579 1583 1580 1579 1580 1582 1578 1576 1582
828.994019 1573 1578 1584 1575 1577 1575 1577 1577 1581 1572 1571 1574 1577 1579 1580 1574 1577 1579 1575 1572 1571 1579
829.013977 1578 1580 1572 1579 1579 1577 1580 1572 1577 1576 1575 1581 1579 1577 1574 1577 1574 1577 1572 1580 1572 1580
829.034973 1575 1580 1580 1579 1575 1577 1572 1577 1586 1572 1575 1575 1579 1580 1577 1580 1579 1580 1574 1576 1580 1577
829.054993 1572 1575 1575 1578 1577 1573 1575 1582 1574 1576 1571 1570 1576 1575 1574 1572 1577 1576 1579 1579 1576 1575
829.075012 1573 1576 1575 1577 1579 1575 1577 1573 1579 1579 1577 1573 1575 1573 1570 1581 1576 1575 1576 1576 1574 1576
829.096008 1580 1582 1578 1580 1578 1574 1578 1577 1578 1580 1578 1576 1582 1579 1574 1578 1574 1578 1579 1578 1577 1581
829.116028 1578 1572 1577 1576 1579 1577 1578 1574 1579 1575 1573 1573 1578 1578 1582 1578 1576 1574 1579 1579 1578 1580
829.137024 1580 1571 1576 1577 1578 1578 1574 1571 1574 1576 1575 1576 1575 1579 1574 1577 1574 1578 1575 1574 1579 1573
829.156982 1572 1576 1574 1574 1577 1571 1574 1573 1574 1579 1574 1575 1576 1579 1575 1580 1582 1578 1572 1572 1575 1576
829.177979 1578 1581 1574 1576 1575 1575 1580 1576 1576 1572 1571 1575 1572 1577 1576 1576 1574 1579 1571 1585 1577 1575
829.197998 1573 1576 1580 1577 1575 1579 1575 1578 1576 1576 1566 1575 1578 1574 1575 1574 1580 1577 1577 1570 1581 1573
829.218994 1576 1577 1573 1572 1573 1571 1577 1578 1570 1576 1567 1572 1574 1572 1579 1574 1571 1572 1572 1573 1572 1570
829.239014 1577 1576 1574 1573 1575 1581 1577 1574 1579 1573 1573 1575 1582 1577 1579 1573 1572 1575 1575 1575 1579 1575
829.258972 1577 1572 1574 1571 1571 1573 1575 1573 1573 1574 1566 1569 1573 1570 1574 1572 1573 1577 1576 1573 1576 1576
829.280029 1575 1576 1572 1576 1572 1574 1574 1575 1578 1573 1572 1574 1574 1575 1577 1577 1578 1578 1577 1577 1572 1579
829.299988 1576 1574 1574 1577 1572 1574 1576 1572 1575 1572 1567 1571 1573 1573 1574 1571 1574 1571 1572 1572 1575 1575
829.320984 1571 1571 1576 1576 1575 1578 1577 1582 1574 1570 1572 1570 1571 1575 1573 1573 1573 1577 1572 1567 1577 1573
829.341003 1572 1573 1574 1573 1576 1571 1577 1573 1575 1576 1567 1573 1575 1573 1574 1573 1574 1576 1568 1575 1573 1569
829.362 1574 1571 1572 1571 1573 1569 1574 1576 1574 1572 1573 1569 1571 1572 1575 1574 1573 1573 1576 1577 1570 1575
829.382019 1571 1574 1574 1575 1576 1576 1573 1573 1573 1575 1569 1571 1572 1572 1576 1578 1570 1573 1579 1578 1570 1575
829.401978 1573 1575 1575 1572 1575 1573 1576 1570 1574 1573 1567 1570 1574 1576 1576 1571 1572 1569 1576 1573 1571 1574
829.422974 1569 1573 1574 1573 1572 1573 1575 1571 1572 1572 1573 1569 1571 1571 1574 1576 1570 1574 1571 1575 1572 1578
829.442993 1574 1577 1573 1575 1571 1576 1573 1571 1569 1576 1570 1570 1577 1570 1573 1573 1569 1574 1573 1573 1574 1573
829.463989 1576 1576 1574 1576 1572 1579 1570 1567 1575 1573 1574 1567 1577 1576 1574 1576 1575 1575 1573 1572 1573 1573
829.484009 1574 1571 1575 1574 1572 1577 1573 1571 1575 1572 1569 1572 1574 1579 1574 1574 1573 1575 1576 1572 1566 1575
829.505005 1573 1574 1571 1578 1575 1571 1575 1574 1574 1572 1571 1578 1573 1574 1572 1569 1579 1579 1569 1577 1583 1578
829.525024 1572 1571 1576 1577 1579 1577 1575 1577 1577 1577 1571 1573 1577 1574 1570 1575 1577 1573 1574 1572 1571 1569
829.544983 1579 1573 1573 1571 1578 1577 1574 1575 1578 1574 1578 1569 1571 1575 1577 1572 1574 1575 1573 1569 1577 1572
829.565979 1569 1576 1580 1576 1574 1576 1575 1572 1575 1574 1571 1570 1575 1574 1574 1576 1573 1578 1573 1575 1572 1577
829.585999 1579 1576 1579 1578 1583 1577 1582 1575 1576 1578 1576 1576 1581 1576 1581 1578 1578 1580 1580 1576 1575 1577
829.606995 1574 1576 1575 1578 1578 1580 1579 1576 1579 1579 1580 1577 1578 1579 1582 1578 1582 1580 1581 1581 1578 1580
829.627014 1575 1577 1582 1578 1583 1587 1578 1582 1580 1581 1572 1576 1580 1580 1577 1580 1579 1577 1586 1579 1583 1580
829.64801 1577 1578 1575 1573 1572 1578 1578 1581 1575 1573 1574 1581 1582 1581 1579 1577 1580 1576 1576 1576 1572 1580
829.66803 1581 1585 1579 1571 1585 1581 1581 1580 1580 1575 1577 1581 1582 1580 1584 1575 1578 1581 1573 1576 1578 1579
829.687988 1580 1575 1579 1580 1575 1580 1578 1582 1579 1581 1577 1575 1580 1581 1579 1578 1580 1578 1583 1582 1579 1578
829.708984 1578 1580 1574 1579 1576 1577 1577 1582 1582 1577 1575 1579 1577 1577 1575 1580 1580 1580 1578 1582 1583 1578
829.729004 1579 1580 1576 1581 1580 1580 1580 1580 1576 1579 1574 1577 1582 1577 1578 1582 1579 1578 1585 1580 1577 1579
829.75 1580 1579 1580 1579 1577 1576 1576 1582 1580 1577 1578 1577 1579 1583 1579 1580 1575 1582 1582 1582 1584 1583
829.77002 1580 1577 1580 1581 1578 1582 1581 1581 1582 1577 1575 1575 1579 1586 1578 1579 1584 1580 1576 1582 1579 1575
