0 1 2 3 4 5 6 7 8 9 10
828.851013 1578 1580 1577 1582 1577 1582 1581 1577 1582 1578 1582
828.870972 1579 1579 1579 1582 1582 1581 1581 1585 1580 1579 1581
828.890991 1575 1583 1581 1578 1579 1581 1582 1585 1573 1577 1580
828.911987 1575 1580 1582 1582 1585 1576 1576 1580 1582 1578 1578
828.932007 1574 1577 1583 1583 1577 1578 1580 1573 1575 1577 1575
828.953003 1580 1580 1577 1577 1581 1577 1582 1582 1581 1583 1578
828.973022 1573 1577 1578 1584 1579 1577 1581 1579 1574 1580 1579
828.994019 1571 1572 1581 1577 1577 1575 1577 1575 1584 1578 1573
829.013977 1575 1576 1577 1572 1580 1577 1579 1579 1572 1580 1578
829.034973 1575 1572 1586 1577 1572 1577 1575 1579 1580 1580 1575
829.054993 1571 1576 1574 1582 1575 1573 1577 1578 1575 1575 1572
829.075012 1577 1579 1579 1573 1577 1575 1579 1577 1575 1576 1573
829.096008 1578 1580 1578 1577 1578 1574 1578 1580 1578 1582 1580
829.116028 1573 1575 1579 1574 1578 1577 1579 1576 1577 1572 1578
829.137024 1575 1576 1574 1571 1574 1578 1578 1577 1576 1571 1580
829.156982 1574 1579 1574 1573 1574 1571 1577 1574 1574 1576 1572
829.177979 1571 1572 1576 1576 1580 1575 1575 1576 1574 1581 1578
829.197998 1566 1576 1576 1578 1575 1579 1575 1577 1580 1576 1573
829.218994 1567 1576 1570 1578 1577 1571 1573 1572 1573 1577 1576
829.239014 1573 1573 1579 1574 1577 1581 1575 1573 1574 1576 1577
829.258972 1566 1574 1573 1573 1575 1573 1571 1571 1574 1572 1577
829.280029 1572 1573 1578 1575 1574 1574 1572 1576 1572 1576 1575
829.299988 1567 1572 1575 1572 1576 1574 1572 1577 1574 1574 1576
829.320984 1572 1570 1574 1582 1577 1578 1575 1576 1576 1571 1571
829.341003 1567 1576 1575 1573 1577 1571 1576 1573 1574 1573 1572
829.362 1573 1572 1574 1576 1574 1569 1573 1571 1572 1571 1574
829.382019 1569 1575 1573 1573 1573 1576 1576 1575 1574 1574 1571
829.401978 1567 1573 1574 1570 1576 1573 1575 1572 1575 1575 1573
829.422974 1573 1572 1572 1571 1575 1573 1572 1573 1574 1573 1569
829.442993 1570 1576 1569 1571 1573 1576 1571 1575 1573 1577 1574
829.463989 1574 1573 1575 1567 1570 1579 1572 1576 1574 1576 1576
829.484009 1569 1572 1575 1571 1573 1577 1572 1574 1575 1571 1574
829.505005 1571 1572 1574 1574 1575 1571 1575 1578 1571 1574 1573
829.525024 1571 1577 1577 1577 1575 1577 1579 1577 1576 1571 1572
829.544983 1578 1574 1578 1575 1574 1577 1578 1571 1573 1573 1579
829.565979 1571 1574 1575 1572 1575 1576 1574 1576 1580 1576 1569
829.585999 1576 1578 1576 1575 1582 1577 1583 1578 1579 1576 1579
829.606995 1580 1579 1579 1576 1579 1580 1578 1578 1575 1576 1574
829.627014 1572 1581 1580 1582 1578 1587 1583 1578 1582 1577 1575
829.64801 1574 1573 1575 1581 1578 1578 1572 1573 1575 1578 1577
829.66803 1577 1575 1580 1580 1581 1581 1585 1571 1579 1585 1581
829.687988 1577 1581 1579 1582 1578 1580 1575 1580 1579 1575 1580
829.708984 1575 1577 1582 1582 1577 1577 1576 1579 1574 1580 1578
829.729004 1574 1579 1576 1580 1580 1580 1580 1581 1576 1580 1579
829.75 1578 1577 1580 1582 1576 1576 1577 1579 1580 1579 1580
829.77002 1575 1577 1582 1581 1581 1582 1578 1581 1580 1577 1580
829.791016 1574 1580 1572 1581 1582 1582 1579 1582 1581 1579 1575
829.810974 1570 1579 1584 1581 1576 1574 1581 1583 1581 1579 1581
829.830994 1578 1580 1583 1576 1580 1581 1581 1578 1578 1582 1578
829.85199 1574 1574 1583 1578 1584 1578 1581 1582 1582 1578 1580
829.872009 1575 1582 1581 1583 1579 1581 1580 1579 1582 1584 1580
829.893005 1577 1578 1585 1580 1581 1580 1577 1582 1584 1578 1581
829.913025 1583 1584 1584 1588 1585 1583 1582 1582 1582 1585 1582
829.932983 1584 1581 1578 1583 1586 1579 1585 1584 1582 1581 1580
829.953979 1579 1580 1578 1582 1581 1579 1582 1578 1582 1582 1585
