10 8 6 4 2 0
828.851013 1732 1715 1721 1717 1705 1717
828.870972 1729 1726 1722 1712 1707 1717
828.890991 1719 1720 1714 1721 1709 1716
828.911987 1732 1713 1712 1718 1714 1711
828.932007 1716 1709 1719 1707 1702 1707
828.953003 1719 1718 1715 1715 1708 1717
828.973022 1727 1717 1727 1712 1716 1718
828.994019 1717 1713 1699 1711 1698 1702
829.013977 1712 1705 1710 1713 1699 1693
829.034973 1716 1713 1708 1711 1709 1714
829.054993 1715 1710 1704 1695 1694 1701
829.075012 1718 1711 1706 1705 1699 1699
829.096008 1714 1705 1708 1710 1703 1691
829.116028 1713 1713 1700 1705 1693 1706
829.137024 1715 1706 1706 1694 1701 1696
829.156982 1715 1711 1708 1700 1691 1695
829.177979 1706 1709 1702 1700 1691 1697
829.197998 1713 1713 1707 1706 1702 1706
829.218994 1704 1698 1698 1695 1685 1695
829.239014 1717 1713 1702 1707 1702 1705
829.258972 1718 1704 1710 1699 1687 1692
829.280029 1718 1713 1713 1703 1692 1700
829.299988 1708 1698 1700 1699 1689 1696
829.320984 1700 1700 1694 1692 1691 1699
829.341003 1709 1702 1693 1695 1686 1688
829.362 1703 1706 1702 1702 1691 1699
829.382019 1711 1701 1696 1694 1691 1688
829.401978 1712 1705 1700 1698 1693 1700
829.422974 1706 1702 1700 1696 1688 1694
829.442993 1711 1708 1705 1696 1696 1698
829.463989 1702 1700 1705 1704 1693 1692
829.484009 1707 1703 1694 1696 1690 1695
829.505005 1706 1700 1701 1698 1687 1700
829.525024 1709 1707 1700 1709 1699 1697
829.544983 1710 1699 1702 1701 1690 1701
829.565979 1714 1704 1704 1704 1691 1693
829.585999 1723 1709 1715 1709 1706 1707
829.606995 1727 1719 1714 1713 1708 1715
829.627014 1723 1716 1711 1713 1711 1711
829.64801 1713 1716 1708 1709 1700 1708
829.66803 1724 1718 1718 1704 1706 1717
829.687988 1719 1722 1719 1720 1710 1723
829.708984 1723 1723 1720 1714 1717 1714
829.729004 1724 1723 1715 1721 1712 1710
829.75 1722 1722 1714 1710 1713 1706
829.77002 1721 1720 1719 1714 1702 1705
829.791016 1729 1716 1717 1710 1710 1714
829.810974 1735 1726 1713 1720 1704 1711
829.830994 1724 1725 1718 1725 1705 1710
829.85199 1734 1729 1718 1715 1706 1710
829.872009 1731 1725 1727 1715 1706 1713
829.893005 1727 1721 1717 1713 1712 1716
829.913025 1736 1721 1727 1728 1720 1725
829.932983 1725 1728 1723 1719 1710 1721
829.953979 1733 1726 1718 1723 1712 1714
829.973999 1731 1730 1711 1728 1711 1711
829.994995 1731 1732 1728 1722 1711 1715
830.015015 1734 1732 1728 1726 1718 1725
830.036011 1737 1731 1729 1720 1717 1725
830.05603 1726 1725 1726 1727 1717 1726
830.075989 1738 1728 1727 1716 1717 1720
830.096985 1736 1734 1730 1723 1722 1726
