-10 -9 -8 -7 -6 -5 -4 -3 -2 -1 -0 0 1 2 3 4 5 6 7 8 9 10
828.851013 2035 2040 2048 2029 2027 2073 2067 2066 2072 2072 2091 2091 2088 2108 2089 2096 2096 2045 2086 2080 2075 2062
828.870972 2026 2036 2031 2041 2053 2084 2114 2068 2085 2076 2058 2088 2117 2083 2141 2083 2108 2072 2078 2068 2061 2084
828.890991 2032 2028 2056 2004 2052 2047 2073 2057 2100 2088 2064 2095 2104 2094 2086 2114 2110 2081 2058 2072 2076 2105
828.911987 2043 2038 2029 2036 2054 2072 2092 2078 2031 2066 2089 2080 2076 2070 2093 2081 2085 2048 2073 2047 2079 2070
828.932007 2032 2052 2032 2015 2041 2072 2074 2069 2076 2065 2061 2101 2094 2079 2076 2067 2096 2076 2038 2066 2092 2057
828.953003 2020 2024 2046 2037 2043 2054 2073 2068 2061 2051 2067 2112 2112 2102 2102 2114 2072 2094 2062 2062 2077 2062
828.973022 2022 2020 2051 2072 2026 2054 2080 2083 2061 2047 2056 2090 2101 2118 2099 2097 2092 2062 2087 2064 2072 2073
828.994019 2017 2013 1993 2035 2049 2065 2053 2052 2061 2035 2069 2091 2058 2095 2073 2103 2078 2061 2057 2058 2051 2072
829.013977 2002 2028 2006 2029 2012 2058 2070 2067 2045 2039 2036 2105 2085 2047 2089 2060 2064 2050 2060 2055 2049 2048
829.034973 2009 2041 2049 2005 1995 2085 2022 2048 2046 2076 2044 2076 2090 2093 2096 2068 2096 2051 2052 2057 2047 2071
829.054993 2001 1986 2008 2016 2007 2049 2033 2052 2047 2048 2037 2092 2049 2112 2078 2062 2065 2088 2045 2051 2055 2029
829.075012 2021 2022 2012 2010 2022 2065 2076 2032 2045 2050 2066 2065 2053 2101 2078 2083 2078 2065 2048 2015 2046 2055
829.096008 2013 2022 2024 1997 2015 2011 2037 2043 2049 2040 2049 2076 2074 2077 2076 2084 2088 2079 2042 2064 2050 2071
829.116028 2000 2016 2032 2003 2018 2048 2046 2072 2064 2040 2034 2062 2057 2066 2060 2052 2081 2040 2048 2043 2039 2034
829.137024 2004 2004 2020 1993 2001 2027 2031 2064 2035 2043 2035 2094 2043 2100 2067 2072 2053 2056 2034 2013 2041 2045
829.156982 2002 1994 2009 1996 2019 2028 2034 2017 2054 2036 2029 2038 2044 2045 2049 2081 2059 2029 2031 2040 2013 2036
829.177979 2013 2006 1992 2002 1980 2016 2035 2033 2025 2029 2030 2059 2076 2078 2062 2065 2052 2034 2047 2002 2018 2026
829.197998 1973 2010 2000 2026 2000 2059 2017 2023 2042 2042 2061 2062 2086 2069 2057 2042 2068 2068 2039 2047 2053 2018
829.218994 2003 2002 2009 2018 1991 2003 2037 2034 2011 2005 2038 2044 2061 2057 2046 2028 2029 2006 2036 2023 1997 2025
829.239014 2014 1989 2023 1997 2029 2013 2028 2013 2030 2044 2034 2053 2046 2063 2054 2055 2066 2012 2019 2035 2028 2028
829.258972 1988 2019 1995 2001 2000 2022 2016 2020 2047 2053 2018 2036 2040 2032 2022 2052 2058 2048 2057 2036 2031 2023
829.280029 2001 1980 1984 2013 2010 2027 2063 2025 2011 2025 2047 2053 2038 2071 2040 2074 2058 2048 2031 2022 2030 2032
829.299988 2005 1992 2003 2011 2008 2016 2010 2008 2036 2042 2017 2055 2056 2085 2072 2073 2074 2043 2027 2013 2029 2033
829.320984 2012 2010 1999 1993 2001 2036 2043 2015 1995 2045 2030 2049 2056 2066 2066 2045 2052 2030 2030 2020 2039 2026
829.341003 2005 1998 2019 2011 1988 2026 2005 2023 2058 2048 2039 2062 2046 2057 2037 2081 2032 2032 2034 2045 2026 2031
829.362 1993 1999 1984 2016 1996 2015 2035 2024 2045 2023 2014 2072 2070 2073 2072 2065 2034 2045 2051 2024 2019 2031
829.382019 2005 2000 2029 1991 2011 2036 2019 2033 2015 2042 2046 2064 2053 2057 2090 2048 2053 2063 2032 2040 2055 2047
829.401978 1989 2013 2009 2009 1998 2044 2010 2038 2035 2025 2016 2039 2070 2065 2050 2060 2036 2042 2023 2019 2049 2025
829.422974 1992 1998 2007 2010 2021 2067 2030 2044 2040 2036 2049 2072 2072 2053 2071 2047 2052 2042 2045 2040 2042 2023
829.442993 2007 2013 2009 2007 2005 2019 2052 2052 2040 2033 2019 2061 2036 2067 2080 2056 2051 2061 2039 2027 2025 2034
829.463989 2024 2001 2007 2004 2040 2044 2021 2040 2025 2063 2024 2068 2029 2072 2060 2075 2059 2030 2012 2037 2033 2043
829.484009 1986 1985 2004 2000 2005 2034 2010 2030 2032 2050 2048 2077 2060 2054 2055 2052 2053 2020 2028 2045 1998 2009
829.505005 2008 2004 1976 1977 2012 2023 2032 2016 2040 2052 2048 2077 2077 2053 2074 2088 2060 2055 2037 2054 2066 2089
829.525024 2032 2029 2007 2004 2015 2047 2048 2063 2052 2044 2026 2070 2070 2051 2082 2070 2059 2050 2041 2031 2048 2034
829.544983 2003 1999 2002 2021 2002 2036 2036 2037 2038 2041 2062 2046 2077 2063 2060 2060 2067 2051 2055 2022 2027 2010
829.565979 2010 2011 2027 1976 1992 2033 2027 2008 2076 2046 2038 2062 2092 2067 2061 2074 2041 2049 2029 2031 2059 2022
829.585999 2017 2042 2013 2032 2026 2027 2032 2050 2039 2042 2026 2057 2051 2044 2069 2068 2069 2041 2041 2043 2035 2032
829.606995 2018 2004 2016 2019 2013 2030 2042 2073 2047 2025 2033 2067 2050 2081 2084 2067 2055 2029 2044 2019 2024 2029
829.627014 2004 2004 2008 2008 2029 2036 2062 2030 2065 2043 2052 2025 2058 2073 2081 2057 2074 2064 2036 2034 2049 2029
829.64801 1993 1991 2019 2014 2013 2025 2022 2043 2035 2038 2049 2045 2063 2046 2064 2058 2045 2045 2050 2039 2040 2018
829.66803 2022 2037 2010 2005 2026 2033 2057 2047 2030 2045 2031 2072 2086 2070 2063 2096 2079 2017 2057 2013 2018 2030
829.687988 2033 2023 2019 2002 2013 2036 2047 2067 2044 2064 2035 2067 2062 2058 2059 2051 2059 2064 2030 2025 2019 2058
829.708984 2002 2022 2017 2000 2016 2036 2054 2055 2053 2054 2039 2090 2081 2052 2087 2054 2076 2045 2034 2054 2024 2035
829.729004 2003 2023 1997 2019 2014 2052 2037 2064 2023 2043 2062 2067 2069 2088 2092 2075 2043 2044 2047 2017 2016 2043
829.75 1998 2015 2008 2000 2040 2036 2043 2071 2041 2043 2067 2051 2070 2067 2077 2110 2058 2059 2047 2033 2028 2051
829.77002 1992 2007 2018 1997 2022 2027 2048 2082 2057 2047 2049 2075 2072 2063 2051 2102 2064 2045 2061 2043 2032 2039
829.791016 2015 2012 2007 1997 2018 2056 2031 2039 2074 2042 2040 2048 2051 2088 2058 2083 2078 2079 2023 2061 2042 2010
829.810974 2005 2008 2006 2002 2037 2049 2055 2018 2056 2071 2055 2080 2098 2052 2067 2061 2057 2063 2063 2035 2051 2079
829.830994 2024 1999 2017 2005 1987 2035 2059 2069 2037 2032 2045 2083 2064 2079 2099 2043 2063 2045 2050 2049 2042 2009
829.85199 2033 1986 2011 2022 1995 2056 2030 2025 2042 2042 2072 2099 2085 2062 2073 2064 2053 2059 2047 2023 2039 2026
829.872009 2034 1995 2019 2028 2040 2059 2035 2060 2069 2057 2060 2102 2080 2064 2073 2066 2048 2077 2052 2071 2035 2041
829.893005 2003 2025 2017 2018 1990 2054 2067 2052 2051 2048 2047 2071 2073 2076 2077 2073 2079 2041 2045 2040 2054 2035
829.913025 2036 2008 2031 2021 2035 2058 2064 2073 2063 2089 2049 2104 2069 2099 2095 2091 2068 2067 2056 2066 2048 2067
829.932983 2037 2032 2050 2021 2013 2075 2066 2040 2065 2054 2061 2084 2090 2084 2076 2114 2092 2036 2077 2038 2063 2082
829.953979 2029 2019 2021 2011 2083 2081 2030 2050 2054 2065 2067 2070 2068 2071 2089 2075 2073 2029 2075 2050 2029 2044
829.973999 2005 2031 2038 2049 2021 2053 2041 2044 2072 2058 2077 2066 2077 2088 2101 2090 2086 2047 2039 2029 2052 2046
829.994995 2029 2010 2034 2013 2037 2065 2043 2089 2058 2073 2038 2106 2096 2056 2094 2085 2083 2070 2062 2042 2054 2059
830.015015 2015 2037 2043 2046 2041 2053 2057 2080 2066 2049 2056 2077 2096 2107 2075 2105 2095 2040 2058 2066 2075 2047
830.036011 2043 2041 2008 2032 2067 2051 2036 2082 2092 2078 2072 2106 2090 2096 2107 2095 2116 2058 2056 2060 2080 2053
830.05603 2040 2060 2045 2014 2011 2075 2033 2087 2074 2068 2070 2122 2089 2091 2091 2106 2070 2039 2066 2056 2062 2057
830.075989 2037 2041 2025 2028 2018 2084 2090 2070 2076 2069 2082 2104 2084 2072 2085 2083 2088 2066 2041 2064 2088 2060
830.096985 2045 2053 2042 2031 2034 2062 2069 2059 2064 2108 2097 2089 2103 2119 2117 2088 2109 2074 2104 2077 2060 2068
830.117004 2049 2039 2066 2044 2056 2073 2083 2093 2102 2088 2065 2117 2132 2121 2083 2113 2096 2063 2080 2081 2048 2067
830.138 2046 2070 2055 2047 2069 2087 2094 2069 2096 2071 2127 2124 2138 2113 2115 2112 2125 2081 2105 2065 2093 2070
830.15802 2057 2038 2061 2081 2047 2080 2114 2063 2108 2075 2094 2085 2150 2114 2140 2094 2131 2074 2077 2105 2071 2068
830.177979 2087 2073 2065 2065 2042 2097 2105 2104 2124 2103 2087 2122 2115 2097 2132 2140 2125 2091 2099 2095 2117 2076
830.198975 2041 2059 2043 2063 2067 2062 2122 2094 2075 2069 2106 2114 2131 2078 2132 2130 2105 2092 2090 2094 2100 2102
830.218994 2056 2071 2062 2054 2040 2098 2093 2109 2128 2091 2072 2122 2114 2122 2095 2117 2142 2092 2096 2100 2094 2107
830.23999 2046 2078 2051 2035 2060 2061 2085 2083 2089 2089 2090 2120 2102 2087 2077 2102 2098 2069 2085 2075 2078 2069
