0 1 2 3 4 5 6 7 8 9 10
828.851013 2091 2088 2108 2089 2096 2096 2045 2086 2080 2075 2062
828.870972 2088 2117 2083 2141 2083 2108 2072 2078 2068 2061 2084
828.890991 2095 2104 2094 2086 2114 2110 2081 2058 2072 2076 2105
828.911987 2080 2076 2070 2093 2081 2085 2048 2073 2047 2079 2070
828.932007 2101 2094 2079 2076 2067 2096 2076 2038 2066 2092 2057
828.953003 2112 2112 2102 2102 2114 2072 2094 2062 2062 2077 2062
828.973022 2090 2101 2118 2099 2097 2092 2062 2087 2064 2072 2073
828.994019 2091 2058 2095 2073 2103 2078 2061 2057 2058 2051 2072
829.013977 2105 2085 2047 2089 2060 2064 2050 2060 2055 2049 2048
829.034973 2076 2090 2093 2096 2068 2096 2051 2052 2057 2047 2071
829.054993 2092 2049 2112 2078 2062 2065 2088 2045 2051 2055 2029
829.075012 2065 2053 2101 2078 2083 2078 2065 2048 2015 2046 2055
829.096008 2076 2074 2077 2076 2084 2088 2079 2042 2064 2050 2071
829.116028 2062 2057 2066 2060 2052 2081 2040 2048 2043 2039 2034
829.137024 2094 2043 2100 2067 2072 2053 2056 2034 2013 2041 2045
829.156982 2038 2044 2045 2049 2081 2059 2029 2031 2040 2013 2036
829.177979 2059 2076 2078 2062 2065 2052 2034 2047 2002 2018 2026
829.197998 2062 2086 2069 2057 2042 2068 2068 2039 2047 2053 2018
829.218994 2044 2061 2057 2046 2028 2029 2006 2036 2023 1997 2025
829.239014 2053 2046 2063 2054 2055 2066 2012 2019 2035 2028 2028
829.258972 2036 2040 2032 2022 2052 2058 2048 2057 2036 2031 2023
829.280029 2053 2038 2071 2040 2074 2058 2048 2031 2022 2030 2032
829.299988 2055 2056 2085 2072 2073 2074 2043 2027 2013 2029 2033
829.320984 2049 2056 2066 2066 2045 2052 2030 2030 2020 2039 2026
829.341003 2062 2046 2057 2037 2081 2032 2032 2034 2045 2026 2031
829.362 2072 2070 2073 2072 2065 2034 2045 2051 2024 2019 2031
829.382019 2064 2053 2057 2090 2048 2053 2063 2032 2040 2055 2047
829.401978 2039 2070 2065 2050 2060 2036 2042 2023 2019 2049 2025
829.422974 2072 2072 2053 2071 2047 2052 2042 2045 2040 2042 2023
829.442993 2061 2036 2067 2080 2056 2051 2061 2039 2027 2025 2034
829.463989 2068 2029 2072 2060 2075 2059 2030 2012 2037 2033 2043
829.484009 2077 2060 2054 2055 2052 2053 2020 2028 2045 1998 2009
829.505005 2077 2077 2053 2074 2088 2060 2055 2037 2054 2066 2089
829.525024 2070 2070 2051 2082 2070 2059 2050 2041 2031 2048 2034
829.544983 2046 2077 2063 2060 2060 2067 2051 2055 2022 2027 2010
829.565979 2062 2092 2067 2061 2074 2041 2049 2029 2031 2059 2022
829.585999 2057 2051 2044 2069 2068 2069 2041 2041 2043 2035 2032
829.606995 2067 2050 2081 2084 2067 2055 2029 2044 2019 2024 2029
829.627014 2025 2058 2073 2081 2057 2074 2064 2036 2034 2049 2029
