0 1 2 3 4 5 6 7 8 9 10
833.901001 1658 1654 1651 1644 1653 1645 1650 1659 1649 1647 1645
833.921021 1658 1648 1653 1659 1653 1652 1652 1648 1656 1650 1652
833.942017 1649 1648 1645 1656 1653 1644 1642 1649 1648 1646 1646
833.961975 1652 1646 1649 1649 1643 1647 1655 1658 1651 1646 1639
833.982971 1646 1650 1647 1655 1658 1650 1648 1642 1660 1661 1651
834.002991 1661 1650 1647 1664 1648 1649 1657 1651 1646 1643 1645
834.02301 1652 1648 1642 1649 1645 1646 1650 1642 1652 1654 1646
834.044006 1655 1648 1651 1653 1650 1645 1655 1641 1647 1645 1638
834.064026 1650 1646 1647 1651 1646 1643 1642 1648 1653 1643 1636
834.085022 1657 1650 1653 1645 1655 1649 1643 1648 1645 1650 1645
834.10498 1643 1655 1640 1644 1644 1643 1647 1646 1645 1645 1647
834.125 1643 1660 1650 1640 1640 1648 1648 1649 1646 1643 1647
834.145996 1648 1651 1657 1646 1648 1640 1642 1643 1655 1643 1656
834.166016 1654 1643 1646 1653 1649 1648 1653 1645 1654 1648 1654
834.185974 1647 1651 1646 1646 1651 1640 1645 1645 1642 1639 1650
834.20697 1647 1647 1642 1649 1650 1645 1644 1652 1644 1648 1639
834.22699 1642 1651 1651 1645 1645 1655 1645 1656 1646 1647 1641
834.247986 1651 1645 1648 1649 1645 1647 1650 1653 1646 1650 1644
834.268005 1650 1650 1641 1648 1650 1649 1642 1642 1645 1643 1644
834.288025 1652 1646 1653 1647 1650 1651 1646 1648 1647 1652 1643
834.309021 1646 1647 1649 1653 1639 1648 1657 1652 1653 1651 1657
834.328979 1659 1645 1647 1652 1654 1648 1662 1665 1651 1646 1643
834.348999 1644 1654 1658 1651 1646 1638 1649 1658 1648 1649 1649
834.369995 1652 1642 1646 1650 1658 1646 1653 1652 1643 1644 1651
834.390015 1649 1652 1647 1649 1648 1649 1640 1654 1656 1649 1648
834.411011 1647 1658 1652 1661 1653 1654 1643 1651 1655 1655 1646
834.43103 1652 1656 1657 1656 1655 1656 1659 1665 1660 1661 1645
834.450989 1647 1663 1648 1656 1654 1649 1652 1645 1655 1661 1648
834.471985 1662 1656 1666 1654 1660 1644 1650 1648 1655 1652 1635
834.492004 1654 1653 1657 1655 1642 1659 1660 1647 1658 1647 1660
834.512024 1657 1652 1660 1658 1655 1659 1655 1656 1649 1657 1653
834.53302 1652 1655 1662 1659 1655 1655 1652 1654 1652 1653 1654
834.552979 1658 1661 1650 1657 1658 1661 1650 1667 1662 1658 1655
834.572998 1646 1660 1657 1660 1662 1659 1649 1655 1651 1664 1660
834.593994 1652 1647 1661 1651 1664 1654 1660 1659 1656 1668 1654
834.614014 1665 1658 1658 1663 1667 1655 1668 1666 1659 1660 1645
834.63501 1661 1652 1659 1649 1668 1661 1647 1666 1662 1657 1649
834.655029 1655 1651 1666 1660 1657 1652 1663 1669 1667 1654 1656
834.674988 1659 1672 1668 1655 1667 1657 1660 1667 1665 1649 1656
834.695984 1661 1663 1654 1651 1664 1658 1665 1666 1665 1668 1650
834.716003 1660 1665 1661 1655 1661 1662 1667 1661 1667 1661 1659
834.736023 1667 1662 1658 1662 1655 1673 1659 1669 1674 1654 1655
834.757019 1668 1660 1664 1667 1662 1657 1666 1660 1654 1662 1658
834.776978 1652 1649 1661 1663 1662 1656 1665 1652 1666 1673 1656
834.796997 1661 1661 1672 1662 1659 1659 1656 1666 1662 1658 1671
834.817993 1668 1658 1655 1664 1664 1661 1665 1660 1664 1644 1660
834.838013 1658 1660 1657 1669 1669 1660 1663 1664 1655 1650 1666
834.859009 1662 1668 1660 1667 1666 1665 1668 1664 1661 1662 1656
834.879028 1668 1660 1671 1662 1668 1672 1666 1663 1664 1658 1655
834.898987 1662 1666 1665 1666 1655 1655 1671 1671 1669 1667 1663
834.919983 1668 1659 1677 1657 1673 1674 1664 1664 1673 1662 1667
834.940002 1671 1669 1670 1665 1669 1659 1667 1664 1661 1672 1656
834.960022 1669 1662 1666 1667 1663 1669 1669 1662 1671 1666 1666
834.981018 1666 1674 1661 1657 1667 1667 1666 1664 1676 1674 1660
835.000977 1668 1673 1666 1656 1674 1648 1676 1665 1671 1671 1664
835.020996 1663 1662 1662 1669 1670 1671 1671 1664 1671 1663 1661
835.041992 1669 1673 1657 1668 1676 1667 1665 1662 1678 1660 1660
835.062012 1671 1658 1663 1670 1669 1681 1662 1669 1665 1665 1668
835.08197 1657 1653 1664 1664 1664 1666 1667 1669 1666 1659 1659
835.103027 1673 1663 1671 1665 1665 1666 1669 1664 1660 1662 1666
835.122986 1659 1664 1669 1660 1665 1659 1668 1671 1671 1667 1657
835.143005 1662 1659 1672 1675 1670 1673 1682 1668 1674 1667 1671
835.164001 1678 1671 1670 1663 1663 1676 1670 1673 1674 1664 1664
835.184021 1678 1672 1663 1666 1676 1669 1658 1671 1667 1656 1659
835.205017 1667 1666 1661 1674 1669 1664 1668 1675 1667 1674 1658
835.224976 1659 1662 1667 1658 1661 1671 1669 1671 1664 1659 1670
835.244995 1671 1663 1674 1660 1670 1668 1672 1662 1662 1661 1663
835.265991 1663 1671 1668 1677 1658 1670 1670 1668 1668 1667 1656
835.286011 1661 1661 1674 1656 1663 1660 1659 1668 1658 1661 1664
835.30603 1663 1663 1660 1667 1662 1664 1666 1660 1660 1657 1657
835.327026 1662 1650 1666 1659 1661 1663 1670 1661 1663 1654 1650
835.346985 1673 1664 1661 1671 1661 1661 1666 1664 1659 1661 1655
835.367004 1666 1657 1667 1663 1664 1669 1659 1669 1658 1668 1664
835.388 1660 1664 1662 1657 1659 1659 1669 1666 1662 1667 1657
835.40802 1656 1654 1661 1665 1656 1661 1667 1659 1671 1669 1654
835.427979 1672 1661 1660 1662 1668 1659 1665 1661 1665 1662 1654
835.448975 1653 1664 1662 1656 1661 1666 1660 1664 1660 1653 1653
835.468994 1658 1657 1667 1660 1668 1660 1656 1662 1657 1659 1654
835.489014 1667 1663 1654 1656 1667 1660 1667 1670 1661 1662 1668
835.51001 1671 1660 1660 1666 1659 1661 1657 1657 1663 1652 1662
835.530029 1657 1660 1664 1651 1662 1661 1656 1663 1659 1664 1657
835.549988 1657 1664 1662 1659 1670 1667 1667 1665 1663 1653 1651
835.570984 1664 1659 1665 1660 1662 1656 1663 1663 1654 1661 1651
835.591003 1664 1660 1655 1658 1665 1658 1659 1653 1666 1650 1655
835.611023 1650 1660 1661 1658 1658 1662 1656 1667 1657 1663 1652
835.632019 1664 1660 1656 1661 1658 1652 1672 1666 1658 1660 1652
835.651978 1663 1658 1656 1663 1655 1667 1650 1656 1648 1663 1644
835.671997 1656 1656 1661 1664 1659 1657 1656 1658 1651 1654 1658
835.692993 1655 1666 1648 1651 1655 1650 1662 1657 1659 1650 1643
835.713013 1663 1649 1654 1654 1661 1648 1647 1654 1650 1644 1654
835.732971 1660 1657 1649 1648 1658 1647 1655 1661 1656 1664 1651
835.754028 1646 1656 1652 1644 1659 1645 1665 1659 1659 1654 1653
835.773987 1654 1659 1655 1653 1655 1659 1652 1651 1659 1661 1660
835.794006 1656 1656 1662 1657 1657 1659 1661 1657 1658 1660 1647
835.815002 1651 1645 1655 1647 1656 1658 1656 1658 1650 1656 1644
835.835022 1650 1655 1661 1655 1661 1657 1651 1666 1657 1654 1640
835.85498 1654 1651 1655 1645 1649 1655 1659 1654 1642 1655 1651
835.875977 1658 1647 1656 1655 1652 1657 1650 1659 1659 1652 1656
835.895996 1647 1655 1660 1657 1654 1655 1661 1653 1660 1643 1656
835.916016 1654 1645 1654 1658 1657 1656 1652 1658 1649 1648 1636
835.937012 1655 1654 1660 1663 1653 1654 1657 1653 1658 1660 1651
