0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 60 62.5 65 67.5 70 72.5 75 77.5 80 82.5 85 87.5 90
688.765991 2324 2345 2368 2433 2484 2502 2628 2626 2691 2732 2756 2770 2807 2851 2808 2817 2870 2842 2823 2793 2786 2697 2684 2604 2587 2548 2460 2442 2424 2359 2325 2325 2320 2301 2307 2295 2311
688.773987 2311 2315 2319 2414 2474 2515 2551 2619 2689 2708 2721 2798 2805 2852 2814 2882 2866 2884 2832 2795 2712 2719 2674 2634 2568 2531 2501 2444 2402 2325 2337 2350 2333 2282 2315 2311 2371
688.78302 2326 2350 2375 2444 2488 2533 2562 2636 2671 2690 2750 2792 2789 2818 2883 2912 2852 2861 2818 2814 2758 2721 2679 2653 2572 2523 2491 2436 2353 2358 2306 2315 2298 2302 2298 2320 2314
688.791016 2300 2350 2395 2457 2453 2484 2546 2648 2671 2730 2724 2763 2829 2813 2823 2883 2842 2842 2840 2763 2797 2693 2627 2600 2572 2546 2511 2439 2422 2351 2336 2279 2271 2300 2278 2326 2315
688.799988 2303 2371 2391 2444 2494 2565 2520 2606 2647 2693 2719 2777 2812 2805 2848 2873 2819 2858 2821 2810 2776 2725 2660 2642 2589 2563 2439 2453 2393 2362 2376 2315 2311 2296 2316 2306 2344
688.807983 2354 2328 2381 2451 2452 2519 2542 2646 2646 2636 2741 2774 2807 2887 2857 2880 2884 2823 2809 2797 2748 2722 2661 2633 2586 2500 2460 2444 2404 2361 2305 2294 2314 2307 2301 2331 2317
688.817017 2337 2337 2397 2418 2491 2480 2548 2586 2694 2684 2720 2791 2806 2837 2862 2865 2843 2876 2881 2814 2764 2703 2691 2587 2572 2513 2469 2438 2408 2335 2338 2317 2302 2339 2305 2348 2307
688.825012 2321 2366 2363 2410 2504 2506 2574 2629 2708 2683 2731 2797 2832 2874 2872 2904 2881 2819 2868 2795 2778 2722 2716 2623 2580 2527 2510 2442 2403 2370 2336 2325 2275 2318 2280 2333 2343
688.833984 2332 2368 2368 2422 2464 2518 2589 2658 2648 2735 2778 2824 2806 2884 2810 2857 2846 2879 2865 2788 2760 2727 2678 2627 2584 2547 2478 2474 2409 2368 2342 2300 2305 2272 2300 2317 2346
688.84198 2278 2346 2382 2444 2496 2495 2568 2610 2695 2709 2757 2842 2831 2889 2859 2853 2849 2867 2832 2799 2780 2709 2691 2630 2581 2531 2488 2433 2426 2370 2303 2322 2321 2277 2294 2325 2336
688.851013 2334 2339 2393 2402 2473 2506 2581 2613 2652 2707 2761 2796 2851 2863 2895 2878 2857 2854 2864 2837 2793 2748 2703 2665 2577 2524 2511 2432 2417 2340 2299 2297 2302 2305 2266 2281 2315
688.859009 2332 2328 2394 2452 2466 2523 2517 2650 2685 2712 2717 2765 2853 2862 2890 2850 2843 2828 2828 2799 2780 2684 2659 2630 2575 2518 2471 2434 2384 2380 2341 2324 2305 2305 2314 2329 2366
688.867981 2382 2394 2399 2422 2479 2545 2533 2604 2662 2721 2749 2773 2835 2822 2858 2897 2887 2849 2833 2802 2801 2708 2670 2637 2586 2542 2476 2449 2396 2389 2352 2347 2304 2302 2315 2323 2288
688.875977 2336 2360 2398 2444 2476 2523 2584 2648 2670 2711 2786 2814 2833 2843 2842 2916 2852 2885 2825 2840 2748 2755 2702 2658 2576 2552 2459 2460 2392 2408 2365 2331 2294 2301 2343 2267 2318
688.88501 2361 2358 2395 2438 2471 2507 2577 2611 2682 2699 2756 2752 2878 2829 2896 2882 2855 2852 2844 2807 2778 2741 2694 2629 2573 2512 2504 2435 2445 2368 2351 2346 2283 2359 2322 2304 2352
688.893005 2325 2335 2384 2434 2513 2518 2588 2650 2655 2677 2773 2824 2856 2842 2880 2868 2876 2845 2848 2830 2792 2708 2664 2630 2565 2567 2513 2470 2425 2368 2343 2372 2305 2333 2319 2289 2334
688.901978 2385 2371 2398 2437 2495 2523 2570 2633 2689 2726 2796 2780 2864 2852 2889 2905 2919 2851 2855 2842 2768 2746 2704 2663 2575 2551 2518 2474 2406 2344 2330 2298 2334 2256 2339 2368 2375
688.911011 2343 2366 2399 2442 2484 2547 2586 2597 2688 2705 2758 2789 2846 2860 2848 2864 2874 2862 2847 2821 2788 2751 2706 2657 2594 2550 2487 2471 2390 2357 2325 2328 2335 2315 2316 2305 2316
688.919006 2329 2339 2379 2429 2450 2553 2620 2652 2658 2712 2800 2815 2843 2876 2883 2867 2849 2811 2812 2838 2728 2758 2678 2663 2577 2501 2510 2456 2420 2397 2339 2346 2293 2328 2315 2313 2373
688.927979 2370 2342 2396 2484 2487 2520 2553 2644 2668 2766 2785 2788 2880 2821 2873 2916 2848 2902 2816 2841 2820 2732 2665 2655 2609 2541 2528 2481 2425 2391 2369 2321 2291 2337 2335 2334 2356
688.935974 2350 2360 2382 2454 2521 2546 2570 2646 2674 2706 2769 2804 2823 2877 2866 2937 2887 2827 2842 2790 2791 2766 2697 2646 2607 2570 2487 2454 2407 2411 2362 2321 2307 2329 2286 2322 2365
688.945007 2337 2382 2379 2441 2469 2516 2590 2662 2669 2715 2757 2809 2830 2892 2875 2885 2852 2881 2863 2816 2788 2740 2713 2684 2608 2551 2528 2506 2425 2414 2334 2350 2331 2324 2360 2309 2362
688.953003 2364 2349 2377 2433 2471 2511 2602 2610 2706 2745 2795 2788 2800 2834 2876 2915 2918 2872 2866 2841 2779 2742 2707 2686 2616 2557 2501 2454 2424 2418 2364 2336 2310 2315 2324 2346 2378
688.961975 2287 2337 2387 2408 2428 2521 2592 2632 2649 2736 2770 2807 2852 2868 2861 2884 2917 2889 2891 2867 2760 2750 2719 2623 2586 2533 2509 2473 2422 2373 2332 2301 2316 2326 2298 2333 2331
688.969971 2338 2376 2436 2447 2469 2534 2610 2658 2648 2722 2750 2841 2799 2890 2891 2935 2875 2917 2859 2868 2839 2760 2715 2637 2588 2548 2518 2438 2442 2385 2372 2336 2349 2289 2301 2285 2368
688.979004 2371 2387 2407 2394 2502 2550 2578 2614 2704 2730 2755 2772 2852 2901 2866 2898 2889 2886 2840 2807 2825 2761 2716 2664 2631 2538 2521 2445 2414 2383 2368 2365 2341 2305 2295 2292 2382
688.987 2324 2386 2389 2435 2501 2537 2613 2667 2681 2757 2802 2832 2850 2819 2891 2895 2888 2910 2866 2828 2798 2752 2720 2660 2605 2542 2520 2447 2430 2400 2342 2342 2332 2298 2289 2320 2344
688.995972 2323 2385 2392 2470 2486 2547 2623 2623 2715 2740 2814 2799 2845 2894 2924 2891 2849 2877 2900 2851 2780 2783 2719 2664 2605 2575 2531 2498 2443 2387 2352 2337 2341 2307 2349 2319 2344
689.004028 2351 2370 2415 2461 2503 2541 2624 2616 2680 2712 2801 2822 2872 2911 2910 2910 2904 2891 2889 2852 2778 2778 2698 2620 2638 2604 2521 2463 2437 2372 2345 2352 2302 2350 2310 2370 2372
689.013 2347 2347 2391 2411 2502 2531 2607 2630 2702 2738 2791 2807 2842 2883 2921 2913 2928 2887 2871 2844 2793 2776 2690 2644 2616 2580 2525 2433 2423 2394 2360 2330 2361 2338 2326 2347 2348
689.020996 2313 2367 2398 2434 2493 2564 2632 2632 2685 2758 2788 2823 2865 2903 2944 2917 2903 2911 2899 2830 2809 2766 2749 2675 2600 2594 2515 2492 2421 2364 2345 2359 2334 2351 2337 2337 2345
689.030029 2355 2348 2406 2456 2483 2553 2647 2694 2675 2750 2824 2858 2860 2914 2913 2967 2926 2898 2912 2893 2854 2789 2667 2683 2632 2566 2517 2472 2424 2419 2376 2342 2344 2323 2306 2322 2356
689.038025 2338 2356 2429 2447 2507 2576 2598 2663 2726 2764 2816 2849 2902 2959 2913 2908 2953 2917 2917 2811 2793 2823 2760 2674 2628 2568 2539 2477 2402 2423 2376 2370 2357 2335 2320 2343 2341
689.046997 2339 2392 2415 2463 2518 2561 2656 2651 2691 2748 2838 2847 2854 2898 2969 2934 2928 2921 2882 2870 2807 2759 2728 2663 2639 2548 2496 2516 2424 2394 2352 2379 2350 2313 2334 2340 2368
689.054993 2341 2382 2424 2453 2493 2576 2610 2699 2729 2763 2784 2892 2872 2897 2946 2944 2955 2939 2907 2861 2828 2753 2759 2688 2631 2610 2526 2483 2466 2427 2385 2381 2350 2317 2355 2354 2373
689.062988 2356 2402 2381 2467 2520 2595 2620 2668 2726 2776 2842 2862 2874 2928 2940 2952 2929 2956 2931 2886 2837 2796 2728 2643 2621 2562 2496 2473 2465 2436 2412 2349 2328 2380 2353 2381 2346
689.072021 2375 2394 2413 2491 2518 2585 2613 2667 2750 2795 2786 2873 2928 2927 2904 2964 2913 2893 2896 2829 2826 2807 2760 2670 2608 2578 2525 2480 2420 2414 2391 2360 2332 2339 2324 2358 2407
689.080017 2356 2388 2448 2444 2551 2571 2593 2674 2746 2788 2859 2885 2904 2929 2920 2906 2984 2933 2884 2889 2825 2802 2740 2689 2623 2579 2538 2461 2428 2395 2410 2374 2324 2345 2326 2363 2368
689.088989 2392 2405 2431 2454 2531 2599 2634 2693 2767 2782 2790 2852 2890 2967 2959 2959 2997 2911 2890 2889 2867 2830 2748 2739 2672 2572 2561 2501 2433 2395 2357 2370 2355 2327 2372 2340 2356
689.096985 2366 2432 2472 2513 2514 2593 2628 2684 2723 2800 2850 2847 2923 2969 2995 2959 2978 2963 2919 2902 2871 2828 2705 2707 2617 2590 2535 2524 2472 2437 2370 2370 2362 2327 2354 2393 2379
689.106018 2373 2411 2421 2487 2570 2573 2644 2681 2797 2786 2845 2900 2945 2943 2969 2937 2962 2936 2849 2896 2860 2798 2814 2675 2655 2585 2547 2526 2453 2408 2383 2362 2363 2331 2389 2347 2383
689.114014 2357 2421 2437 2473 2523 2594 2657 2713 2763 2797 2882 2836 2913 2944 2980 2936 2917 2941 2954 2922 2858 2857 2790 2744 2637 2587 2578 2502 2466 2421 2384 2378 2359 2343 2328 2382 2409
689.122986 2360 2392 2434 2491 2529 2568 2632 2698 2723 2797 2862 2873 2943 2969 2942 2971 2951 2960 2955 2891 2830 2869 2739 2667 2681 2594 2540 2505 2486 2427 2373 2378 2380 2343 2346 2371 2380
689.130981 2333 2430 2450 2475 2548 2574 2664 2745 2760 2854 2870 2912 2891 2918 2946 2947 2925 2958 2986 2936 2921 2780 2783 2663 2661 2628 2526 2489 2500 2427 2392 2359 2377 2345 2357 2350 2384
