0 6.92307692 13.8461538 20.7692308 27.6923077
532 1618 1618 1618 1618 1618
532 1635 1635 1635 1635 1635
532 1678 1678 1678 1678 1678
532 1751 1751 1751 1751 1751
532 1785 1785 1785 1785 1785
532 1877 1877 1877 1877 1877
532 1962 1962 1962 1962 1962
532 2176 2176 2176 2176 2176
532 2577 2577 2577 2577 2577
532 4029 4029 4029 4029 4029
532 12735 12735 12735 12735 12735
532 59272 59272 59272 59272 59272
532 111914 111914 111914 111914 111914
532 64330 64330 64330 64330 64330
532 64053 64053 64053 64053 64053
532 63585 63585 63585 63585 63585
532 63397 63397 63397 63397 63397
532 62839 62839 62839 62839 62839
532 62024 62024 62024 62024 62024
532 50710 50710 50710 50710 50710
532 18987 18987 18987 18987 18987
532 2739 2739 2739 2739 2739
532 2175 2175 2175 2175 2175
532 2023 2023 2023 2023 2023
532 1873 1873 1873 1873 1873
532 1838 1838 1838 1838 1838
532 1799 1799 1799 1799 1799
532 1742 1742 1742 1742 1742
532 1716 1716 1716 1716 1716
532 1714 1714 1714 1714 1714
532 1721 1721 1721 1721 1721
532 1692 1692 1692 1692 1692
532 1690 1690 1690 1690 1690
532 1729 1729 1729 1729 1729
532 1694 1694 1694 1694 1694
532 1678 1678 1678 1678 1678
532 1668 1668 1668 1668 1668
532 1654 1654 1654 1654 1654
532 1638 1638 1638 1638 1638
532 1605 1605 1605 1605 1605
532 1578 1578 1578 1578 1578
532 1538 1538 1538 1538 1538
532 1512 1512 1512 1512 1512
532 1513 1513 1513 1513 1513
532 1491 1491 1491 1491 1491
532 1488 1488 1488 1488 1488
532 1462 1462 1462 1462 1462
532 1429 1429 1429 1429 1429
532 1418 1418 1418 1418 1418
532 1415 1415 1415 1415 1415
532 1406 1406 1406 1406 1406
532 1389 1389 1389 1389 1389
532 1383 1383 1383 1383 1383
532 1386 1386 1386 1386 1386
532 1378 1378 1378 1378 1378
532 1365 1365 1365 1365 1365
532 1373 1373 1373 1373 1373
532 1369 1369 1369 1369 1369
532 1359 1359 1359 1359 1359
532 1355 1355 1355 1355 1355
532 1357 1357 1357 1357 1357
532 1351 1351 1351 1351 1351
532 1356 1356 1356 1356 1356
532 1353 1353 1353 1353 1353
532 1344 1344 1344 1344 1344
532 1357 1357 1357 1357 1357
532 1351 1351 1351 1351 1351
532 1354 1354 1354 1354 1354
532 1353 1353 1353 1353 1353
532 1355 1355 1355 1355 1355
533 1356 1356 1356 1356 1356
533 1354 1354 1354 1354 1354
533 1353 1353 1353 1353 1353
533 1342 1342 1342 1342 1342
533 1350 1350 1350 1350 1350
533 1357 1357 1357 1357 1357
533 1364 1364 1364 1364 1364
533 1351 1351 1351 1351 1351
533 1347 1347 1347 1347 1347
533 1351 1351 1351 1351 1351
533 1353 1353 1353 1353 1353
533 1340 1340 1340 1340 1340
533 1343 1343 1343 1343 1343
533 1338 1338 1338 1338 1338
533 1345 1345 1345 1345 1345
533 1351 1351 1351 1351 1351
533 1348 1348 1348 1348 1348
533 1341 1341 1341 1341 1341
533 1330 1330 1330 1330 1330
533 1339 1339 1339 1339 1339
533 1358 1358 1358 1358 1358
533 1344 1344 1344 1344 1344
533 1339 1339 1339 1339 1339
533 1354 1354 1354 1354 1354
533 1337 1337 1337 1337 1337
533 1338 1338 1338 1338 1338
533 1333 1333 1333 1333 1333
533 1332 1332 1332 1332 1332
533 1338 1338 1338 1338 1338
533 1348 1348 1348 1348 1348
533 1367 1367 1367 1367 1367
533 1394 1394 1394 1394 1394
533 1450 1450 1450 1450 1450
533 1630 1630 1630 1630 1630
533 1985 1985 1985 1985 1985
533 2432 2432 2432 2432 2432
533 2306 2306 2306 2306 2306
533 2226 2226 2226 2226 2226
533 2041 2041 2041 2041 2041
533 2052 2052 2052 2052 2052
533 2123 2123 2123 2123 2123
533 2206 2206 2206 2206 2206
533 2151 2151 2151 2151 2151
533 2091 2091 2091 2091 2091
533 2038 2038 2038 2038 2038
533 2016 2016 2016 2016 2016
533 1959 1959 1959 1959 1959
533 1893 1893 1893 1893 1893
533 1875 1875 1875 1875 1875
533 1918 1918 1918 1918 1918
533 1913 1913 1913 1913 1913
533 1894 1894 1894 1894 1894
533 1885 1885 1885 1885 1885
533 1938 1938 1938 1938 1938
533 1985 1985 1985 1985 1985
533 2166 2166 2166 2166 2166
533 2214 2214 2214 2214 2214
533 2258 2258 2258 2258 2258
533 2444 2444 2444 2444 2444
533 2060 2060 2060 2060 2060
533 1600 1600 1600 1600 1600
533 1420 1420 1420 1420 1420
533 1373 1373 1373 1373 1373
533 1339 1339 1339 1339 1339
533 1333 1333 1333 1333 1333
533 1332 1332 1332 1332 1332
533 1330 1330 1330 1330 1330
533 1325 1325 1325 1325 1325
533 1325 1325 1325 1325 1325
533 1326 1326 1326 1326 1326
533 1316 1316 1316 1316 1316
533 1325 1325 1325 1325 1325
533 1314 1314 1314 1314 1314
534 1319 1319 1319 1319 1319
534 1309 1309 1309 1309 1309
534 1317 1317 1317 1317 1317
534 1311 1311 1311 1311 1311
534 1326 1326 1326 1326 1326
534 1316 1316 1316 1316 1316
534 1313 1313 1313 1313 1313
534 1320 1320 1320 1320 1320
534 1318 1318 1318 1318 1318
534 1313 1313 1313 1313 1313
534 1323 1323 1323 1323 1323
534 1315 1315 1315 1315 1315
534 1318 1318 1318 1318 1318
534 1319 1319 1319 1319 1319
534 1319 1319 1319 1319 1319
534 1322 1322 1322 1322 1322
534 1321 1321 1321 1321 1321
534 1316 1316 1316 1316 1316
534 1320 1320 1320 1320 1320
534 1315 1315 1315 1315 1315
534 1312 1312 1312 1312 1312
534 1312 1312 1312 1312 1312
534 1310 1310 1310 1310 1310
534 1320 1320 1320 1320 1320
534 1315 1315 1315 1315 1315
534 1318 1318 1318 1318 1318
534 1323 1323 1323 1323 1323
534 1317 1317 1317 1317 1317
534 1324 1324 1324 1324 1324
534 1319 1319 1319 1319 1319
534 1319 1319 1319 1319 1319
534 1324 1324 1324 1324 1324
534 1311 1311 1311 1311 1311
534 1323 1323 1323 1323 1323
534 1323 1323 1323 1323 1323
534 1316 1316 1316 1316 1316
534 1314 1314 1314 1314 1314
534 1317 1317 1317 1317 1317
534 1316 1316 1316 1316 1316
534 1318 1318 1318 1318 1318
534 1324 1324 1324 1324 1324
534 1311 1311 1311 1311 1311
534 1314 1314 1314 1314 1314
534 1314 1314 1314 1314 1314
534 1313 1313 1313 1313 1313
534 1312 1312 1312 1312 1312
534 1315 1315 1315 1315 1315
534 1323 1323 1323 1323 1323
534 1326 1326 1326 1326 1326
534 1324 1324 1324 1324 1324
534 1316 1316 1316 1316 1316
534 1323 1323 1323 1323 1323
534 1322 1322 1322 1322 1322
534 1319 1319 1319 1319 1319
534 1315 1315 1315 1315 1315
534 1311 1311 1311 1311 1311
534 1323 1323 1323 1323 1323
534 1318 1318 1318 1318 1318
534 1328 1328 1328 1328 1328
534 1323 1323 1323 1323 1323
534 1318 1318 1318 1318 1318
534 1320 1320 1320 1320 1320
534 1316 1316 1316 1316 1316
534 1318 1318 1318 1318 1318
534 1319 1319 1319 1319 1319
534 1312 1312 1312 1312 1312
534 1324 1324 1324 1324 1324
534 1312 1312 1312 1312 1312
534 1316 1316 1316 1316 1316
534 1312 1312 1312 1312 1312
534 1314 1314 1314 1314 1314
534 1320 1320 1320 1320 1320
534 1317 1317 1317 1317 1317
535 1320 1320 1320 1320 1320
535 1319 1319 1319 1319 1319
535 1320 1320 1320 1320 1320
535 1307 1307 1307 1307 1307
535 1317 1317 1317 1317 1317
535 1317 1317 1317 1317 1317
535 1314 1314 1314 1314 1314
535 1316 1316 1316 1316 1316
535 1320 1320 1320 1320 1320
535 1315 1315 1315 1315 1315
535 1319 1319 1319 1319 1319
535 1319 1319 1319 1319 1319
535 1318 1318 1318 1318 1318
535 1314 1314 1314 1314 1314
535 1318 1318 1318 1318 1318
535 1317 1317 1317 1317 1317
535 1314 1314 1314 1314 1314
535 1320 1320 1320 1320 1320
535 1317 1317 1317 1317 1317
535 1316 1316 1316 1316 1316
535 1323 1323 1323 1323 1323
535 1320 1320 1320 1320 1320
535 1319 1319 1319 1319 1319
535 1315 1315 1315 1315 1315
535 1311 1311 1311 1311 1311
535 1314 1314 1314 1314 1314
535 1307 1307 1307 1307 1307
535 1318 1318 1318 1318 1318
535 1312 1312 1312 1312 1312
535 1319 1319 1319 1319 1319
535 1311 1311 1311 1311 1311
535 1321 1321 1321 1321 1321
535 1324 1324 1324 1324 1324
535 1323 1323 1323 1323 1323
535 1322 1322 1322 1322 1322
535 1318 1318 1318 1318 1318
535 1315 1315 1315 1315 1315
535 1319 1319 1319 1319 1319
535 1322 1322 1322 1322 1322
535 1324 1324 1324 1324 1324
535 1331 1331 1331 1331 1331
535 1324 1324 1324 1324 1324
