0 2.8125 5.625
518.322998 1883 1882 1878
518.877991 1886 1876 1881
519.432983 1884 1880 1887
519.987 1881 1881 1886
520.541992 1888 1882 1882
521.096985 1879 1879 1886
521.651978 1884 1885 1880
522.20697 1881 1887 1881
522.760986 1882 1886 1880
523.315979 1884 1886 1879
523.870972 1880 1878 1883
524.426025 1883 1882 1876
524.97998 1883 1885 1887
525.534973 1882 1882 1879
526.090027 1881 1888 1884
526.643982 1884 1881 1884
527.198975 1885 1883 1885
527.754028 1887 1880 1885
528.307983 1880 1882 1880
528.862976 1881 1887 1880
529.41803 1881 1882 1884
529.971985 1879 1890 1880
530.526978 1884 1884 1887
531.080994 1886 1884 1887
531.635986 1892 1897 1895
532.190002 1890 1891 1891
532.744995 1884 1885 1891
533.299011 1885 1883 1888
533.854004 1882 1881 1886
534.408997 1882 1889 1888
534.963013 1881 1884 1886
535.517029 1888 1893 1883
536.072021 1890 1889 1882
536.625977 1885 1890 1889
537.18103 1886 1887 1883
537.734985 1890 1888 1881
538.289978 1887 1885 1895
538.843994 1889 1888 1890
539.39801 1895 1891 1891
539.953003 1891 1897 1891
540.507019 1896 1898 1901
541.062012 1906 1903 1902
541.616028 1899 1908 1906
542.169983 1908 1905 1910
542.724976 1911 1908 1911
543.278992 1907 1915 1910
543.833008 1904 1920 1914
544.387024 1910 1925 1911
544.942017 1926 1922 1924
545.495972 1915 1918 1925
546.049988 1918 1929 1922
546.604004 1926 1923 1928
547.158997 1918 1919 1918
547.713013 1906 1911 1903
548.267029 1909 1911 1901
548.820984 1896 1899 1909
549.375 1900 1894 1896
549.929016 1896 1893 1898
550.484009 1899 1895 1890
551.038025 1899 1898 1897
551.59198 1888 1894 1890
552.145996 1886 1882 1889
552.700012 1886 1883 1892
553.254028 1894 1888 1887
553.807983 1888 1885 1892
554.362 1883 1886 1887
554.916016 1886 1890 1883
555.469971 1887 1891 1890
556.023987 1886 1882 1883
556.578003 1884 1889 1885
557.132019 1885 1885 1882
557.685974 1885 1888 1884
558.23999 1885 1884 1884
558.794006 1885 1884 1885
559.348022 1883 1888 1888
559.901978 1885 1884 1886
560.455994 1886 1889 1885
561.01001 1880 1885 1886
561.564026 1887 1886 1883
562.117004 1879 1884 1886
562.671021 1892 1888 1881
563.224976 1884 1887 1884
563.778992 1882 1880 1888
564.333008 1885 1880 1883
564.887024 1882 1885 1883
565.440002 1884 1882 1885
565.994019 1880 1890 1886
566.547974 1880 1886 1882
567.10199 1886 1880 1882
567.655029 1882 1884 1880
568.208984 1878 1882 1884
568.763 1884 1884 1883
569.315979 1882 1881 1880
569.869995 1885 1886 1887
570.424011 1879 1886 1887
570.97699 1880 1886 1883
571.531006 1879 1878 1883
572.085022 1883 1880 1885
572.638 1885 1879 1882
573.192017 1886 1887 1883
573.745972 1881 1882 1879
574.299011 1883 1883 1885
574.853027 1883 1883 1885
575.406006 1885 1890 1889
575.960022 1882 1892 1879
576.513 1887 1885 1883
577.067017 1887 1888 1890
577.619995 1891 1888 1897
578.174011 1891 1888 1892
578.72699 1889 1892 1889
579.281006 1894 1880 1885
579.833984 1891 1889 1894
580.388 1894 1887 1890
580.940979 1886 1887 1887
581.494019 1885 1891 1886
582.047974 1892 1888 1888
582.601013 1893 1884 1894
583.153992 1897 1892 1894
583.708008 1894 1883 1894
584.260986 1896 1894 1889
584.814026 1889 1888 1895
585.367981 1895 1898 1890
585.921021 1887 1888 1891
586.473999 1894 1893 1892
587.028015 1894 1895 1893
587.580994 1899 1897 1892
588.133972 1892 1896 1891
588.687012 1893 1892 1897
589.23999 1888 1888 1885
589.794006 1886 1892 1884
590.346985 1900 1892 1888
590.900024 1892 1893 1893
591.453003 1888 1889 1892
592.005981 1887 1885 1896
592.559021 1891 1889 1885
593.112976 1893 1889 1890
593.666016 1893 1896 1892
594.218994 1887 1890 1887
594.771973 1893 1889 1890
595.325012 1889 1885 1888
595.877991 1891 1884 1886
596.43103 1886 1888 1892
596.984009 1886 1883 1876
597.536987 1888 1893 1889
598.090027 1894 1891 1888
598.643005 1894 1892 1888
599.195984 1885 1886 1892
599.749023 1888 1891 1889
600.302002 1891 1885 1888
600.85498 1883 1899 1885
601.40802 1894 1890 1886
601.960022 1890 1891 1887
602.513 1888 1885 1884
603.065979 1884 1885 1886
603.619019 1887 1883 1887
604.171997 1893 1891 1883
604.724976 1885 1891 1886
605.278015 1885 1892 1885
605.830017 1892 1892 1881
606.382996 1885 1890 1880
606.935974 1887 1886 1889
607.489014 1887 1896 1892
608.041016 1888 1887 1887
608.593994 1889 1894 1890
609.146973 1898 1889 1896
609.698975 1911 1899 1904
610.252014 1912 1921 1918
610.804993 1924 1923 1923
611.356995 1943 1942 1942
611.909973 1945 1947 1944
612.463013 1942 1949 1949
613.015015 1940 1938 1935
613.567993 1932 1939 1926
614.119995 1944 1930 1929
614.672974 1920 1921 1925
615.226013 1918 1920 1914
615.778015 1915 1918 1912
616.330994 1916 1906 1906
616.882996 1896 1904 1909
617.435974 1904 1906 1899
617.987976 1901 1892 1899
618.541016 1897 1893 1893
619.093018 1894 1900 1900
619.645996 1895 1896 1901
620.197998 1886 1899 1898
620.75 1890 1891 1892
621.302979 1896 1895 1899
621.85498 1898 1894 1889
622.406982 1898 1889 1890
622.960022 1893 1892 1894
623.512024 1904 1896 1889
624.064026 1893 1890 1896
624.617004 1899 1894 1894
625.169006 1897 1893 1889
625.721008 1892 1894 1888
626.273987 1893 1905 1890
626.825989 1893 1896 1892
627.377991 1897 1886 1896
627.929993 1889 1891 1892
628.482971 1885 1901 1895
629.034973 1897 1883 1892
629.586975 1898 1893 1889
630.138977 1893 1896 1892
630.690979 1898 1896 1891
631.242981 1892 1895 1895
631.794983 1893 1887 1892
632.348022 1893 1889 1895
632.900024 1889 1889 1897
633.452026 1888 1885 1887
634.004028 1894 1891 1888
634.55603 1892 1891 1887
635.107971 1890 1885 1889
635.659973 1886 1881 1883
636.211975 1889 1887 1881
636.763977 1887 1886 1890
637.315979 1887 1885 1886
637.867981 1881 1887 1883
638.419983 1882 1878 1888
638.971985 1885 1887 1882
639.523987 1887 1885 1885
640.075989 1881 1891 1882
640.627014 1890 1888 1885
641.179016 1887 1880 1889
641.731018 1887 1892 1893
642.28302 1886 1890 1887
642.835022 1885 1888 1884
643.387024 1888 1875 1888
643.937988 1887 1888 1888
644.48999 1883 1885 1884
645.041992 1886 1886 1882
645.593994 1886 1892 1888
646.14502 1885 1888 1888
646.697021 1885 1886 1885
647.249023 1890 1889 1881
647.799988 1888 1883 1882
648.35199 1887 1890 1884
648.903992 1889 1886 1886
649.455994 1885 1887 1886
650.007019 1889 1891 1889
650.559021 1892 1884 1887
651.109985 1884 1884 1888
651.661987 1887 1886 1889
652.213989 1887 1882 1890
652.765015 1886 1884 1880
653.317017 1892 1889 1889
653.867981 1889 1888 1887
654.419983 1889 1887 1888
654.971008 1885 1890 1888
655.52301 1890 1886 1889
656.073975 1888 1882 1885
656.625 1882 1886 1886
657.177002 1891 1885 1891
657.728027 1888 1881 1883
658.280029 1888 1891 1884
658.830994 1884 1884 1888
659.382996 1889 1881 1888
659.934021 1889 1891 1883
660.484985 1885 1883 1885
661.036987 1890 1884 1883
661.588013 1889 1884 1887
662.138977 1891 1892 1884
662.690002 1886 1886 1891
663.242004 1887 1891 1887
663.79303 1887 1885 1887
664.343994 1889 1896 1886
664.89502 1888 1886 1885
665.447021 1885 1890 1880
665.997986 1885 1892 1886
666.549011 1888 1888 1884
667.099976 1888 1889 1884
667.651001 1886 1889 1882
668.202026 1885 1886 1886
668.754028 1890 1887 1884
669.304993 1883 1888 1885
669.856018 1879 1889 1891
670.406982 1886 1888 1884
670.958008 1886 1888 1894
671.508972 1885 1887 1883
672.059998 1885 1884 1888
672.611023 1891 1884 1884
